**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 6

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Fe,  0.75016,  0.54295,  0.60895,  0.91474,  0.94963,  1.04620,  0.83956,  0.18490,  0.22024,  0.24649
Zn,  0.00167,  0.00146,  0.00158,  0.00169,  0.00257,  0.00439,  0.00204,  0.00073,  0.36009,  0.43888
Br,  0.00029,  0.00010,  0.00020,  0.00029,  0.00033,  0.00034,  0.00027,  0.00007,  0.26862,  0.25652
Pb,  0.00132,  0.00118,  0.00132,  0.00158,  0.00161,  0.00171,  0.00150,  0.00019,  0.12640,  0.14340

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.17270,  2.54980,  2.60333,  2.93830,  3.02138,  4.00380,  2.91807,  0.34530,  0.11833,  0.10884
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00064,  0.00000,  0.00000,  0.00138,  0.00392,  0.02644,  0.00366,  0.00611,  1.66998,  9.55027
Al,  0.02443,  0.00000,  0.00808,  0.01805,  0.03164,  0.09425,  0.02671,  0.02800,  1.04825,  1.14606
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00583,  0.09834,  0.01824,  0.03573,  1.95884,  0.00000
P,  0.00330,  0.00000,  0.00287,  0.00310,  0.00324,  0.00479,  0.00305,  0.00104,  0.34232,  0.31653
S,  0.13035,  0.11770,  0.12733,  0.12992,  0.13056,  0.14160,  0.12903,  0.00608,  0.04711,  0.04664
Cl,  0.09399,  0.02112,  0.02764,  0.06912,  0.08626,  0.11634,  0.06102,  0.03234,  0.52997,  0.34409
K,  0.17296,  0.16147,  0.16683,  0.17732,  0.18177,  0.19853,  0.17700,  0.01019,  0.05755,  0.05889
Ca,  0.09890,  0.00838,  0.01071,  0.06696,  0.07969,  0.13314,  0.05765,  0.04026,  0.69835,  0.40711
Ti,  0.00372,  0.00000,  0.00000,  0.00232,  0.00488,  0.00651,  0.00249,  0.00240,  0.96366,  0.64482
V,  0.00012,  0.00010,  0.00011,  0.00012,  0.00012,  0.00020,  0.00012,  0.00002,  0.17137,  0.16803
Mn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00099,  0.00005,  0.00022,  4.47214,  0.00000
Fe,  0.02176,  0.00000,  0.00225,  0.02283,  0.04272,  0.06110,  0.02514,  0.02089,  0.83087,  0.95980
Zn,  0.00611,  0.00357,  0.00482,  0.00561,  0.00615,  0.00649,  0.00540,  0.00079,  0.14620,  0.12918
Br,  0.00268,  0.00244,  0.00259,  0.00267,  0.00270,  0.00284,  0.00266,  0.00012,  0.04411,  0.04370
Pb,  0.00193,  0.00170,  0.00182,  0.00187,  0.00190,  0.00193,  0.00185,  0.00006,  0.03272,  0.03138

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.54330,  1.45250,  1.63028,  6.20245,  6.60713,  7.63130,  4.55463,  2.49741,  0.54832,  1.61823
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01053,  0.00162,  0.00368,  2.26868,  0.00000
Al,  0.52546,  0.37285,  0.45653,  0.49284,  0.52443,  0.64853,  0.48814,  0.06277,  0.12858,  0.11945
Si,  0.74748,  0.68680,  0.74761,  0.76845,  0.82180,  0.93612,  0.78583,  0.06625,  0.08430,  0.08863
P,  0.01203,  0.00728,  0.00851,  0.01027,  0.01205,  0.01410,  0.01029,  0.00198,  0.19272,  0.16479
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  0.12133,  0.11938,  0.12152,  0.29132,  0.31245,  0.34597,  0.23517,  0.09017,  0.38344,  0.74321
K,  0.02851,  0.00000,  0.00000,  0.00945,  0.02973,  0.03175,  0.01428,  0.01455,  1.01900,  0.51042
Ca,  0.00000,  0.00000,  0.00000,  0.37716,  0.45761,  0.56044,  0.27545,  0.22352,  0.81145,  0.00000
Ti,  0.02917,  0.02912,  0.02920,  0.03942,  0.04170,  0.04517,  0.03697,  0.00603,  0.16318,  0.20684
V,  0.00009,  0.00000,  0.00010,  0.00036,  0.00043,  0.00048,  0.00028,  0.00017,  0.59995,  1.79102
Mn,  0.00056,  0.00000,  0.00058,  0.00274,  0.00292,  0.00332,  0.00195,  0.00124,  0.63661,  2.21746
Fe,  0.28805,  0.24782,  0.28937,  0.29617,  0.33364,  0.42376,  0.31309,  0.04529,  0.14467,  0.15725
Zn,  0.00603,  0.00603,  0.00619,  0.00842,  0.00877,  0.01009,  0.00790,  0.00138,  0.17444,  0.22833
Br,  0.00012,  0.00000,  0.00000,  0.00006,  0.00014,  0.00015,  0.00007,  0.00007,  1.03297,  0.56599
Pb,  0.00095,  0.00095,  0.00099,  0.00109,  0.00131,  0.00141,  0.00114,  0.00016,  0.14303,  0.17079

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 33.18861,  9.49671, 11.44897, 22.07598, 33.07989, 35.50805, 21.39525,  9.81278,  0.45864,  0.29567
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 50.94557, 31.61780, 33.54561, 42.33578, 50.68968, 51.99873, 41.13488,  7.80743,  0.18980,  0.15325
Al, 44.21428, 25.16390, 27.32995, 38.05456, 39.77179, 44.21428, 34.33712,  6.85896,  0.19975,  0.15513
Si, 43.53270, 17.87532, 20.13745, 33.50161, 40.90696, 43.53270, 30.36143,  9.89010,  0.32575,  0.22719
P, 10.69318,  0.00000,  0.00000,  1.81820, 12.48679, 13.53080,  4.78047,  5.96914,  1.24865,  0.55822
S, 11.09411,  4.54565,  8.05302, 11.29296, 14.67777, 16.26136, 11.25669,  3.71518,  0.33004,  0.33488
Cl,  9.96726,  9.93926, 10.88419, 11.84320, 15.99350, 18.06091, 13.28296,  2.74379,  0.20656,  0.27528
K, 31.22362,  2.66360,  7.45993, 22.25871, 29.91940, 31.27925, 18.20560, 10.69497,  0.58746,  0.34253
Ca, 28.88192, 11.74170, 17.40540, 19.55516, 28.81264, 36.31974, 21.75425,  7.93150,  0.36460,  0.27462
Ti, 39.17767, 20.25165, 21.84118, 31.05266, 37.58460, 39.50102, 29.50863,  7.29900,  0.24735,  0.18631
V, 35.68713,  4.20188,  6.70654, 21.68164, 35.57795, 37.51962, 19.90269, 12.86139,  0.64621,  0.36039
Mn, 41.52715, 11.18584, 13.63446, 27.88945, 41.34225, 43.39009, 26.27251, 12.33054,  0.46933,  0.29693
Fe, 32.93581,  1.55037,  4.41575, 21.05414, 29.72350, 32.93581, 16.97987, 12.05364,  0.70988,  0.36597
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br, 10.21325,  0.00000,  1.59818,  8.28531,  9.32013, 12.57042,  6.82267,  4.42034,  0.64789,  0.43280
Pb, 14.91764,  0.00000,  0.00000,  8.80246, 14.20540, 15.02816,  6.73260,  6.55858,  0.97415,  0.43965

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 15.35394,  9.36418, 11.36612, 11.59602, 14.56261, 39.93114, 13.55722,  6.52259,  0.48112,  0.42482
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.62235,  1.50496,  0.25571,  0.47333,  1.85104,  0.00000
Mg,  9.46454,  6.90800,  7.61879, 12.17183, 21.29791, 47.57732, 15.72765,  9.54992,  0.60721,  1.00902
Al,  9.65009,  7.31085,  8.37357, 22.49685, 26.59057, 45.52437, 20.13450, 10.18073,  0.50564,  1.05499
Si, 10.34255,  8.10562,  9.38534, 18.73514, 22.91625, 50.20762, 18.51443,  9.64291,  0.52083,  0.93235
P,  0.00000,  0.00000,  0.00000, 25.24061, 29.09219, 35.06866, 18.77109, 14.73112,  0.78478,  0.00000
S,  1.09073,  0.00000,  0.00000,  0.54537,  1.71747,  7.57345,  1.39410,  2.22909,  1.59894,  2.04366
Cl, 16.30890,  0.00000,  0.00000,  0.00000, 14.76586, 16.30890,  5.35311,  7.49875,  1.40082,  0.45979
K,  0.00000,  0.00000,  0.00000, 14.89389, 17.49902, 40.90176, 12.30331, 10.75443,  0.87411,  0.00000
Ca, 29.96425,  0.00000,  0.00000,  0.00000, 27.90889, 30.42364, 11.41635, 14.37729,  1.25936,  0.47981
Ti, 15.99241, 13.20833, 15.20256, 15.75980, 18.21327, 40.81210, 17.45567,  5.74541,  0.32914,  0.35926
V, 13.70335, 11.61770, 12.25939, 13.68123, 14.30954, 48.87176, 15.08621,  8.00680,  0.53074,  0.58430
Mn, 13.93968, 11.52409, 12.76832, 13.76511, 16.59223, 51.52944, 16.24250,  8.51380,  0.52417,  0.61076
Fe,  8.59340,  7.07464,  8.25637, 19.14667, 20.50857, 49.32508, 17.07606,  9.50875,  0.55685,  1.10652
Zn, 21.82295,  0.00000,  0.00000,  8.32391, 21.08801, 23.05198,  9.31620,  9.84211,  1.05645,  0.45100
Br,  0.00000,  0.00000,  0.00000,  5.90375,  7.14419, 11.96771,  4.89029,  4.16387,  0.85146,  0.00000
Pb,  8.82262,  8.17759,  8.72762,  9.21165, 11.35790, 21.24401, 10.20842,  2.86879,  0.28102,  0.32516

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  6.68925,  6.68925,  8.29827,  8.87783,  9.75460, 11.39353,  9.04677,  1.25488,  0.13871,  0.18760
Na, 98.40682, 97.79054, 97.96465, 98.39170, 98.43767, 98.51860, 98.24344,  0.27029,  0.00275,  0.00275
Mg, 15.82893, 12.48707, 14.23337, 16.23812, 17.50587, 18.66993, 15.97866,  1.89980,  0.11890,  0.12002
Al,  1.49591,  0.00000,  0.00000,  1.96988,  3.27174,  4.70755,  1.84530,  1.74348,  0.94482,  1.16550
Si,  2.12153,  1.14593,  1.69185,  2.91011,  4.14180,  5.37465,  3.03459,  1.41675,  0.46687,  0.66780
P,  4.81595,  0.00000,  4.62791,  4.74896,  5.94841,  8.00230,  4.49886,  2.50302,  0.55637,  0.51974
S, 16.82959, 13.68806, 16.00758, 16.34617, 18.70294, 19.79421, 17.12943,  1.69356,  0.09887,  0.10063
Cl, 59.26990, 59.26990, 60.53300, 61.18714, 62.75957, 64.45486, 61.48786,  1.41946,  0.02309,  0.02395
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Ca,  1.73570,  1.73570,  4.96722,  6.21556,  8.53629, 10.43298,  6.53763,  2.30543,  0.35264,  1.32824
Ti,  0.93225,  0.52735,  1.40537,  2.29475,  4.21366,  5.69604,  2.74043,  1.63063,  0.59503,  1.74914
V,  0.93174,  0.87316,  2.34031,  3.10840,  4.25577,  5.52917,  3.21870,  1.34182,  0.41688,  1.44013
Mn,  1.38433,  1.32854,  2.55115,  3.23571,  4.16007,  5.75208,  3.34060,  1.29996,  0.38914,  0.93905
Fe,  3.88488,  2.38679,  4.54464,  5.37069,  6.34859,  7.55183,  5.27003,  1.44405,  0.27401,  0.37171
Zn,  0.72876,  0.00000,  2.14233,  4.71552,  6.71099, 10.37441,  4.73515,  3.21289,  0.67852,  4.40872
Br, 22.84046, 22.10444, 22.25539, 22.66575, 24.90072, 25.10654, 23.34398,  1.25066,  0.05358,  0.05476
Pb,  3.26446,  3.26446,  3.89750,  4.88268,  6.04076,  7.86382,  5.14458,  1.49431,  0.29046,  0.45775

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 34.51485, 25.61137, 29.16729, 43.49920, 45.12140, 49.94578, 39.75952,  8.87165,  0.22313,  0.25704
Na,  1.59318,  0.00000,  1.25435,  1.56635,  1.64161,  2.20946,  1.50085,  0.52114,  0.34723,  0.32711
Mg, 23.56591,  0.00000, 12.59825, 30.83745, 32.47618, 37.93197, 25.55118, 11.89679,  0.46561,  0.50483
Al, 20.30347,  0.65330, 10.87760, 25.25926, 26.91125, 29.99029, 20.91846,  9.32584,  0.44582,  0.45932
Si, 30.96748, 13.98959, 21.57476, 38.67255, 40.50116, 45.49848, 34.07966, 10.72751,  0.31478,  0.34641
P,  1.28987,  0.00000,  0.00000,  0.00000,  0.00000,  1.28987,  0.11937,  0.36873,  3.08902,  0.28587
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 27.49203, 15.75418, 20.58508, 33.78117, 35.30517, 39.23525, 30.30459,  8.18594,  0.27012,  0.29776
