**** Analysis Summary ****

Time of run: ,10/16/15 20:14
Concentration file: ,E:\pmf_fa\RIcH.csv
Uncertainty file: ,E:\pmf_fa\RIcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
12                    1,0.06484,0.00036,0.00173,0.00409,0.00451,0.00349,0.02915,0.00083,6.02236,0.00925,0.02923,0.00060,0.08760,3.98699,0.21731,0.00046,0.04148,
12                    2,0.31772,0.00352,0.00902,0.01853,0.02137,0.01757,0.14530,0.00208,29.61289,0.04849,0.14513,0.00124,0.42477,18.69095,0.91317,0.00188,0.18632,
12                    3,2.55611,156.25267,47.02489,56.02953,67.35002,70.22107,6.77577,17.92103,442.74129,1243.59597,22.22304,6.14500,44.79218,71.37946,598.66211,1.57202,35.53830,
12                    4,0.02204,0.00220,0.00263,0.00295,0.00353,0.00308,0.01148,0.00042,2.18079,0.00406,0.01024,0.00029,0.03227,1.24938,0.31213,0.00037,0.03868,
12                    5,2.42008,155.45078,47.38879,56.49182,67.97206,71.15603,6.65490,17.95985,428.71814,1252.24222,22.35732,6.19222,44.88474,63.19155,601.24344,1.58347,35.99455,
12                    6,0.00455,0.00023,0.00017,0.00039,0.00039,0.00028,0.00206,0.00020,0.42315,0.00073,0.00217,0.00008,0.00630,0.29409,0.01441,0.00012,0.00288,
12                    7,0.00181,0.00212,0.00054,0.00026,0.00030,0.00041,0.00098,0.00020,0.18026,0.00059,0.00086,0.00007,0.00272,0.09375,0.03853,0.00007,0.00457,
12                    8,2.56859,155.79892,47.85490,56.74025,68.53181,71.95734,6.81055,17.97870,446.02680,1258.86372,22.40082,6.20507,45.41843,71.45591,607.62285,1.59439,36.53722,
12                    9,0.25884,0.00158,0.00713,0.01465,0.01661,0.01359,0.11685,0.00195,24.03142,0.03917,0.11786,0.00116,0.34513,15.35133,0.69164,0.00140,0.14621,
12                    10,0.13553,0.00318,0.00824,0.01711,0.01816,0.01149,0.06493,0.00435,12.70981,0.02121,0.06101,0.00254,0.19163,8.84720,1.04988,0.00179,0.14963,
12                    11,0.18764,0.00434,0.00597,0.01278,0.01092,0.00980,0.09127,0.00547,16.84926,0.02930,0.08849,0.00099,0.25264,12.97417,0.48708,0.00193,0.10247,
13                    1,0.23892,0.00211,0.01365,0.01729,0.02208,0.01867,0.11080,0.00110,22.96178,0.04092,0.10764,0.00107,0.32684,12.85940,1.37018,0.00176,0.21703,
13                    2,0.03075,0.00263,0.00202,0.00240,0.00306,0.00260,0.01418,0.00028,3.01060,0.00585,0.01357,0.00017,0.04258,1.58315,0.20181,0.00027,0.03176,
13                    3,1.66194,156.03678,46.94365,56.52960,67.43613,69.87370,6.14986,17.82361,349.87341,1238.20728,21.98448,6.16581,42.91107,29.43297,592.16873,1.57605,34.57772,
13                    4,0.35440,0.00322,0.00961,0.02032,0.02590,0.01834,0.15835,0.00191,33.29193,0.05608,0.15840,0.00157,0.47121,19.93929,0.93623,0.00182,0.20215,
13                    5,1.65149,155.23378,47.31120,57.00219,68.06796,70.80982,6.08584,17.86366,347.60115,1246.82260,22.17334,6.21377,43.17641,28.77375,595.06195,1.58875,35.10120,
13                    6,0.44997,0.00221,0.01756,0.02776,0.03387,0.02874,0.20652,0.00229,42.47407,0.07362,0.20323,0.00161,0.60429,25.39287,1.63957,0.00263,0.30682,
13                    7,0.60301,0.00606,0.02375,0.03705,0.04296,0.03821,0.27627,0.00412,56.84238,0.09861,0.27498,0.00217,0.81109,34.64833,2.25001,0.00361,0.41315,
13                    8,1.67362,155.58470,47.77279,57.24521,68.62388,71.60412,6.18432,17.88115,352.99616,1253.37211,22.16371,6.22606,43.52617,29.70267,601.24902,1.59853,35.58683,
13                    9,0.05369,0.00085,0.00342,0.00445,0.00585,0.00491,0.02537,0.00029,5.27761,0.00986,0.02393,0.00032,0.07502,2.76834,0.39420,0.00052,0.05919,
13                    10,1.19091,0.00676,0.03090,0.07305,0.07643,0.06001,0.54394,0.01371,110.65860,0.18191,0.54365,0.00665,1.59389,73.12770,3.10962,0.00755,0.66525,
13                    11,1.36239,0.01043,0.04251,0.08082,0.08178,0.07451,0.63572,0.01587,126.31682,0.21131,0.62867,0.00528,1.82839,84.30223,3.91837,0.00898,0.79908,
13                    12,0.54325,0.00241,0.01844,0.03298,0.03914,0.03252,0.24820,0.00317,51.17534,0.08714,0.24662,0.00193,0.72947,31.14790,1.82788,0.00322,0.35124,
14                    1,0.00109,0.00020,0.00088,0.00044,0.00068,0.00056,0.00058,0.00006,0.14754,0.00022,0.00029,0.00052,0.00239,0.01182,0.09010,0.00013,0.00986,
14                    2,0.10427,0.00141,0.00297,0.00633,0.00812,0.00601,0.04762,0.00047,9.78662,0.01609,0.04733,0.00072,0.13896,5.88791,0.32134,0.00057,0.06371,
14                    3,2.15503,156.12178,46.91801,56.01317,67.15495,70.06402,6.55783,17.86232,404.41481,1241.45093,22.07409,6.15540,43.99560,50.12936,595.81666,1.57508,35.21987,
14                    4,0.01219,0.00102,0.00152,0.00241,0.00316,0.00165,0.00569,0.00025,1.22243,0.00199,0.00494,0.00060,0.01838,0.61492,0.21440,0.00023,0.02626,
14                    5,2.06001,155.31973,47.28245,56.47816,67.77877,70.99871,6.45550,17.90188,394.21685,1250.08437,22.22618,6.20290,44.14466,44.50281,598.49092,1.58710,35.69654,
14                    6,0.03042,0.00043,0.00148,0.00197,0.00204,0.00208,0.01427,0.00032,2.79482,0.00508,0.01390,0.00037,0.04070,1.83570,0.09176,0.00029,0.01889,
14                    7,0.07854,0.00189,0.00360,0.00500,0.00480,0.00503,0.03620,0.00117,7.25114,0.01324,0.03665,0.00053,0.10557,4.84953,0.27095,0.00067,0.05040,
14                    8,2.16732,155.66942,47.74668,56.72424,68.33632,71.79765,6.59266,17.91997,407.66042,1256.68093,22.25218,6.21559,44.61830,50.27227,604.79610,1.59751,36.22020,
14                    9,0.07175,0.00042,0.00187,0.00398,0.00510,0.00375,0.03197,0.00041,6.69357,0.01088,0.03232,0.00070,0.09497,4.08541,0.19157,0.00035,0.04063,
14                    10,0.36473,0.00425,0.01330,0.03120,0.03110,0.02192,0.16945,0.00824,33.65218,0.05541,0.16665,0.00386,0.49860,23.71578,1.52300,0.00365,0.26356,
14                    11,0.45409,0.00501,0.01399,0.02914,0.02573,0.02374,0.21581,0.00979,41.19380,0.06991,0.21250,0.00221,0.61081,30.23500,1.18015,0.00412,0.24939,
14                    12,0.05818,0.00060,0.00182,0.00356,0.00353,0.00317,0.02668,0.00073,5.36030,0.00903,0.02683,0.00048,0.07815,3.59847,0.15682,0.00053,0.03283,
14                    13,0.24698,0.00158,0.00926,0.01575,0.02031,0.01599,0.11274,0.00113,23.50111,0.04069,0.11116,0.00119,0.33228,13.57494,0.96807,0.00142,0.17619,
15                    1,0.39163,0.00244,0.01056,0.02513,0.02314,0.02046,0.18316,0.00780,35.68903,0.05946,0.18327,0.00206,0.52751,25.82895,1.02329,0.00319,0.21625,
15                    2,0.87529,0.00608,0.02599,0.05212,0.05159,0.04748,0.40775,0.01077,80.68110,0.13355,0.40740,0.00341,1.17531,54.88904,2.49599,0.00595,0.50660,
15                    3,3.41319,156.74745,47.28870,56.23309,67.89507,70.56085,7.23498,18.02972,521.89139,1247.90415,22.56950,6.14101,46.44341,121.41215,605.99316,1.57885,36.25427,
15                    4,0.26651,0.00321,0.01178,0.01786,0.01637,0.01746,0.12897,0.00608,24.46285,0.04376,0.12714,0.00102,0.36308,17.66178,1.16989,0.00284,0.19332,
15                    5,3.21439,155.94633,47.65251,56.69195,68.51556,71.49736,7.08396,18.06670,502.02317,1256.57403,22.67555,6.18786,46.44944,109.05117,608.43825,1.58942,36.67997,
15                    6,0.19332,0.00260,0.00560,0.01284,0.01116,0.00979,0.09159,0.00520,17.52503,0.03058,0.09228,0.00088,0.26156,13.16445,0.53158,0.00199,0.10711,
15                    7,0.11187,0.00116,0.00303,0.00753,0.00663,0.00556,0.05412,0.00301,10.07394,0.01696,0.05305,0.00056,0.15160,7.73455,0.29321,0.00119,0.06115,
15                    8,3.42587,156.29257,48.12208,56.94449,69.07974,72.30273,7.26963,18.08734,525.23029,1263.23660,22.74599,6.20106,47.07555,121.37876,614.93754,1.60119,37.25164,
15                    9,0.77575,0.00517,0.02284,0.04618,0.04487,0.04086,0.35933,0.01057,71.27112,0.11817,0.36088,0.00325,1.04045,49.04966,2.11399,0.00517,0.43859,
15                    10,0.01063,0.00130,0.00735,0.00721,0.00963,0.00707,0.00713,0.00024,1.57748,0.00247,0.00318,0.00149,0.02564,0.03675,1.05574,0.00059,0.11421,
15                    11,0.00413,0.00086,0.00039,0.00056,0.00061,0.00039,0.00220,0.00022,0.38276,0.00065,0.00173,0.00014,0.00601,0.26712,0.04872,0.00010,0.00632,
15                    12,0.13901,0.00189,0.00468,0.00934,0.00800,0.00762,0.06677,0.00379,12.54267,0.02268,0.06644,0.00058,0.18767,9.52452,0.39905,0.00142,0.07923,
15                    13,1.22818,0.00735,0.04040,0.07419,0.07653,0.06997,0.57005,0.01295,114.29702,0.19341,0.56802,0.00445,1.65255,75.10221,3.86930,0.00800,0.75618,
15                    14,0.37664,0.00313,0.01210,0.02410,0.02147,0.02042,0.17741,0.00751,34.29502,0.05947,0.17750,0.00165,0.50759,24.82902,1.04953,0.00336,0.21341,
16                    1,0.00500,0.00026,0.00031,0.00040,0.00058,0.00041,0.00219,0.00006,0.46402,0.00086,0.00236,0.00005,0.00667,0.27713,0.02962,0.00007,0.00462,
16                    2,0.05927,0.00184,0.00319,0.00446,0.00545,0.00451,0.02863,0.00030,5.65136,0.00988,0.02685,0.00027,0.08093,3.24540,0.30487,0.00049,0.04946,
