**** Analysis Summary ****

Time of run: ,07/07/15 17:06
Concentration file: ,E:\pmf\JFcH.csv
Uncertainty file: ,E:\pmf\JFcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 25.79000, 34.16000, 61.17500,3318.47000, 100.00 %, 100.00 %
10                    2,0.00840,0.00590,0.00061,0.00811,0.02247,0.04245,2.79251,0.04268,1.71865,0.15775,0.00536,0.00494,0.00346,0.01031,0.01100,0.02325,0.01181,0.21602,0.35448,0.00137,0.00189,0.00037,0.06240,1.42648,
10                    3,0.01210,0.00588,0.00044,0.00797,0.02247,0.06332,4.90601,0.02169,2.89538,0.24446,0.00524,0.00721,0.00458,0.01482,0.01211,0.03113,0.01650,0.29040,0.62215,0.00192,0.00232,0.00026,0.08638,1.51237,
10                    4,0.01303,0.00611,0.00031,0.00621,0.02070,0.06812,4.79584,0.00524,3.19874,0.27871,0.00443,0.00815,0.00494,0.01497,0.01243,0.03509,0.01839,0.33284,0.72746,0.00212,0.00262,0.00018,0.09826,1.51595,
10                    5,0.00072,0.00040,0.00004,0.00037,0.00159,0.00240,0.30901,0.00070,0.20507,0.02425,0.00046,0.00026,0.00016,0.00081,0.00170,0.00101,0.00068,0.01136,0.02780,0.00008,0.00012,0.00004,0.00277,0.09559,
10                    6,0.00569,0.00408,0.00031,0.00477,0.01122,0.03751,2.01993,0.00096,1.35245,0.09608,0.00278,0.00491,0.00301,0.00694,0.00380,0.02232,0.01120,0.20500,0.33277,0.00128,0.00154,0.00014,0.06189,0.84178,
10                    7,0.00091,0.00077,0.00010,0.00132,0.00444,0.00647,0.27547,0.00156,0.18243,0.01618,0.00089,0.00082,0.00060,0.00111,0.00101,0.00371,0.00193,0.03410,0.04539,0.00023,0.00031,0.00007,0.01031,0.14306,
10                    8,0.00433,0.00369,0.00033,0.00819,0.02070,0.03883,3.43960,0.01068,1.61347,0.07382,0.00527,0.00446,0.00270,0.00664,0.00349,0.02071,0.00984,0.17388,0.32175,0.00113,0.00134,0.00013,0.05644,0.91065,
10                    9,0.00295,0.00062,0.00003,0.00066,0.00273,0.00882,1.03046,0.00098,0.79389,0.10189,0.00076,0.00086,0.00041,0.00318,0.00503,0.00269,0.00148,0.02923,0.08398,0.00023,0.00035,0.00006,0.00799,0.21050,
11                    1,0.01197,0.00989,0.00063,0.02163,0.06279,0.09341,10.67124,0.01225,5.21210,0.25803,0.01489,0.00986,0.00538,0.01644,0.01456,0.04119,0.02169,0.36780,1.18086,0.00237,0.00313,0.00025,0.11677,2.58156,
11                    2,0.02043,0.00674,0.00049,0.01647,0.06095,0.06589,8.86782,0.01734,5.93008,0.68208,0.01461,0.00658,0.00328,0.01994,0.03924,0.02379,0.01288,0.24426,0.72654,0.00172,0.00248,0.00029,0.06976,2.21975,
