**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Zn,  0.00205,  0.00050,  0.00076,  0.00938,  0.01020,  0.01662,  0.00685,  0.00602,  0.87837,  2.92829
Br,  0.01980,  0.00000,  0.00000,  0.00137,  0.00690,  0.01980,  0.00495,  0.00664,  1.33992,  0.33524
Pb,  0.00170,  0.00000,  0.00000,  0.00436,  0.00495,  0.00768,  0.00312,  0.00292,  0.93636,  1.71572
BC,  0.00000,  0.00000,  0.23318,  0.36644,  0.71620,  0.72109,  0.40910,  0.28107,  0.68704,  0.00000

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 16.89087,  2.70694, 10.86770, 13.19178, 15.99379, 18.87928, 12.20174,  5.17367,  0.42401,  0.30630
Na,  9.31848,  0.37679, 14.65587, 22.89448, 25.43399, 26.02840, 19.09103,  7.55680,  0.39583,  0.81095
Mg,  2.22623,  0.00000,  0.66493,  2.09816,  5.22815,  5.47420,  2.40631,  2.13887,  0.88886,  0.96076
Al,  4.57364,  0.07284,  1.81346,  2.86604,  3.97988,  4.57364,  2.62049,  1.44840,  0.55272,  0.31668
Si,  5.52822,  0.03268,  1.77094,  3.03537,  5.13295,  5.52822,  2.97065,  1.94949,  0.65625,  0.35264
P, 38.41918, 30.35983, 31.15602, 33.75525, 44.05126, 60.72714, 39.15662, 10.71098,  0.27354,  0.27879
S, 52.66492, 48.32578, 52.40200, 52.70844, 55.04405, 55.34335, 53.17996,  1.75874,  0.03307,  0.03339
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
