**** Analysis Summary ****

Time of run: ,10/16/15 20:11
Concentration file: ,E:\pmf_fa\RGcH.csv
Uncertainty file: ,E:\pmf_fa\RGcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
12                    1,0.00063,0.11048,0.09561,0.07051,0.08845,0.38952,0.47537,0.01321,0.42647,0.17460,0.04385,0.00400,0.05164,0.31834,0.32813,0.38261,0.01110,
12                    2,0.00133,0.39173,0.26522,0.17031,0.13202,0.69549,0.16640,0.02282,0.14324,0.26551,0.08809,0.00970,0.08338,0.41987,0.73519,0.33503,0.02705,
12                    3,0.00002,0.00029,0.00003,0.00026,0.00026,0.00008,0.00013,0.00003,0.00012,0.00006,0.00025,0.00002,0.00031,0.00012,0.00012,0.00003,0.00001,
12                    4,0.00058,0.16748,0.21098,0.05550,0.02886,0.21665,0.22909,0.02467,0.23944,0.11531,0.02742,0.00429,0.03016,0.19105,0.27538,0.19950,0.02156,
12                    5,0.00139,0.39972,0.27059,0.18281,0.13860,0.73711,0.17589,0.02327,0.14976,0.26968,0.09483,0.00989,0.08751,0.44423,0.74032,0.33463,0.02671,
12                    6,0.00179,0.48406,0.19855,0.27697,0.18612,1.33971,0.16636,0.02813,0.17806,0.33455,0.13788,0.01139,0.10927,0.49435,0.73505,0.45811,0.02681,
12                    7,0.00247,0.40834,0.22163,0.29193,0.17322,0.94845,0.38704,0.03516,0.19310,0.18723,0.13176,0.01336,0.16382,0.78527,0.59734,0.03943,0.03251,
12                    8,0.00057,0.16190,0.24844,0.05008,0.02713,0.16012,0.19680,0.02095,0.20574,0.09424,0.02634,0.00371,0.02739,0.17767,0.24468,0.15442,0.01327,
12                    9,0.00149,0.40756,0.27675,0.20232,0.14671,0.82736,0.16698,0.02377,0.14786,0.27130,0.10687,0.01031,0.09218,0.45952,0.75188,0.33596,0.02660,
12                    10,0.00126,0.16971,0.03254,0.22964,0.09054,1.57537,0.21509,0.01665,0.17005,0.51335,0.06130,0.00887,0.09317,0.38084,0.78898,0.23459,0.23708,
12                    11,0.00056,0.10854,0.08838,0.06589,0.07942,0.35608,0.45346,0.01278,0.40524,0.16497,0.03891,0.00368,0.04546,0.29535,0.31985,0.36870,0.01536,
13                    1,0.00110,0.51605,0.18936,0.13397,0.12432,0.88591,0.50210,0.04345,0.44024,0.28935,0.05969,0.00847,0.09510,0.39264,0.95830,0.47760,0.02960,
13                    2,0.00001,0.00031,0.00014,0.00030,0.00021,0.00026,0.00014,0.00003,0.00018,0.00017,0.00017,0.00002,0.00017,0.00074,0.00028,0.00006,0.00002,
13                    3,0.00126,0.38923,0.27176,0.17722,0.13197,0.71127,0.16375,0.02285,0.14050,0.26353,0.09070,0.00967,0.08281,0.43191,0.72950,0.33897,0.02671,
13                    4,0.00130,0.77654,0.56396,0.13032,0.11300,0.63599,0.38441,0.07145,0.26732,0.27166,0.06070,0.01247,0.09124,0.53959,1.34707,0.66863,0.07055,
13                    5,0.00001,0.00036,0.00008,0.00016,0.00019,0.00035,0.00038,0.00003,0.00044,0.00013,0.00010,0.00002,0.00014,0.00060,0.00026,0.00009,0.00002,
13                    6,0.00019,0.05375,0.02186,0.02879,0.01928,0.13587,0.01086,0.00172,0.02189,0.01882,0.01067,0.00159,0.01166,0.06036,0.05923,0.01613,0.00129,
13                    7,0.00185,0.66798,0.28141,0.12622,0.07225,0.42644,0.36116,0.05417,0.25673,0.17216,0.05577,0.01274,0.14447,0.42355,0.45523,0.38014,0.00710,
13                    8,0.00128,0.78122,0.61747,0.13373,0.11145,0.68187,0.36277,0.06464,0.25102,0.28701,0.05984,0.01191,0.09121,0.51337,1.33200,0.63971,0.05247,
13                    9,0.00003,0.00110,0.00032,0.00130,0.00074,0.00586,0.00047,0.00008,0.00056,0.00044,0.00071,0.00006,0.00048,0.00244,0.00203,0.00008,0.00007,
13                    10,0.00142,0.56270,0.19857,0.18472,0.11350,0.94823,0.43413,0.05023,0.21090,0.30669,0.07605,0.01249,0.11614,0.46778,1.32707,0.45594,0.34435,
13                    11,0.00116,0.50018,0.19101,0.14048,0.12455,0.92621,0.48677,0.04249,0.42388,0.28810,0.06412,0.00857,0.09589,0.39232,0.95053,0.48008,0.04690,
13                    12,0.00137,0.39296,0.27142,0.17872,0.13645,0.71358,0.16589,0.02264,0.14173,0.26578,0.09245,0.00981,0.08531,0.43696,0.73497,0.33989,0.02681,
14                    1,0.00158,0.69127,0.17477,0.21366,0.16893,1.47524,0.46971,0.04929,0.43857,0.34064,0.08916,0.00885,0.11021,0.44903,0.90324,0.42255,0.02779,
14                    2,0.00024,0.07833,0.01617,0.03221,0.03310,0.15423,0.01647,0.00206,0.01992,0.02134,0.01201,0.00180,0.01931,0.09792,0.06729,0.00454,0.00157,
14                    3,0.00194,0.49603,0.21907,0.28316,0.21332,1.36653,0.14813,0.02779,0.17640,0.33117,0.13921,0.01160,0.11734,0.54984,0.72940,0.29070,0.02673,
14                    4,0.00185,0.93467,0.51695,0.19381,0.17473,1.11313,0.30428,0.07717,0.26152,0.31953,0.09242,0.01283,0.11472,0.61344,1.29098,0.57700,0.06790,
14                    5,0.00021,0.06893,0.01621,0.02812,0.03020,0.13400,0.01633,0.00178,0.01764,0.01886,0.01000,0.00166,0.01748,0.08840,0.06032,0.00440,0.00143,
14                    6,0.00010,0.00447,0.00413,0.00502,0.01505,0.00574,0.01027,0.00029,0.00894,0.00244,0.00166,0.00010,0.00802,0.03683,0.01055,0.03261,0.00037,
14                    7,0.00172,0.74022,0.21035,0.11984,0.09646,0.62439,0.37115,0.05592,0.28075,0.23264,0.05226,0.01200,0.12982,0.43595,0.34087,0.33436,0.00706,
14                    8,0.00183,0.93363,0.56709,0.20478,0.17441,1.20419,0.28421,0.07001,0.24773,0.33564,0.09286,0.01243,0.11496,0.58383,1.27647,0.55103,0.05007,
14                    9,0.00016,0.05891,0.01599,0.02208,0.02828,0.09626,0.01068,0.00140,0.01306,0.01535,0.00710,0.00126,0.01652,0.08026,0.04920,0.00400,0.00117,
14                    10,0.00165,0.73756,0.15974,0.20199,0.17616,1.02217,0.35993,0.05684,0.23147,0.36398,0.09503,0.01141,0.12576,0.50988,1.19527,0.38751,0.34000,
14                    11,0.00166,0.67650,0.17503,0.22364,0.17215,1.54856,0.45372,0.04845,0.42247,0.33931,0.09606,0.00903,0.11161,0.45214,0.89985,0.42333,0.04477,
14                    12,0.00208,0.49893,0.21907,0.28477,0.21943,1.36873,0.15034,0.02760,0.17757,0.33331,0.14122,0.01171,0.11903,0.55539,0.73302,0.29141,0.02681,
14                    13,0.00021,0.07141,0.01678,0.02899,0.02997,0.14535,0.01438,0.00189,0.01806,0.02015,0.01053,0.00165,0.01724,0.08631,0.06242,0.00486,0.00146,
15                    1,0.00057,0.09279,0.08864,0.07616,0.08210,0.37571,0.43425,0.01185,0.36091,0.16426,0.04321,0.00345,0.04484,0.28604,0.31995,0.38201,0.01645,
15                    2,0.00122,0.38214,0.26668,0.16653,0.13206,0.68300,0.17213,0.02450,0.13628,0.26755,0.08117,0.00899,0.07932,0.41361,0.77769,0.35558,0.01589,
15                    3,0.00002,0.00340,0.00123,0.00099,0.00070,0.00081,0.00557,0.00026,0.00531,0.00053,0.00050,0.00008,0.00075,0.00207,0.00397,0.00106,0.00868,
15                    4,0.00055,0.15393,0.20182,0.05777,0.02681,0.20128,0.17386,0.02276,0.18213,0.10746,0.02624,0.00383,0.02570,0.16931,0.24972,0.18498,0.04467,
15                    5,0.00127,0.39088,0.27191,0.17890,0.13866,0.72386,0.18089,0.02495,0.14151,0.27172,0.08767,0.00916,0.08335,0.43754,0.78301,0.35512,0.01589,
15                    6,0.00163,0.48682,0.20187,0.27256,0.18448,1.31781,0.16706,0.02968,0.16487,0.33706,0.12930,0.01063,0.10398,0.48363,0.77886,0.48263,0.01653,
15                    7,0.00234,0.41613,0.24112,0.29581,0.16739,0.93101,0.38325,0.03179,0.17466,0.18395,0.12752,0.01290,0.15745,0.76820,0.62704,0.04174,0.02045,
15                    8,0.00053,0.14820,0.23866,0.05134,0.02475,0.14679,0.14561,0.01903,0.15389,0.08666,0.02481,0.00326,0.02342,0.15559,0.21672,0.14069,0.02804,
15                    9,0.00136,0.40065,0.27798,0.19777,0.14657,0.81295,0.16897,0.02544,0.13814,0.27345,0.09913,0.00956,0.08786,0.45212,0.79531,0.35619,0.01605,
15                    10,0.00116,0.16327,0.03081,0.23979,0.09203,1.53256,0.16891,0.01497,0.13923,0.50049,0.06098,0.00831,0.08633,0.35580,0.76602,0.22893,0.32342,
15                    11,0.00051,0.09088,0.08172,0.07189,0.07385,0.34386,0.41268,0.01150,0.34084,0.15484,0.03875,0.00316,0.03947,0.26466,0.31227,0.36757,0.03202,
15                    12,0.00003,0.00386,0.00125,0.00120,0.00094,0.00075,0.00583,0.00030,0.00561,0.00046,0.00057,0.00009,0.00081,0.00237,0.00395,0.00101,0.00875,
15                    13,0.00125,0.38425,0.27262,0.17476,0.13629,0.70063,0.17046,0.02431,0.13411,0.26780,0.08539,0.00908,0.08113,0.42998,0.77697,0.36049,0.01583,
15                    14,0.00192,0.50346,0.22071,0.28020,0.21448,1.34458,0.14265,0.02914,0.16166,0.33510,0.13266,0.01091,0.11297,0.54088,0.76959,0.30879,0.01607,
16                    1,0.00186,0.34494,0.25652,0.18179,0.12093,0.57425,0.31897,0.02994,0.24957,0.17707,0.07479,0.01200,0.12369,0.69309,0.53170,0.31203,0.03445,
16                    2,0.00187,0.70476,0.18509,0.12148,0.08295,0.41357,0.32318,0.05421,0.25852,0.17477,0.05643,0.01278,0.16057,0.42729,0.47660,0.39755,0.00679,
