**** Analysis Summary ****

Time of run: ,07/07/15 17:08
Concentration file: ,E:\pmf\JIcH.csv
Uncertainty file: ,E:\pmf\JIcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  7.83000, 50.88500, 69.59500,117.46250,1255.81000, 100.00 %, 100.00 %
10                    6,0.00556,0.04442,0.01148,0.01470,0.01397,0.17972,4.32155,0.91168,2.22254,0.60504,0.01329,0.00319,0.00774,0.00595,0.01311,0.01206,0.02761,0.45350,0.55606,0.00055,0.00816,0.00055,0.10825,
10                    7,0.03312,0.23331,0.03372,0.08775,0.09709,0.24698,19.20079,5.41541,13.62707,2.93443,0.07212,0.00466,0.01393,0.01905,0.06498,0.03371,0.03685,0.50591,0.97890,0.00279,0.04265,0.00239,0.09961,
10                    8,0.01002,0.04154,0.00931,0.02851,0.03334,0.10070,6.09980,0.91132,4.38942,0.61595,0.02058,0.00177,0.00393,0.00573,0.01955,0.00788,0.01219,0.20104,0.29689,0.00062,0.00738,0.00060,0.04596,
10                    9,0.01001,0.18577,0.02681,0.02966,0.03347,0.13461,3.49475,4.29034,2.76658,2.42846,0.04377,0.00328,0.01158,0.02036,0.03871,0.02217,0.03043,0.33289,0.68048,0.00210,0.03392,0.00172,0.07370,
11                    1,0.02888,0.40864,0.06481,0.10080,0.12656,0.23651,5.45422,11.77865,4.84863,8.74293,0.17582,0.00720,0.02494,0.06177,0.08731,0.05267,0.06089,0.56049,1.30556,0.00282,0.08924,0.00393,0.12587,
11                    2,0.01056,0.07810,0.01850,0.02695,0.03071,0.11398,6.41978,1.75973,4.21117,1.05015,0.02386,0.00215,0.00585,0.00860,0.02022,0.01201,0.01700,0.24163,0.40159,0.00106,0.01400,0.00089,0.05402,
11                    3,0.00788,0.13860,0.02405,0.02035,0.02267,0.10504,2.70323,3.17125,2.26794,1.78828,0.03320,0.00244,0.00865,0.01545,0.03315,0.01660,0.02299,0.25276,0.52094,0.00158,0.02546,0.00126,0.05641,
11                    4,0.00822,0.00387,0.00218,0.02041,0.02219,0.07926,5.54416,0.03034,4.30731,0.08186,0.01313,0.00097,0.00149,0.00285,0.02329,0.00289,0.00613,0.14944,0.17179,0.00010,0.00092,0.00022,0.03146,
11                    5,0.00339,0.05376,0.01156,0.00920,0.01052,0.04705,1.21225,1.22703,1.00805,0.72749,0.01427,0.00106,0.00349,0.00709,0.01518,0.00653,0.00950,0.10924,0.21146,0.00066,0.01006,0.00055,0.02460,
11                    6,0.00380,0.02120,0.00966,0.00963,0.00931,0.11600,3.06194,0.40697,1.64128,0.28121,0.00741,0.00206,0.00472,0.00251,0.00744,0.00726,0.01699,0.28874,0.34028,0.00029,0.00379,0.00032,0.06908,
11                    7,0.03285,0.17680,0.03090,0.08618,0.09547,0.24158,20.07713,4.06490,14.66182,2.21524,0.06554,0.00404,0.01104,0.01425,0.06584,0.02753,0.03058,0.47410,0.84510,0.00214,0.03239,0.00201,0.09157,
11                    8,0.00979,0.02003,0.00821,0.02786,0.03318,0.07684,6.14847,0.41334,4.74477,0.31334,0.01812,0.00120,0.00213,0.00313,0.01859,0.00466,0.00665,0.13343,0.18871,0.00037,0.00349,0.00043,0.02925,
11                    9,0.00645,0.13316,0.02317,0.01895,0.02206,0.07710,1.98235,3.08136,1.66999,1.70761,0.03028,0.00205,0.00774,0.01292,0.02363,0.01513,0.01953,0.19314,0.44266,0.00151,0.02417,0.00123,0.04163,
11                    10,0.00071,0.00482,0.00071,0.00202,0.00219,0.01078,0.40315,0.10501,0.29223,0.07235,0.00207,0.00024,0.00052,0.00101,0.00243,0.00086,0.00160,0.02491,0.03645,0.00011,0.00098,0.00010,0.00578,
12                    1,0.03145,0.39564,0.07358,0.10985,0.13825,0.22474,8.44592,11.48534,6.27500,8.45728,0.16832,0.00702,0.02406,0.05552,0.07894,0.05201,0.05774,0.52777,1.23804,0.00290,0.08603,0.00393,0.11465,
12                    2,0.00580,0.08637,0.01362,0.01657,0.01793,0.10738,2.66106,1.94550,1.90934,1.16275,0.02313,0.00219,0.00647,0.01082,0.02274,0.01190,0.01976,0.25969,0.41664,0.00101,0.01581,0.00085,0.05983,
12                    3,0.02112,0.15488,0.02144,0.04921,0.05191,0.23083,10.92227,3.45477,8.69595,2.08731,0.05690,0.00403,0.01120,0.02289,0.08184,0.02124,0.03308,0.47236,0.82537,0.00161,0.02891,0.00158,0.10579,
12                    4,0.00088,0.00062,0.00036,0.00111,0.00089,0.01328,0.69809,0.00242,0.40911,0.00927,0.00058,0.00024,0.00038,0.00035,0.00134,0.00055,0.00147,0.02899,0.04139,0.00003,0.00014,0.00003,0.00653,
12                    5,0.01493,0.06556,0.01002,0.03416,0.03567,0.15319,8.61492,1.42072,6.63569,0.94657,0.03344,0.00238,0.00551,0.01283,0.05390,0.01050,0.01756,0.29213,0.45787,0.00069,0.01253,0.00082,0.06482,
12                    6,0.00785,0.02809,0.00724,0.01417,0.01170,0.18318,6.14613,0.51383,3.57060,0.38981,0.01248,0.00281,0.00637,0.00518,0.02022,0.00938,0.02466,0.44193,0.49602,0.00030,0.00548,0.00040,0.10195,
12                    7,0.01266,0.18115,0.02254,0.03686,0.04241,0.09401,5.46431,4.26270,4.25016,2.22482,0.04276,0.00250,0.00951,0.01211,0.02696,0.02216,0.02362,0.23570,0.58474,0.00197,0.03314,0.00159,0.04503,
12                    8,0.00315,0.02276,0.00434,0.00691,0.00786,0.04878,1.74783,0.49251,1.23362,0.34008,0.00751,0.00093,0.00218,0.00318,0.00862,0.00376,0.00722,0.10911,0.15261,0.00029,0.00409,0.00029,0.02564,
12                    9,0.01382,0.14751,0.01983,0.03322,0.03432,0.15974,6.56531,3.34878,5.23467,1.95561,0.04450,0.00312,0.00966,0.01879,0.05819,0.01820,0.02695,0.34173,0.65730,0.00151,0.02716,0.00146,0.07550,
12                    10,0.00666,0.00513,0.00177,0.01439,0.01447,0.05053,4.69807,0.08647,3.11004,0.08632,0.00779,0.00070,0.00095,0.00172,0.01357,0.00231,0.00315,0.08025,0.11804,0.00016,0.00097,0.00023,0.01695,
12                    11,0.00769,0.00314,0.00222,0.01797,0.01829,0.06162,5.36137,0.02665,3.85346,0.06691,0.01042,0.00079,0.00099,0.00228,0.01941,0.00227,0.00369,0.10016,0.12966,0.00011,0.00071,0.00025,0.02096,
13                    1,0.04105,0.62782,0.11270,0.14670,0.18778,0.41111,9.72403,16.77928,8.54811,11.53232,0.23986,0.01092,0.03770,0.09925,0.14871,0.07688,0.09487,0.94567,2.07274,0.00520,0.12878,0.00613,0.21183,
13                    2,0.01152,0.01085,0.00315,0.02655,0.03127,0.08308,7.62944,0.20642,5.41193,0.18108,0.01609,0.00112,0.00165,0.00215,0.01826,0.00414,0.00591,0.13365,0.19385,0.00023,0.00190,0.00027,0.02969,
13                    3,0.00217,0.03384,0.00433,0.00468,0.00487,0.02520,0.73718,0.78100,0.61633,0.43249,0.00711,0.00066,0.00222,0.00321,0.00760,0.00437,0.00577,0.06269,0.13119,0.00044,0.00631,0.00032,0.01398,
13                    4,0.01626,0.04630,0.00881,0.04084,0.04673,0.17548,9.82842,0.94201,7.79110,0.69098,0.03642,0.00238,0.00520,0.01204,0.05289,0.00912,0.01848,0.34282,0.46131,0.00051,0.00891,0.00065,0.07634,
13                    5,0.00045,0.00208,0.00036,0.00106,0.00133,0.00363,0.20416,0.04485,0.17311,0.03111,0.00089,0.00010,0.00019,0.00032,0.00095,0.00038,0.00055,0.00719,0.01209,0.00007,0.00044,0.00004,0.00171,
13                    6,0.00457,0.00556,0.00158,0.01163,0.01351,0.06704,3.04803,0.08089,2.15471,0.07275,0.00821,0.00115,0.00207,0.00128,0.00967,0.00339,0.00787,0.14788,0.19296,0.00009,0.00088,0.00013,0.03521,
13                    7,0.03825,0.06454,0.01135,0.09458,0.10622,0.28040,24.85499,1.37498,18.58082,0.87336,0.06035,0.00352,0.00630,0.00876,0.07986,0.01712,0.02216,0.49069,0.68870,0.00082,0.01237,0.00109,0.09835,
13                    8,0.01429,0.00760,0.00215,0.03862,0.04726,0.09023,8.67808,0.11142,7.07761,0.13892,0.02666,0.00106,0.00127,0.00338,0.02990,0.00316,0.00472,0.12956,0.18778,0.00014,0.00143,0.00029,0.02815,
13                    9,0.00320,0.03167,0.00413,0.00892,0.01113,0.02201,1.41955,0.74218,1.18748,0.40290,0.00924,0.00057,0.00187,0.00226,0.00514,0.00396,0.00465,0.04850,0.11350,0.00040,0.00578,0.00031,0.01010,
