**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 14

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.56300,  0.18917,  1.90228, 12.47250, 12.51650, 13.72900,  9.22700,  5.60957,  0.60795,  0.48513
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.02135,  0.04366,  0.00898,  0.01627,  1.81227,  0.00000
Mg,  0.17601,  0.00659,  0.02377,  0.16329,  0.17290,  0.17695,  0.12285,  0.07147,  0.58174,  0.40603
Al,  1.18020,  0.01763,  0.11311,  1.17060,  1.17833,  1.27250,  0.86303,  0.53328,  0.61792,  0.45186
Si,  2.71820,  0.00000,  0.21435,  2.68170,  2.71030,  2.91770,  1.96609,  1.24033,  0.63086,  0.45631
P,  0.00864,  0.00000,  0.00282,  0.00830,  0.00878,  0.01540,  0.00675,  0.00418,  0.61955,  0.48400
S,  0.16896,  0.02444,  0.08848,  0.14437,  0.15110,  0.41314,  0.13388,  0.08221,  0.61408,  0.48659
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.22000,  0.00000,  0.05183,  0.24579,  0.24771,  0.27766,  0.18583,  0.10719,  0.57681,  0.48722
Ca,  0.14926,  0.00000,  0.03732,  0.16557,  0.16906,  0.17970,  0.12622,  0.07507,  0.59475,  0.50294
Ti,  0.06085,  0.00024,  0.00615,  0.06190,  0.06202,  0.06736,  0.04557,  0.02829,  0.62092,  0.46498
V,  0.00082,  0.00003,  0.00028,  0.00094,  0.00094,  0.00101,  0.00072,  0.00040,  0.55247,  0.48438
Mn,  0.00855,  0.00000,  0.00085,  0.00887,  0.00889,  0.00966,  0.00651,  0.00408,  0.62691,  0.47689
Fe,  0.49640,  0.00011,  0.05231,  0.51135,  0.51239,  0.55609,  0.37610,  0.23431,  0.62301,  0.47202
Zn,  0.00106,  0.00000,  0.00145,  0.00311,  0.00339,  0.00355,  0.00260,  0.00109,  0.42101,  1.02740
Br,  0.00107,  0.00000,  0.00000,  0.00000,  0.01485,  0.02371,  0.00560,  0.00954,  1.70559,  8.96149
Pb,  0.00000,  0.00000,  0.00105,  0.00106,  0.00109,  0.00240,  0.00116,  0.00045,  0.38646,  0.00000
BC,  0.05232,  0.00000,  0.10222,  0.27547,  0.28336,  1.15080,  0.25149,  0.24179,  0.96143,  4.62113

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.24013,  0.24013, 11.66925, 12.14500, 18.62750, 26.02100, 13.84576,  5.22732,  0.37754, 21.76873
Na,  0.00281,  0.00000,  0.00000,  0.00000,  0.00000,  0.00281,  0.00014,  0.00063,  4.47214,  0.22361
Mg,  0.00646,  0.00646,  0.02511,  0.02681,  0.22428,  0.31253,  0.09556,  0.12238,  1.28066, 18.95206
Al,  0.01108,  0.01108,  0.24836,  0.25032,  1.69154,  2.07960,  0.70945,  0.80070,  1.12863, 72.28494
Si,  0.00037,  0.00037,  0.61370,  0.63319,  3.93628,  4.79820,  1.67614,  1.83234,  1.09319,4982.69648
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00331,  0.00884,  0.00185,  0.00340,  1.83455,  0.00000
S,  0.00680,  0.00680,  0.02876,  0.02942,  0.03365,  0.09416,  0.03982,  0.02494,  0.62634,  3.66992
Cl,  0.00000,  0.00000,  0.00000,  0.05064,  0.05715,  0.16150,  0.04265,  0.03763,  0.88221,  0.00000
K,  0.01365,  0.01365,  0.31178,  0.46424,  0.48064,  0.65359,  0.41033,  0.13953,  0.34005, 10.21935
Ca,  0.00339,  0.00000,  0.00000,  0.00000,  0.10442,  0.28028,  0.06135,  0.11205,  1.82629, 33.08727
Ti,  0.00032,  0.00032,  0.01250,  0.01281,  0.08745,  0.10908,  0.03672,  0.04176,  1.13736,130.77246
V,  0.00003,  0.00003,  0.00017,  0.00020,  0.00113,  0.00139,  0.00049,  0.00051,  1.04063, 18.82561
Mn,  0.00002,  0.00002,  0.00269,  0.00269,  0.01335,  0.01568,  0.00599,  0.00573,  0.95694,320.18812
Fe,  0.00000,  0.00000,  0.10394,  0.10449,  0.70661,  0.89605,  0.30081,  0.34145,  1.13509,  0.00000
Zn,  0.00113,  0.00034,  0.00356,  0.01116,  0.01117,  0.01394,  0.00870,  0.00469,  0.53884,  4.14023
Br,  0.01575,  0.00000,  0.00351,  0.00457,  0.00464,  0.01575,  0.00463,  0.00283,  0.61236,  0.17993
Pb,  0.00106,  0.00049,  0.00142,  0.00317,  0.00361,  0.00499,  0.00273,  0.00131,  0.48112,  1.24250
BC,  0.04578,  0.00000,  0.00000,  0.02289,  0.31033,  0.36708,  0.14284,  0.15828,  1.10810,  3.45788

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 42.70186, 18.77150, 30.59526, 31.64793, 34.08247, 42.70186, 31.97894,  4.53058,  0.14167,  0.10610
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 44.57117,  8.58559, 22.19953, 45.39073, 45.79017, 75.45336, 38.55771, 17.24783,  0.44732,  0.38697
Al, 47.80181, 11.79117, 25.27782, 44.35676, 44.98222, 73.09421, 38.91927, 15.21235,  0.39087,  0.31824
Si, 48.71980, 11.51062, 25.43910, 44.72258, 45.49351, 72.53300, 39.19968, 15.29236,  0.39011,  0.31388
P, 10.15636,  0.00000,  6.03819, 10.74368, 10.79452, 35.39265,  9.60761,  7.40457,  0.77070,  0.72906
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.56020,  0.05946,  0.15614,  2.62597,  0.00000
Cl, 28.74682,  7.07940, 22.52542, 23.35116, 28.63131, 29.36326, 24.03823,  4.91594,  0.20451,  0.17101
K, 30.00812,  2.82769, 12.15510, 14.28111, 23.47028, 30.00812, 16.35529,  6.66294,  0.40739,  0.22204
Ca, 69.86374, 59.22669, 66.74735, 69.06550, 69.45276, 80.93118, 67.71741,  5.02902,  0.07426,  0.07198
Ti, 55.89274, 27.65652, 37.27044, 52.24744, 52.91529, 74.69363, 48.10581, 11.87703,  0.24689,  0.21250
V, 44.74900, 26.71303, 33.73713, 40.45670, 41.01711, 52.15263, 38.69958,  5.98599,  0.15468,  0.13377
Mn, 53.64220, 26.13202, 35.99087, 48.26260, 49.22732, 64.79902, 44.84843,  9.89700,  0.22068,  0.18450
Fe, 57.01543, 31.53878, 39.85678, 53.36041, 54.03242, 73.77054, 49.68210, 10.71673,  0.21571,  0.18796
Zn, 24.31891,  0.00000,  3.41334,  3.68385, 20.09302, 26.76486,  9.56203, 10.00679,  1.04651,  0.41148
Br,  7.93730,  0.00000,  0.00000,  0.00000,  2.26247,  8.69809,  1.40974,  2.57282,  1.82502,  0.32414
Pb, 20.06110,  1.17177,  6.65688,  6.86510, 17.27268, 20.22383, 10.21318,  6.07424,  0.59475,  0.30279
BC,  2.41675,  0.00000,  0.00000,  0.00000,  0.00000,  2.41675,  0.18144,  0.54866,  3.02401,  0.22702

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 20.53433,  9.49369, 14.34485, 15.34160, 15.70908, 28.25358, 15.49580,  3.74839,  0.24190,  0.18254
Na, 46.70016,  0.00000, 20.52646, 44.41818, 45.91926, 46.70016, 35.31926, 15.74072,  0.44567,  0.33706
Mg,  0.00000,  0.00000,  0.94858,  1.64266,  1.64849,  6.45856,  2.08001,  1.89743,  0.91222,  0.00000
Al,  0.83656,  0.00000,  0.00000,  0.00000,  1.66280,  6.37899,  1.13644,  2.16576,  1.90574,  2.58890
Si,  0.39191,  0.00000,  0.13339,  0.14120,  1.78750,  6.61633,  1.31176,  2.28201,  1.73966,  5.82274
P, 52.45788,  4.04095, 50.76949, 52.77861, 53.14876, 58.61913, 49.81914, 10.97612,  0.22032,  0.20924
S, 66.98848, 30.51995, 59.32873, 64.06217, 65.58303, 66.98848, 60.86261,  8.46462,  0.13908,  0.12636
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 37.14572, 19.63814, 28.07376, 31.52041, 31.57365, 53.35450, 30.89129,  6.62412,  0.21443,  0.17833
Ca,  8.98383,  0.00000,  4.94552,  5.83932,  5.93427,  8.98383,  5.27218,  2.02515,  0.38412,  0.22542
Ti,  2.57138,  0.32197,  1.06971,  1.09337,  2.00158,  5.79451,  1.81026,  1.51947,  0.83937,  0.59092
V, 18.52054,  6.19556, 10.77303, 11.38602, 12.12788, 18.52054, 11.51758,  2.19189,  0.19031,  0.11835
Mn,  5.80681,  2.41390,  2.41893,  2.85109,  4.10166,  6.29631,  3.33181,  1.25337,  0.37618,  0.21584
Fe,  4.16733,  0.89539,  1.78639,  1.80970,  2.65400,  6.05286,  2.47068,  1.33698,  0.54114,  0.32082
Zn, 37.81124, 10.42051, 19.73803, 23.50692, 25.27207, 50.11027, 23.96219,  8.29627,  0.34622,  0.21941
Br, 29.85135,  0.00000,  7.46284, 50.78394, 50.92999, 57.91703, 37.31880, 22.66556,  0.60735,  0.75928
Pb, 35.57797,  3.43958, 15.31198, 18.07742, 21.55428, 35.96070, 18.47221,  7.91832,  0.42866,  0.22256
BC, 43.35210,  0.00000, 11.89134, 12.12227, 18.78412, 43.35210, 14.56795,  8.81360,  0.60500,  0.20330

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 14.79458,  4.93709,  8.67380, 10.49417, 14.10410, 27.28714, 12.82234,  6.44750,  0.50283,  0.43580
