**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Rb,  0.00026,  0.00026,  0.00026,  0.00026,  0.00026,  0.00026,  0.00026,  0.00000,  0.00115,  0.00115
Sr,  0.00052,  0.00052,  0.00052,  0.00052,  0.00052,  0.00052,  0.00052,  0.00000,  0.00071,  0.00071
Zr,  0.00017,  0.00017,  0.00017,  0.00017,  0.00017,  0.00017,  0.00017,  0.00000,  0.00080,  0.00081
Pb,  0.00343,  0.00342,  0.00343,  0.00343,  0.00343,  0.00344,  0.00343,  0.00000,  0.00104,  0.00104
BC,  0.56249,  0.56219,  0.56268,  0.56337,  0.56499,  0.56959,  0.56411,  0.00188,  0.00333,  0.00334

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 58.31633, 58.22608, 58.28894, 58.31639, 58.33388, 58.35335, 58.30902,  0.03335,  0.00057,  0.00057
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 83.70151, 83.66829, 83.69564, 83.70754, 83.71550, 83.73453, 83.70591,  0.01552,  0.00019,  0.00019
Al, 85.45962, 85.43121, 85.45694, 85.47051, 85.47594, 85.49789, 85.46749,  0.01616,  0.00019,  0.00019
Si, 85.97350, 85.94653, 85.97174, 85.98433, 85.98985, 86.01194, 85.98169,  0.01583,  0.00018,  0.00018
P, 33.93502, 33.80221, 33.87298, 33.93314, 33.94316, 33.97124, 33.91237,  0.04684,  0.00138,  0.00138
S,  9.41466,  9.29157,  9.36996,  9.39938,  9.41083,  9.42690,  9.38842,  0.03440,  0.00366,  0.00365
Cl, 32.52256, 32.46557, 32.48425, 32.50112, 32.52297, 32.53938, 32.50243,  0.02328,  0.00072,  0.00072
K, 39.52285, 39.40395, 39.48226, 39.52223, 39.53456, 39.56001, 39.50682,  0.04157,  0.00105,  0.00105
Ca, 78.33760, 78.28546, 78.32646, 78.34160, 78.35431, 78.36863, 78.34062,  0.02057,  0.00026,  0.00026
Ti, 84.65184, 84.62122, 84.64768, 84.66234, 84.66792, 84.68892, 84.65918,  0.01627,  0.00019,  0.00019
V, 63.06849, 62.98209, 63.04713, 63.06954, 63.08644, 63.10954, 63.06500,  0.03064,  0.00049,  0.00049
Cr, 59.09663, 59.01988, 59.08196, 59.09539, 59.11124, 59.13970, 59.09496,  0.02905,  0.00049,  0.00049
Mn, 79.46457, 79.42079, 79.45576, 79.47081, 79.48377, 79.50076, 79.46988,  0.01991,  0.00025,  0.00025
Fe, 83.20416, 83.16825, 83.19750, 83.21326, 83.22057, 83.24051, 83.21053,  0.01750,  0.00021,  0.00021
Ni,  3.25114,  3.17089,  3.22154,  3.24151,  3.24582,  3.25968,  3.23460,  0.01993,  0.00616,  0.00613
Cu, 31.94301, 31.85637, 31.91563, 31.93215, 31.94667, 31.96962, 31.92706,  0.02975,  0.00093,  0.00093
Zn, 26.12780, 26.02382, 26.08813, 26.12469, 26.13176, 26.14812, 26.10899,  0.03395,  0.00130,  0.00130
Br,  8.50768,  8.39954,  8.46788,  8.49382,  8.50385,  8.51919,  8.48449,  0.03006,  0.00354,  0.00353
Rb, 65.61974, 65.54823, 65.59872, 65.62089, 65.63686, 65.65599, 65.61728,  0.02846,  0.00043,  0.00043
Sr, 74.88413, 74.82672, 74.86934, 74.88605, 74.90044, 74.91530, 74.88439,  0.02230,  0.00030,  0.00030
Zr, 81.01709, 80.97689, 81.00943, 81.02323, 81.03469, 81.05255, 81.02239,  0.01825,  0.00023,  0.00023
Pb, 19.81148, 19.71389, 19.77737, 19.80558, 19.81119, 19.82704, 19.79312,  0.02907,  0.00147,  0.00147
BC,  4.48935,  4.38616,  4.45548,  4.47819,  4.48376,  4.49908,  4.46859,  0.02607,  0.00583,  0.00581

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 35.80608, 35.75732, 35.78318, 35.79443, 35.82222, 35.86775, 35.80133,  0.02921,  0.00082,  0.00082
Na, 33.48243, 33.29455, 33.38601, 33.41887, 33.44527, 33.48243, 33.41311,  0.04197,  0.00126,  0.00125
Mg, 13.41456, 13.37617, 13.39806, 13.40370, 13.41474, 13.44043, 13.40666,  0.01563,  0.00117,  0.00117
Al, 14.51854, 14.48006, 14.50195, 14.50764, 14.52110, 14.54635, 14.51051,  0.01611,  0.00111,  0.00111
Si, 14.02650, 13.98806, 14.01015, 14.01567, 14.02826, 14.05347, 14.01831,  0.01583,  0.00113,  0.00113
P, 66.06498, 66.02876, 66.05684, 66.06686, 66.12702, 66.19779, 66.08763,  0.04684,  0.00071,  0.00071
S, 79.49154, 79.43970, 79.46502, 79.49944, 79.55751, 79.60962, 79.51073,  0.05235,  0.00066,  0.00066
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 54.26033, 54.20845, 54.24469, 54.25218, 54.29278, 54.35070, 54.26327,  0.03807,  0.00070,  0.00070
Ca, 19.09709, 19.06325, 19.07624, 19.08834, 19.10112, 19.13941, 19.08911,  0.01915,  0.00100,  0.00100
Ti, 14.79201, 14.75401, 14.77500, 14.78075, 14.79458, 14.82025, 14.78363,  0.01606,  0.00109,  0.00109
V, 31.60866, 31.55477, 31.58451, 31.59689, 31.61594, 31.67133, 31.59993,  0.02702,  0.00086,  0.00085
