**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Cl,  0.04607,  0.03177,  0.04177,  0.04590,  0.04597,  0.05607,  0.04321,  0.00642,  0.14854,  0.13933
K,  0.10317,  0.09629,  0.10315,  0.10325,  0.10449,  0.11243,  0.10480,  0.00417,  0.03979,  0.04041
Ca,  0.16903,  0.16618,  0.16851,  0.16877,  0.17390,  0.20246,  0.17157,  0.00790,  0.04607,  0.04676
Ti,  0.03402,  0.03386,  0.03399,  0.03402,  0.03474,  0.03617,  0.03431,  0.00061,  0.01766,  0.01781
V,  0.00044,  0.00043,  0.00044,  0.00044,  0.00046,  0.00052,  0.00045,  0.00002,  0.04472,  0.04556
Mn,  0.00512,  0.00511,  0.00512,  0.00512,  0.00522,  0.00531,  0.00516,  0.00007,  0.01289,  0.01298
Fe,  0.29577,  0.29405,  0.29547,  0.29575,  0.30250,  0.31848,  0.29855,  0.00612,  0.02049,  0.02069
Zn,  0.00116,  0.00116,  0.00116,  0.00116,  0.00123,  0.00126,  0.00118,  0.00004,  0.03368,  0.03440
Br,  0.00043,  0.00040,  0.00042,  0.00043,  0.00043,  0.00141,  0.00047,  0.00022,  0.46666,  0.52069
Pb,  0.00020,  0.00017,  0.00019,  0.00020,  0.00020,  0.00044,  0.00020,  0.00006,  0.26932,  0.28031
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.76530,  0.38599,  3.45420,  3.76820,  3.77273,  4.36320,  3.57504,  0.79821,  0.22327,  0.21199
Na,  0.00163,  0.00000,  0.00142,  0.00148,  0.00635,  0.04194,  0.00465,  0.00920,  1.97790,  5.65779
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00573,  0.00029,  0.00128,  4.47214,  0.00000
Al,  0.05566,  0.02412,  0.04419,  0.05623,  0.05638,  0.06702,  0.05239,  0.01036,  0.19767,  0.18607
Si,  0.10287,  0.00905,  0.07750,  0.10403,  0.10435,  0.12497,  0.09410,  0.02628,  0.27923,  0.25542
P,  0.00220,  0.00000,  0.00066,  0.00220,  0.00221,  0.00253,  0.00172,  0.00095,  0.55360,  0.43240
S,  0.05165,  0.00000,  0.04836,  0.05172,  0.05180,  0.05808,  0.04179,  0.02156,  0.51577,  0.41736
Cl,  0.03682,  0.00000,  0.03683,  0.03690,  0.03693,  0.11872,  0.05094,  0.03565,  0.69980,  0.96808
K,  0.10637,  0.02094,  0.08352,  0.10645,  0.10659,  0.12399,  0.09783,  0.02315,  0.23668,  0.21767
Ca,  0.11136,  0.00000,  0.11164,  0.11175,  0.11556,  0.12071,  0.10777,  0.02553,  0.23693,  0.22929
Ti,  0.00713,  0.00052,  0.00679,  0.00718,  0.00718,  0.00806,  0.00682,  0.00153,  0.22399,  0.21421
V,  0.00044,  0.00019,  0.00043,  0.00044,  0.00044,  0.00049,  0.00043,  0.00006,  0.13655,  0.13335
Mn,  0.00104,  0.00024,  0.00095,  0.00105,  0.00105,  0.00123,  0.00100,  0.00020,  0.19672,  0.18854
Fe,  0.08199,  0.00000,  0.07925,  0.08236,  0.08244,  0.09206,  0.07834,  0.01880,  0.24001,  0.22931
Zn,  0.00407,  0.00389,  0.00403,  0.00407,  0.00407,  0.00467,  0.00411,  0.00020,  0.04793,  0.04838
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02098,  0.00105,  0.00469,  4.47214,  0.00000
Pb,  0.00387,  0.00138,  0.00387,  0.00388,  0.00428,  0.00433,  0.00388,  0.00062,  0.15971,  0.15985
BC,  0.78753,  0.07149,  0.78725,  0.78798,  0.84389,  0.89346,  0.77376,  0.16924,  0.21873,  0.21490

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 46.53552, 43.48726, 43.94176, 46.45393, 46.46386, 46.53552, 45.60901,  1.25039,  0.02742,  0.02687
Na,  1.16113,  0.00000,  0.00000,  1.19602,  1.23668,  1.26276,  0.79101,  0.59607,  0.75356,  0.51336
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al, 20.37218, 17.19718, 18.92139, 20.29171, 20.31658, 22.27815, 19.65165,  1.39513,  0.07099,  0.06848
Si, 18.68371, 15.51682, 17.27384, 18.60547, 18.62909, 22.68639, 18.07537,  1.65243,  0.09142,  0.08844
P,  5.40154,  2.24962,  5.37362,  5.38065,  5.86450, 18.17101,  5.84470,  3.08360,  0.52759,  0.57087
S, 19.23229, 16.46784, 18.03427, 19.22029, 19.22875, 19.24004, 18.69654,  0.90362,  0.04833,  0.04698
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 48.11332, 44.72679, 45.69350, 48.09956, 48.10805, 48.11693, 47.21101,  1.30455,  0.02763,  0.02711
Ca,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 24.90960,  1.24548,  5.56996,  4.47214,  0.00000
Ti, 15.14098, 12.81955, 14.09064, 15.07873, 15.09724, 23.64660, 14.96904,  2.23709,  0.14945,  0.14775
V, 31.72738, 29.56154, 30.92351, 31.60651, 31.63019, 39.64706, 31.67650,  1.98380,  0.06263,  0.06253
Mn, 35.26095, 32.20007, 32.94781, 35.18459, 35.20825, 35.62384, 34.40217,  1.31466,  0.03821,  0.03728
Fe, 17.60467, 15.50712, 16.48071, 17.54271, 17.56089, 28.19043, 17.57294,  2.63462,  0.14992,  0.14965
Zn, 55.31015, 50.70468, 53.47059, 55.27644, 55.28748, 55.31015, 54.34843,  1.45960,  0.02686,  0.02639
Br, 43.91156,  0.00000, 41.13268, 43.96880, 44.03595, 44.10243, 40.92895,  9.72991,  0.23773,  0.22158
Pb, 54.95109, 51.93322, 53.79232, 54.90136, 54.91789, 58.97766, 54.59100,  1.39991,  0.02564,  0.02548
BC, 72.29475, 68.52163, 70.27729, 72.24028, 72.26183, 75.94033, 71.66766,  1.62577,  0.02268,  0.02249

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.12561, 10.12561, 10.13980, 10.15265, 11.66972, 12.50891, 10.78385,  0.92082,  0.08539,  0.09094
Na, 40.10083, 34.96295, 40.10786, 40.11869, 44.96738, 48.73025, 42.05538,  3.92218,  0.09326,  0.09781
Mg, 11.41506, 10.95984, 11.16565, 11.40794, 11.41288, 12.40932, 11.42101,  0.37144,  0.03252,  0.03254
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00001,  0.00000,  0.00000,  4.47214,  0.00000
Si,  0.16516,  0.16227,  0.16392,  0.16505,  0.16561,  1.09356,  0.21639,  0.20714,  0.95724,  1.25415
P, 60.09743, 59.51629, 60.08894, 60.10048, 60.88141, 70.55688, 62.22788,  4.25937,  0.06845,  0.07087
S, 49.06987, 49.00600, 49.08961, 49.10080, 53.29419, 57.46329, 51.17089,  3.44379,  0.06730,  0.07018
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 20.07255, 20.04264, 20.05515, 20.06102, 23.25509, 23.40984, 21.16022,  1.55021,  0.07326,  0.07723
Ca, 13.57092,  5.30992, 13.55494, 13.56036, 13.57632, 17.27982, 13.12220,  3.53361,  0.26928,  0.26038
Ti,  2.30475,  0.00443,  2.30031,  2.30203,  2.30609,  3.06650,  2.13675,  0.90149,  0.42190,  0.39114
V, 13.26435,  8.40135, 13.29090, 13.31695, 13.34155, 15.96811, 13.34183,  1.84266,  0.13811,  0.13892
