**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
K, 26.59541, 22.75769, 26.58058, 26.64383, 27.75477, 36.19591, 27.41310,  2.63886,  0.09626,  0.09922
Ca, 61.45575, 61.45575, 61.56830, 63.63167, 72.90346, 75.89178, 66.08784,  5.80018,  0.08776,  0.09438
Ti, 48.06788, 41.35808, 48.16938, 48.70732, 70.30413, 78.07239, 55.74414, 12.72164,  0.22821,  0.26466
V, 40.34136, 34.63977, 40.42237, 40.49345, 51.59712, 58.44974, 44.39499,  6.84460,  0.15418,  0.16967
Mn, 46.72213, 41.52056, 46.83113, 47.73976, 66.57999, 74.52206, 53.76493, 11.31083,  0.21038,  0.24209
Fe, 49.12892, 43.44742, 49.22979, 49.77105, 69.52144, 76.78180, 56.21947, 11.53083,  0.20510,  0.23471
Zn, 19.22274,  7.82704, 17.49530, 19.21013, 19.23328, 23.47550, 17.39896,  4.32754,  0.24872,  0.22513
Br, 10.22568,  0.00000,  3.61609, 10.24105, 10.27362, 13.16144,  8.04506,  4.49998,  0.55935,  0.44007
Pb, 16.92098,  8.67242, 15.11136, 16.94767, 16.96322, 19.29214, 15.63183,  3.11535,  0.19930,  0.18411
BC,  0.92956,  0.00000,  0.00000,  0.93087,  0.94126,  6.16577,  0.95320,  1.44033,  1.51105,  1.54948

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.62506,  6.30046, 11.64244, 11.75935, 20.03026, 26.19199, 14.35396,  5.47892,  0.38170,  0.47130
Na, 20.09405,  0.00000, 19.33681, 19.85275, 59.15859, 78.01249, 30.24121, 25.69316,  0.84961,  1.27865
Mg,  1.82574,  0.00000,  1.83183,  2.08113,  4.56999,  9.12321,  3.29702,  3.14008,  0.95240,  1.71989
Al,  3.74916,  3.27031,  3.74938,  3.88229,  4.71038, 12.67054,  5.57964,  3.61208,  0.64737,  0.96343
Si,  2.87204,  0.00000,  1.71712,  2.92086,  3.25641, 11.45992,  3.94007,  3.96704,  1.00685,  1.38126
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.43362, 15.21526,  0.96049,  3.37897,  3.51796,  0.00000
S,  6.33471,  0.00000,  4.03066,  6.15965,  6.34043, 22.87042,  6.66448,  5.13671,  0.77076,  0.81088
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 15.28350,  7.24658, 15.29936, 15.33849, 23.99845, 35.11931, 18.25350,  6.65705,  0.36470,  0.43557
Ca,  3.13765,  3.13765,  3.19094,  8.89063, 15.93007, 21.43065, 10.01649,  7.21122,  0.71993,  2.29829
Ti,  3.41434,  3.41030,  3.46388,  4.90265,  7.98086, 13.25813,  6.42390,  3.73184,  0.58093,  1.09299
V,  8.53545,  8.52134,  8.55704, 11.01512, 17.16002, 20.84187, 12.27194,  4.24399,  0.34583,  0.49722
Mn,  5.39836,  5.39836,  5.47539,  6.38019, 11.51476, 15.76608,  8.32135,  4.04114,  0.48563,  0.74859
Fe,  4.07790,  4.07790,  4.15507,  6.13889, 10.17794, 14.30455,  7.48855,  3.90843,  0.52192,  0.95844
Zn, 27.78979, 18.85275, 27.79018, 27.84486, 40.71736, 59.82639, 33.16476, 10.10890,  0.30481,  0.36376
Br, 20.37889,  8.57800, 20.27004, 20.43267, 26.10866, 47.29912, 22.77761,  7.62429,  0.33473,  0.37413
Pb, 32.55141, 32.50569, 32.55423, 36.23626, 46.73875, 66.81728, 40.19260,  9.56673,  0.23802,  0.29390
BC, 44.28032, 44.17816, 44.28319, 59.10290, 60.84530, 86.99712, 55.50256, 12.29667,  0.22155,  0.27770

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 28.94871, 17.26577, 21.97515, 28.70346, 28.93750, 33.64844, 27.02166,  4.58185,  0.16956,  0.15827
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 49.95147,  8.80693, 24.97508, 49.07066, 49.78883, 56.37936, 39.70600, 16.14183,  0.40653,  0.32315
Al, 48.47760, 16.31644, 25.00846, 48.03010, 48.33703, 57.71196, 39.90129, 13.27047,  0.33258,  0.27374
Si, 50.37642, 18.75548, 27.33941, 49.90538, 50.22815, 59.92822, 42.03488, 12.95086,  0.30810,  0.25708
P, 38.86298,  0.00000, 16.43597, 38.70805, 38.89539, 42.37710, 30.07498, 15.56641,  0.51759,  0.40055
S, 22.68962,  2.98757, 21.17975, 22.76243, 22.90332, 23.10539, 19.37509,  6.78353,  0.35012,  0.29897
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  9.56783,  0.47839,  2.13943,  4.47214,  0.00000
K, 24.01497, 13.57726, 18.06373, 23.93787, 24.53147, 42.06278, 24.54664,  7.82437,  0.31876,  0.32581
Ca, 22.57884,  0.00000,  3.20765, 18.64779, 22.38885, 22.57884, 14.57964,  9.32409,  0.63953,  0.41296
Ti, 40.41636, 12.89657, 19.95016, 39.93493, 40.23676, 45.35672, 32.57221, 10.93366,  0.33567,  0.27053
V, 28.59456,  8.12458, 19.79629, 28.23508, 28.50127, 30.35015, 23.91569,  6.11402,  0.25565,  0.21382
Mn, 38.56881, 14.77252, 22.67393, 37.78916, 38.38700, 42.20236, 31.88823,  8.64653,  0.27115,  0.22418
Fe, 37.74205, 11.75327, 18.96971, 37.25283, 37.56439, 41.50360, 30.32972,  9.96104,  0.32843,  0.26392
Zn, 12.66802,  3.23186, 11.14444, 12.65343, 15.20631, 51.58227, 17.47144, 15.43566,  0.88348,  1.21847
Br, 10.60363,  0.00000,  6.61816, 10.63028, 20.86370, 54.56892, 15.89827, 14.74380,  0.92738,  1.39045
Pb, 10.55702,  0.00000, 10.40655, 10.53851, 12.06631, 35.68422, 12.95069, 11.12639,  0.85913,  1.05393
BC, 12.01975,  0.00000,  7.87553, 12.04043, 12.76885, 24.09188, 11.62585,  7.53748,  0.64834,  0.62709

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.26329,  1.79563,  3.06912,  5.23383,  5.25892,  7.87369,  4.60839,  1.50469,  0.32651,  0.28588
Na, 29.84532, 17.43099, 21.75531, 29.97240, 30.15732, 43.63694, 29.60918,  8.43711,  0.28495,  0.28269
Mg, 11.82668,  4.55248,  6.52307,  9.98314, 11.82593, 11.83266,  9.21500,  2.82901,  0.30700,  0.23921
Al,  6.71221,  0.00451,  1.29552,  4.69389,  6.70994,  6.71373,  4.04796,  2.79643,  0.69083,  0.41662
Si,  6.93217,  0.00000,  1.85453,  4.86215,  6.93098,  6.93415,  4.31619,  2.75112,  0.63739,  0.39686
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 11.24253,  1.60140,  3.65639,  2.28325,  0.00000
S,  4.79836,  4.79836,  4.83398,  6.19197, 12.93407, 25.01736,  8.96425,  6.12048,  0.68277,  1.27554
Cl, 70.43504, 68.77120, 70.42270, 70.43996, 71.42290, 78.79113, 71.86132,  3.40611,  0.04740,  0.04836
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  8.88629,  1.09937,  2.48318,  2.25873,  0.00000
Ca,  8.24191,  0.00000,  0.33418,  5.86322,  8.21007,  8.24191,  4.75232,  3.66929,  0.77210,  0.44520
Ti,  7.07807,  0.60147,  0.80794,  4.55697,  7.06510,  7.07807,  4.08663,  3.04768,  0.74577,  0.43058
V,  5.15662,  1.57988,  2.54061,  5.08514,  5.15497,  5.25348,  3.96727,  1.41850,  0.35755,  0.27508
Mn,  6.66686,  0.14912,  1.40239,  4.36669,  6.65280,  6.66686,  3.99659,  2.73014,  0.68312,  0.40951
Fe,  6.97444,  0.35467,  0.92475,  4.45388,  6.95932,  6.97444,  4.02290,  2.99908,  0.74550,  0.43001
Zn,  2.95807,  2.02986,  2.93474,  2.94943,  6.79364, 14.96476,  5.32325,  4.22258,  0.79323,  1.42748
Br,  4.77722,  4.77364,  4.78319,  6.43095,  9.21008, 17.48629,  7.43252,  3.33907,  0.44925,  0.69896
Pb,  6.68147,  5.30251,  6.67538,  6.68492, 11.52406, 12.23666,  8.33857,  2.54298,  0.30497,  0.38060
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 10.33580,  1.81916,  3.77565,  2.07549,  0.00000

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.83554,  0.00000,  0.83554,  0.83857,  0.93636,  1.11093,  0.78367,  0.29861,  0.38104,  0.35738
Mg,  0.00000,  0.00000,  0.00000,  0.00043,  0.33225,  0.63654,  0.15013,  0.24489,  1.63122,  0.00000
Al,  0.17495,  0.03324,  0.14110,  0.17573,  0.22467,  3.06491,  0.35676,  0.66165,  1.85461,  3.78197
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  7.81291,  0.60298,  1.82888,  3.03307,  0.00000
P,  0.11457,  0.11404,  0.11438,  0.12495,  0.20793,  0.31596,  0.16220,  0.07010,  0.43217,  0.61185
S,  4.46054,  4.44101,  4.45389,  4.86410,  6.87600, 10.57624,  5.88524,  2.09858,  0.35658,  0.47048
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  4.38557,  4.36983,  4.37822,  4.46647,  4.75936,  5.44816,  4.64234,  0.37357,  0.08047,  0.08518
Ca,  0.51479,  0.00000,  0.51903,  0.52980,  0.72249,  1.29256,  0.64378,  0.28212,  0.43823,  0.54804
Ti,  0.01881,  0.00000,  0.01910,  0.01976,  0.02656,  0.14529,  0.02875,  0.02932,  1.01973,  1.55857
V,  0.00659,  0.00659,  0.00660,  0.00698,  0.00818,  0.01116,  0.00753,  0.00141,  0.18745,  0.21428
Mn,  0.00770,  0.00000,  0.00584,  0.00774,  0.00785,  0.01874,  0.00672,  0.00429,  0.63875,  0.55787
Fe,  0.34128,  0.10514,  0.34281,  0.35094,  0.41284,  1.19733,  0.39956,  0.21835,  0.54647,  0.63980
Zn,  0.11074,  0.03168,  0.06360,  0.10342,  0.11061,  0.11074,  0.08906,  0.03031,  0.34036,  0.27371
Br,  0.09444,  0.07072,  0.09422,  0.09514,  0.10348,  0.15451,  0.10298,  0.02038,  0.19790,  0.21580
Pb,  0.05277,  0.00112,  0.03071,  0.04602,  0.05271,  0.05277,  0.04060,  0.01619,  0.39882,  0.30683
BC, 12.01320,  0.00000,  9.30022, 10.93157, 11.99368, 12.01320,  9.81379,  3.45136,  0.35168,  0.28730

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.73110,  0.63599,  0.73066,  0.73195,  0.99336,  1.26729,  0.84535,  0.21500,  0.25433,  0.29408
Al,  5.59006,  4.63618,  5.57520,  5.58641,  7.50089,  8.89844,  6.29792,  1.41688,  0.22498,  0.25346
Si, 12.59354, 10.20656, 12.57771, 12.59487, 17.19256, 20.59458, 14.31145,  3.41154,  0.23838,  0.27090
