**** Analysis Summary ****

Time of run: ,06/30/15 14:29
Concentration file: ,E:\pmf\RFsH.csv
Uncertainty file: ,E:\pmf\RFsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 20.81250, 24.50500, 28.85250,115.18000, 100.00 %, 100.00 %
10                    4,0.00597,0.01431,0.00042,0.00375,0.00459,0.03054,1.99398,0.11991,2.55841,0.30612,0.00274,0.00482,0.00462,0.02080,0.01379,0.02753,0.00898,0.10889,0.32228,0.00167,0.00275,0.00051,0.03808,0.35048,
10                    5,0.06106,0.07615,0.00328,0.02881,0.07538,0.09122,8.79984,1.57243,10.61847,1.07399,0.01452,0.02046,0.02186,0.08289,0.06264,0.12198,0.04457,0.55013,1.59435,0.00882,0.01075,0.00200,0.17229,4.23576,
10                    6,0.01664,0.01022,0.00042,0.01118,0.02285,0.02520,1.41997,0.03921,2.73213,0.14881,0.00563,0.00703,0.00774,0.02732,0.00711,0.04757,0.01561,0.19197,0.51710,0.00378,0.00395,0.00066,0.06460,1.49663,
10                    7,0.06458,0.05691,0.00130,0.01066,0.02004,0.15607,14.12773,0.16186,16.41813,1.64959,0.00674,0.02688,0.02715,0.10753,0.07345,0.15128,0.05260,0.66364,2.03431,0.00941,0.01391,0.00250,0.21514,3.80457,
10                    8,0.00902,0.01018,0.00026,0.00235,0.00535,0.02744,1.84981,0.07921,2.20416,0.22555,0.00157,0.00378,0.00376,0.01532,0.01129,0.02157,0.00720,0.09015,0.29065,0.00142,0.00195,0.00036,0.03034,0.53245,
10                    9,0.03840,0.05915,0.00192,0.00870,0.02701,0.08846,9.22044,1.07488,10.79921,1.23580,0.00484,0.01878,0.01806,0.07410,0.06011,0.10416,0.03486,0.43351,1.51514,0.00650,0.00986,0.00175,0.14810,2.26157,
11                    1,0.01286,0.04714,0.00198,0.01218,0.02526,0.03859,3.20835,1.25307,3.98857,0.45324,0.00687,0.00767,0.00724,0.02829,0.02731,0.04685,0.01534,0.17357,0.73538,0.00281,0.00457,0.00088,0.06649,0.91137,
11                    2,0.27833,0.34749,0.01330,0.06957,0.21512,0.46213,53.08290,8.08256,58.18938,6.39210,0.03272,0.09157,0.09107,0.36721,0.35001,0.49920,0.18303,2.24202,7.98086,0.03274,0.04658,0.00850,0.72317,15.95699,
11                    3,0.13872,0.15058,0.00554,0.03476,0.09950,0.26157,26.34930,2.48622,30.00219,3.19207,0.01640,0.05144,0.05192,0.20382,0.15401,0.29117,0.10326,1.29945,4.00406,0.01908,0.02653,0.00483,0.41557,8.48922,
11                    4,0.05495,0.08842,0.00404,0.02081,0.05876,0.07639,9.37701,2.80961,9.81439,1.18626,0.00916,0.01492,0.01457,0.06094,0.07507,0.08080,0.03160,0.36143,1.45744,0.00554,0.00771,0.00154,0.11908,3.12863,
