**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Cl, 14.55817, 14.55817, 14.61742, 15.63446, 17.35427, 19.42046, 15.90271,  1.43206,  0.09005,  0.09837
K, 38.51341, 38.51341, 38.64347, 41.33043, 47.98863, 53.82695, 42.86892,  4.74440,  0.11067,  0.12319
Ca, 68.86231, 68.86231, 69.06811, 72.41912, 75.81513, 84.62561, 72.73146,  4.12967,  0.05678,  0.05997
Ti, 78.07077, 78.07077, 78.28006, 81.77300, 84.97234, 94.80016, 82.06028,  4.30940,  0.05252,  0.05520
V, 67.47540, 67.47540, 67.66500, 71.09547, 74.77983, 83.48369, 71.44953,  4.24447,  0.05941,  0.06290
Cr, 56.95697, 56.95697, 57.12537, 60.31280, 64.10250, 71.59554, 60.69634,  3.97824,  0.06554,  0.06985
Mn, 75.95740, 75.95740, 76.15971, 79.66037, 83.04033, 92.65363, 79.97945,  4.33254,  0.05417,  0.05704
Fe, 74.76018, 74.76018, 74.96782, 78.48854, 81.95275, 91.45423, 78.81108,  4.34810,  0.05517,  0.05816
Ni, 18.34373, 18.34373, 18.44487, 19.78589, 25.56465, 28.79953, 21.51084,  3.49900,  0.16266,  0.19075
Cu, 36.49758, 36.49758, 36.62321, 39.16731, 44.05277, 49.34652, 40.07072,  3.84642,  0.09599,  0.10539
Zn, 25.30007, 25.30007, 25.40790, 27.19694, 34.07637, 38.36731, 29.18269,  4.29398,  0.14714,  0.16972
Br,  2.78022,  2.78022,  2.82438,  3.03757, 11.19330, 12.95579,  6.15058,  4.00967,  0.65192,  1.44221
Rb, 74.96655, 74.96655, 75.15745, 78.62194, 81.99154, 91.48054, 78.94400,  4.29151,  0.05436,  0.05725
Sr, 70.17325, 70.17325, 70.37133, 73.64703, 76.88220, 85.78277, 73.96076,  4.06180,  0.05492,  0.05788
Zr, 75.07667, 75.07667, 75.28656, 78.74880, 82.06379, 91.56813, 79.05392,  4.27486,  0.05408,  0.05694
Pb, 21.93875, 21.93875, 22.02769, 23.59604, 30.95816, 34.91393, 25.85691,  4.38447,  0.16957,  0.19985

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 12.85958,  8.24028, 12.90769, 14.02322, 14.23152, 19.65538, 13.79468,  2.39683,  0.17375,  0.18638
Na,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Mg,  7.92504,  6.72216,  8.22765,  9.09875, 16.14615, 16.20474, 11.60097,  3.90909,  0.33696,  0.49326
Al,  1.77189,  0.00000,  2.11731,  3.13932,  9.41094, 10.43132,  5.28017,  3.79289,  0.71833,  2.14059
Si,  2.30164,  0.39634,  2.64777,  3.67651,  9.63695, 10.87304,  5.68892,  3.68943,  0.64853,  1.60296
P, 12.17789,  0.02465,  0.39515, 10.36390, 14.44063, 16.97226,  8.11596,  6.54356,  0.80626,  0.53733
S, 32.24890, 13.72102, 14.24230, 28.18235, 34.50578, 34.57515, 25.57401,  8.97081,  0.35078,  0.27817
Cl, 72.92738, 70.71218, 71.82377, 72.94857, 73.41248, 74.78113, 72.64591,  1.01342,  0.01395,  0.01390
K, 15.46386,  6.98538,  9.19006, 15.07185, 17.23244, 20.88138, 13.52358,  4.20502,  0.31094,  0.27193
Ca,  9.37031,  6.66050,  9.72036, 10.77099, 14.38765, 17.03469, 11.83353,  2.92088,  0.24683,  0.31172
Ti,  3.14061,  1.24283,  3.48581,  4.50943, 10.38673, 11.63255,  6.49215,  3.64932,  0.56211,  1.16198
V,  8.22488,  4.94000,  8.57743,  9.68362, 12.35223, 15.83434, 10.33608,  2.75555,  0.26660,  0.33503
Cr, 16.66125, 12.69177, 16.97299, 17.90978, 18.58071, 23.27339, 17.86897,  2.28820,  0.12805,  0.13734
Mn,  3.56144,  1.26001,  3.91192,  4.96319, 10.02872, 11.90271,  6.60501,  3.41007,  0.51629,  0.95750
Fe,  3.76866,  1.24301,  4.12523,  5.19866,  9.78806, 12.02511,  6.64174,  3.28250,  0.49422,  0.87100
Ni, 43.49358, 36.05740, 36.25293, 42.43837, 44.95710, 46.63927, 41.04949,  4.05771,  0.09885,  0.09329
Cu, 28.52253, 22.30166, 24.89189, 28.60425, 29.92875, 33.36575, 27.54609,  2.94974,  0.10708,  0.10342
Zn, 28.78748, 20.07091, 20.54463, 27.71262, 30.53869, 32.89072, 26.02015,  4.74461,  0.18234,  0.16482
Br, 46.55584, 33.19180, 33.57841, 43.73911, 48.34821, 48.49967, 41.81097,  6.54424,  0.15652,  0.14057
Rb,  4.59513,  2.24560,  4.92780,  5.95723, 10.90213, 12.83172,  7.55611,  3.35184,  0.44359,  0.72943
Sr,  9.98374,  7.68294, 10.32078, 11.31074, 15.71187, 17.71789, 12.71105,  3.09443,  0.24344,  0.30995
Zr,  4.78790,  2.55117,  5.13927,  6.17973, 11.21719, 13.02758,  7.81557,  3.37677,  0.43206,  0.70527
Pb, 29.66410, 19.94693, 20.22617, 28.21140, 31.47643, 33.48741, 26.41768,  5.23074,  0.19800,  0.17633

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 29.61503, 17.76062, 20.64423, 25.63507, 28.50392, 30.08081, 24.71482,  4.40139,  0.17809,  0.14862
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 14.68751,  0.00000,  0.22752,  8.23905, 13.82263, 14.68751,  7.31598,  6.76220,  0.92430,  0.46040
Al, 18.36546,  3.19032,  3.76308, 11.70608, 17.42067, 18.36546, 10.83501,  6.84382,  0.63164,  0.37265
Si, 18.88613,  3.90990,  4.55147, 12.34065, 17.93488, 18.88613, 11.48163,  6.72265,  0.58551,  0.35596
P, 60.50012, 52.26793, 58.03674, 60.37918, 61.52400, 66.19981, 59.67899,  3.49241,  0.05852,  0.05773
S, 67.75110, 64.03819, 65.46448, 68.25528, 74.45011, 81.17944, 70.08245,  5.19001,  0.07406,  0.07660
Cl, 12.51445,  9.24706, 10.73458, 11.86624, 12.11812, 12.90566, 11.45138,  1.05464,  0.09210,  0.08427
K, 46.02273, 36.58792, 42.49495, 44.08738, 45.95708, 47.80242, 43.60750,  3.00649,  0.06894,  0.06533
Ca, 21.76737,  8.37933,  9.74014, 16.10331, 20.79114, 21.78920, 15.43502,  5.67390,  0.36760,  0.26066
Ti, 18.78862,  3.94717,  4.59341, 12.27703, 17.84175, 18.78862, 11.44757,  6.65715,  0.58153,  0.35432
V, 24.29972, 11.01096, 12.80776, 18.90223, 23.27905, 24.42355, 18.21439,  5.45898,  0.29971,  0.22465
Cr, 26.38178, 14.83234, 17.24068, 22.21456, 25.36809, 26.68006, 21.43469,  4.42670,  0.20652,  0.16779
Mn, 20.48115,  5.90651,  6.87289, 14.24795, 19.50240, 20.48115, 13.41554,  6.39335,  0.47656,  0.31216
