**** Analysis Summary ****

Time of run: ,05/08/16 00:07
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
9                    6,0.00013,0.00181,0.00205,0.00446,0.00323,0.00847,0.00221,0.00157,0.00300,0.00184,0.00080,0.00090,0.00221,0.00112,0.00435,0.00200,0.00048,
9                    7,0.00001,0.00003,0.00015,0.00009,0.00006,0.00011,0.00042,0.00026,0.00020,0.00003,0.00004,0.00003,0.00005,0.00002,0.00006,0.00175,0.00003,
9                    8,0.00008,0.00062,0.00082,0.00146,0.00093,0.00272,0.00119,0.00252,0.00197,0.00060,0.00023,0.00039,0.00064,0.00036,0.00148,0.00543,0.00012,
10                    1,0.58766,331.58246,3.98508,26.90911,11.48253,467.10855,3.19311,4.73233,2.60691,4.37726,2.54142,4.02578,18.37349,4.80801,26.72517,7.14897,4.09273,
10                    2,0.58895,331.56449,3.99037,26.91335,11.48231,467.08025,3.19948,4.72963,2.60762,4.37832,2.54361,4.02521,18.37748,4.80818,26.73863,7.14827,4.09387,
10                    3,0.00010,0.00129,0.00198,0.00324,0.00208,0.00527,0.00145,0.00161,0.00225,0.00150,0.00050,0.00070,0.00157,0.00088,0.00308,0.00299,0.00037,
10                    4,0.58816,331.58182,3.98582,26.90899,11.48253,467.10625,3.19533,4.73402,2.60588,4.37645,2.54320,4.02554,18.37394,4.80943,26.73354,7.14915,4.09114,
10                    5,0.00014,0.00206,0.00310,0.00529,0.00346,0.00927,0.00223,0.00203,0.00402,0.00229,0.00087,0.00103,0.00249,0.00137,0.00470,0.00201,0.00057,
10                    6,0.00009,0.00118,0.00206,0.00292,0.00201,0.00487,0.00117,0.00130,0.00195,0.00137,0.00049,0.00065,0.00140,0.00082,0.00308,0.00160,0.00034,
10                    7,0.00001,0.00005,0.00051,0.00011,0.00009,0.00044,0.00031,0.00014,0.00009,0.00004,0.00003,0.00004,0.00012,0.00005,0.00023,0.00096,0.00004,
10                    8,0.00009,0.00099,0.00112,0.00251,0.00163,0.00568,0.00228,0.00215,0.00328,0.00094,0.00049,0.00051,0.00112,0.00059,0.00245,0.00150,0.00022,
10                    9,0.00002,0.00012,0.00026,0.00030,0.00021,0.00081,0.00078,0.00049,0.00044,0.00008,0.00009,0.00008,0.00019,0.00007,0.00026,0.00299,0.00006,
11                    1,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,
11                    2,0.00000,0.00008,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00002,0.00000,0.00000,
11                    3,0.57837,331.63451,4.05934,26.83373,11.32987,466.49414,3.20765,4.75769,2.58032,4.31154,2.52524,3.99373,18.37578,4.78406,26.76017,7.26432,4.13850,
11                    4,0.00000,0.00001,0.00000,0.00000,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,
11                    5,0.57590,331.63433,4.07837,26.83459,11.28792,466.29399,3.20328,4.76328,2.58537,4.30474,2.52123,3.99102,18.37412,4.77998,26.81351,7.22731,4.15061,
11                    6,0.57792,331.60662,4.07291,26.84652,11.33274,466.49755,3.20751,4.75072,2.58681,4.31893,2.52601,3.99694,18.37240,4.78441,26.78495,7.23855,4.13910,
11                    7,0.58770,331.58228,4.06316,26.91697,11.50761,467.19935,3.23052,4.72587,2.59527,4.38002,2.54803,4.02434,18.39230,4.81489,26.75700,7.25648,4.08895,
11                    8,0.59636,331.56380,4.00491,26.93341,11.60545,467.66589,3.24354,4.67392,2.59212,4.42236,2.56733,4.04877,18.36151,4.83248,26.72112,7.20891,4.06456,
11                    9,0.58788,331.58141,4.03206,26.90861,11.51914,467.25463,3.23321,4.72695,2.59313,4.38729,2.55208,4.03034,18.38170,4.81883,26.74746,7.29697,4.08624,
11                    10,0.58788,331.57879,3.98610,26.91577,11.48224,467.12995,3.19394,4.73428,2.61000,4.37767,2.54320,4.02511,18.37635,4.80828,26.73324,7.14976,4.09114,
12                    1,0.58156,331.59560,4.07731,26.86353,11.38199,466.66268,3.21522,4.73273,2.59192,4.34008,2.53354,4.00755,18.37085,4.79531,26.78436,7.22435,4.13024,
12                    2,0.58285,331.57761,4.08269,26.86774,11.38176,466.63440,3.22164,4.73005,2.59263,4.34112,2.53572,4.00696,18.37480,4.79550,26.79777,7.22366,4.13139,
12                    3,0.00003,0.00019,0.00028,0.00044,0.00027,0.00088,0.00079,0.00056,0.00051,0.00020,0.00011,0.00010,0.00025,0.00013,0.00043,0.00280,0.00007,
12                    4,0.58205,331.59496,4.07807,26.86342,11.38199,466.66039,3.21745,4.73444,2.59094,4.33927,2.53531,4.00728,18.37126,4.79671,26.79276,7.22454,4.12864,
12                    5,0.00004,0.00053,0.00059,0.00134,0.00086,0.00278,0.00086,0.00062,0.00129,0.00053,0.00026,0.00023,0.00064,0.00033,0.00099,0.00116,0.00014,
12                    6,0.00003,0.00014,0.00017,0.00031,0.00023,0.00064,0.00025,0.00025,0.00030,0.00014,0.00008,0.00008,0.00016,0.00009,0.00033,0.00063,0.00004,
12                    7,0.00005,0.00079,0.00088,0.00201,0.00140,0.00349,0.00080,0.00083,0.00108,0.00078,0.00029,0.00040,0.00099,0.00052,0.00206,0.00070,0.00024,
12                    8,0.00021,0.00287,0.00367,0.00721,0.00483,0.01374,0.00324,0.00423,0.00674,0.00306,0.00118,0.00153,0.00320,0.00180,0.00716,0.00220,0.00070,
12                    9,0.00006,0.00100,0.00126,0.00257,0.00182,0.00454,0.00187,0.00102,0.00178,0.00100,0.00045,0.00054,0.00127,0.00063,0.00246,0.00381,0.00030,
12                    10,0.00004,0.00055,0.00138,0.00143,0.00095,0.00212,0.00074,0.00057,0.00081,0.00065,0.00021,0.00034,0.00069,0.00042,0.00157,0.00142,0.00021,
12                    11,0.58178,331.59192,4.07835,26.87017,11.38170,466.68408,3.21607,4.73470,2.59503,4.34049,2.53531,4.00686,18.37367,4.79560,26.79246,7.22514,4.12864,
13                    1,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,
13                    2,0.00002,0.00016,0.00002,0.00001,0.00001,0.00000,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00004,0.00001,0.00001,
13                    3,0.57820,331.63552,4.05916,26.82813,11.33095,466.47290,3.20680,4.75563,2.57904,4.31032,2.52372,3.99429,18.37497,4.78312,26.75561,7.26520,4.13868,
13                    4,0.00002,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,
13                    5,0.57574,331.63534,4.07820,26.82900,11.28900,466.27274,3.20244,4.76122,2.58413,4.30353,2.51970,3.99159,18.37331,4.77904,26.80894,7.22814,4.15079,
13                    6,0.57775,331.60763,4.07273,26.84091,11.33383,466.47631,3.20666,4.74868,2.58553,4.31771,2.52448,3.99750,18.37159,4.78347,26.78038,7.23935,4.13927,
13                    7,0.58752,331.58329,4.06298,26.91131,11.50869,467.17816,3.22965,4.72385,2.59395,4.37880,2.54650,4.02489,18.39150,4.81398,26.75243,7.25726,4.08910,
13                    8,0.59619,331.56480,4.00474,26.92771,11.60653,467.64473,3.24267,4.67197,2.59074,4.42115,2.56579,4.04932,18.36070,4.83159,26.71657,7.20962,4.06471,
13                    9,0.58770,331.58242,4.03188,26.90295,11.52022,467.23344,3.23235,4.72492,2.59179,4.38608,2.55054,4.03089,18.38090,4.81793,26.74291,7.29786,4.08640,
13                    10,0.58771,331.57979,3.98593,26.91012,11.48332,467.10875,3.19309,4.73227,2.60868,4.37646,2.54166,4.02567,18.37554,4.80738,26.72872,7.15056,4.09130,
13                    11,0.00002,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00002,0.00001,0.00000,
13                    12,0.58160,331.59293,4.07817,26.86455,11.38278,466.66285,3.21521,4.73266,2.59374,4.33928,2.53378,4.00743,18.37286,4.79467,26.78788,7.22588,4.12881,
14                    1,0.00010,0.00001,0.00002,0.00001,0.00000,0.00000,0.00010,0.00002,0.00003,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00017,0.00000,
14                    2,0.00010,0.00011,0.00003,0.00001,0.00001,0.00000,0.00010,0.00004,0.00003,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00017,0.00001,
14                    3,0.58091,331.63904,4.05091,26.83229,11.33083,466.47257,3.20018,4.75764,2.57694,4.30943,2.52341,3.99342,18.37430,4.78248,26.75970,7.26517,4.13948,
