id,ug_cm2,erro
GHA224,7.2551192307,0.1790630185
GHA225,7.5663114433,0.1877297159
GHA226,0.3524263709,0.0400868701
GHA227,5.4637580216,0.129592609
GHA228,9.3881831176,0.2387032341
GHA229,6.0576510098,0.1458918776
GHA230,8.9676852204,0.2269102223
GHA231,6.5764529915,0.1602225314
GHA232,9.1718892016,0.2326354991
GHA233,6.5764529915,0.1602225314
GHA234,7.4596089608,0.1847563541
GHA238,10.2371939542,0.2625507129
GHA239,7.5393423143,0.1869780362
GHA240,7.6484340093,0.1900192744
GHA241,9.0888333447,0.2303064577
GHA242,9.6180891347,0.2451564775
GHA243,9.2568767621,0.2350192579
GHA245,8.3480645846,0.2095602145
GHA246,0.311303375,0.0406842665
GHA247,8.6997107202,0.219402294
GHA248,7.8769021745,0.196393815
GHA250,7.996726037,0.1997397556
GHA251,10.2938509092,0.264143624
GHA252,11.5006532358,0.2981085701
GHA253,11.5006532358,0.2981085701
GHA254,9.6658584475,0.2464977616
GHA255,7.9363230024,0.1980528483
GHA256,8.3146917463,0.2086268038
GHA257,5.299994146,0.1251235269
GHA258,0.2779981282,0.0411859544
GHA259,7.0146179601,0.172376141
GHA260,8.5906190252,0.2163476843
GHA261,6.2791915892,0.1520024342
GHA262,10.0723103298,0.2579159956
GHA263,9.0480027479,0.2291616907
GHA264,5.4334317032,0.1287640724
GHA266,9.0480027479,0.2291616907
GHA267,9.813031373,0.2506310528
GHA268,8.1841671429,0.2049772938
GHA269,7.4074037816,0.1833022404
GHA272,0.311303375,0.0406842665
GHA273,5.9170836646,0.1420225529
