id,ug_cm2,erro
AFR221,6.7454681036,0.1649057591
AFR222,0.2159045736,0.0421618784
AFR223,5.4943381196,0.130428493
AFR224,0.6703920802,0.0364103269
AFR225,0.8425391482,0.03523229
AFR226,0.4631133825,0.0386082552
AFR227,7.6762234999,0.1907942561
AFR228,7.3815782296,0.1825830579
AFR229,7.6762234999,0.1907942561
AFR230,8.381745011,0.2105023468
AFR231,8.9281788854,0.2258029721
AFR232,4.8102109075,0.1118428697
AFR235,6.6389211861,0.1619527056
AFR236,7.7608828938,0.1931558598
AFR237,4.5521531038,0.1049091683
AFR238,0.4476454212,0.0388030064
AFR239,0.3637225172,0.0399271705
AFR240,0.6540234061,0.0365543306
AFR241,0.5020721779,0.0381357
AFR242,0.6377277251,0.0367029643
AFR243,0.6458664822,0.0366280767
AFR244,0.6703920802,0.0364103269
AFR245,0.8382424982,0.0352539448
AFR246,0.6499426682,0.03659106
AFR247,0.8684256819,0.0351104929
AFR248,0.6621985781,0.036481742
AFR249,0.6621985781,0.036481742
AFR250,0.8640985051,0.0351298138
AFR251,0.6134196506,0.0369343172
AFR252,0.6621985781,0.036481742
AFR253,0.5613003852,0.0374683273
AFR254,0.5692705092,0.0373833744
AFR255,0.3599532539,0.0399802441
AFR256,0.4864387834,0.0383222
AFR257,0.8684256819,0.0351104929
AFR258,0.8296643243,0.0352983968
AFR259,0.5812583834,0.0372578148
AFR260,,
AFR261,0.541450796,0.0376849639
AFR262,0.5138412715,0.0379981093
AFR263,0.5772580542,0.0372994162
AFR264,1.2227843783,0.0349836316
AFR265,1.1800990084,0.0348457156
AFR266,1.9197023928,0.042375902
AFR267,1.3440397092,0.0355977864
AFR268,1.3047985226,0.0353636128
AFR269,1.8397613838,0.0411150338
AFR270,4.2233276528,0.0961568219
AFR271,10.0189619313,0.2564167487
AFR274,9.2141359194,0.2338203805
AFR275,5.5406935031,0.1316963578
AFR277,7.7324446149,0.1923624549
AFR279,6.0576510098,0.1458918776
AFR280,5.8657343364,0.1406107229
AFR281,0.1619788474,0.0430499498
AFR282,7.1089277206,0.1749970869
AFR283,8.9676852204,0.2269102223
AFR284,11.1959517894,0.2895270423
AFR285,6.0397815346,0.1453996417
AFR286,7.6484340093,0.1900192744
AFR287,7.4596089608,0.1847563541
AFR288,10.1814020248,0.2609822898
AFR290,9.7633122333,0.2492345589
AFR291,7.7324446149,0.1923624549
AFR292,4.8102109075,0.1118428697
