id,ug_cm2,erro
ACC616,5.6192836373,0.1338479405
ACC617,6.5971572985,0.1607958759
ACC618,3.8328908863,0.0859214983
ACC619,6.1300157585,0.1478862575
ACC620,3.4187538269,0.0753244872
ACC621,1.8966831016,0.0420041651
ACC622,3.4274649166,0.07554389
ACC623,4.7346019953,0.1098061692
ACC624,0.2853731063,0.0410735183
ACC625,8.1841671429,0.2049772938
ACC626,9.1718892016,0.2326354991
ACC627,5.3586990293,0.1267241188
ACC629,6.877565633,0.1685703607
ACC630,5.4033549869,0.1279427668
ACC631,7.0146179601,0.172376141
ACC632,0.337418956,0.0403019987
ACC633,5.986691491,0.1439378103
ACC634,5.1572298816,0.1212382899
ACC635,5.1712579233,0.1216195804
ACC636,4.9796027477,0.1164198737
ACC637,4.709742713,0.1091374286
ACC638,4.3334052646,0.0990750994
ACC639,6.2982741411,0.152529428
ACC640,5.9170836646,0.1420225529
ACC641,6.6389211861,0.1619527056
ACC642,4.3000324263,0.0981890251
ACC644,5.6672620122,0.1351626902
ACC646,5.2709916097,0.1243333953
ACC647,4.9398096097,0.1153429932
ACC648,6.9454493261,0.1704549516
ACC649,4.4816499447,0.103024106
ACC650,5.798372053,0.138760019
ACC651,6.2602081678,0.1514782776
ACC652,6.0936542605,0.1468839311
ACC653,4.1059531707,0.0930596666
ACC654,5.7486529133,0.1373950915
ACC655,5.6352065401,0.1342841736
ACC656,4.672768026,0.1081436244
ACC657,6.2982741411,0.152529428
ACC658,4.1802085638,0.0950172185
ACC659,4.0954673661,0.0927837594
ACC660,5.6672620122,0.1351626902
ACC662,0.2890661843,0.0410175
ACC664,3.7557523937,0.0839244911
ACC666,3.7272401524,0.0831887788
ACC668,5.4033549869,0.1279427668
ACC669,4.9004451314,0.1142786955
ACC670,4.5521531038,0.1049091683
ACC671,6.1300157585,0.1478862575
ACC672,6.2225346342,0.1504383611
ACC674,4.4124813107,0.1011789993
ACC675,5.8657343364,0.1406107229
ACC676,4.6605258022,0.1078148074
ACC679,3.4979114431,0.077324331
ACC680,3.9116928702,0.0879709435
ACC681,4.7221512153,0.1094711732
ACC682,4.311122876,0.0984833602
ACC683,6.39521087,0.1552079958
ACC684,5.1432554844,0.1208585637
ACC685,4.4239188799,0.1014838
