**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.16807,  0.02508,  0.06125,  2.44234,  0.00000

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 33.87517, 33.65976, 33.83994, 33.87783, 33.89560, 33.90518, 33.84971,  0.07265,  0.00215,  0.00214
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 77.84352, 75.81609, 77.76378, 77.85093, 77.85923, 77.87004, 77.53711,  0.73689,  0.00950,  0.00947
Al, 78.72508, 78.57461, 78.71494, 78.73203, 78.73918, 78.98819, 78.75003,  0.10574,  0.00134,  0.00134
Si, 79.92432, 79.66210, 79.82391, 79.91995, 79.93443, 79.94292, 79.87384,  0.09644,  0.00121,  0.00121
P, 31.60554, 23.40596, 31.54552, 31.60402, 31.61384, 31.63131, 30.37515,  2.98949,  0.09842,  0.09459
S, 11.60824,  8.85393, 11.58658, 11.60932, 11.61341, 11.62159, 11.19813,  1.00192,  0.08947,  0.08631
Cl, 17.98316, 17.97858, 17.99133, 17.99869, 18.00986, 19.14716, 18.16736,  0.41571,  0.02288,  0.02312
K, 19.90557, 17.70361, 19.88071, 19.90693, 19.91767, 19.92734, 19.57991,  0.79894,  0.04080,  0.04014
Ca, 66.20882, 65.38266, 66.12630, 66.20984, 66.22877, 66.23437, 66.08255,  0.29501,  0.00446,  0.00446
Ti, 77.02700, 76.88345, 77.01580, 77.03586, 77.04394, 77.36257, 77.06429,  0.12941,  0.00168,  0.00168
V, 39.67860, 38.90962, 39.63489, 39.68151, 39.70070, 39.71154, 39.56991,  0.27250,  0.00689,  0.00687
Mn, 62.56353, 62.46547, 62.55324, 62.57586, 62.59158, 64.56343, 62.85827,  0.73032,  0.01162,  0.01167
Fe, 72.97960, 72.84820, 72.96533, 72.98897, 72.99870, 73.70909, 73.07710,  0.26890,  0.00368,  0.00368
Zn,  6.46307,  6.45455,  6.46310,  6.46584,  6.47091,  7.96328,  6.68766,  0.54377,  0.08131,  0.08413
Br,  5.15205,  5.14654,  5.15834,  5.16147,  5.16492, 11.47038,  6.10469,  2.30860,  0.37817,  0.44809
Pb,  3.88992,  3.88641,  3.89030,  3.89250,  3.89476,  6.90808,  4.34229,  1.10059,  0.25346,  0.28293
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  2.60000,  0.38950,  0.95129,  2.44232,  0.00000

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 15.50913, 11.04931, 15.47724, 15.49440, 15.50016, 15.51262, 14.82925,  1.62268,  0.10942,  0.10463
Na, 55.62864, 55.58587, 55.61022, 55.62377, 55.67008, 57.38251, 55.88447,  0.63821,  0.01142,  0.01147
Mg, 10.87077,  6.94831, 10.78188, 10.85294, 10.86122, 10.87365, 10.25909,  1.42243,  0.13865,  0.13085
Al,  5.50236,  0.00000,  5.40216,  5.48609,  5.49651,  5.50720,  4.65193,  2.00549,  0.43111,  0.36448
Si,  5.40827,  0.27582,  5.30677,  5.39224,  5.40261,  5.41342,  4.61327,  1.86979,  0.40531,  0.34573
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S, 14.94596, 14.85133, 14.93201, 14.94119, 14.94592, 14.99027, 14.93187,  0.03529,  0.00236,  0.00236
Cl, 82.01684, 80.85284, 81.99014, 82.00131, 82.00867, 82.02142, 81.83264,  0.41571,  0.00508,  0.00507
K, 14.32943, 11.49615, 14.31596, 14.31970, 14.32419, 14.33192, 13.89887,  1.03151,  0.07422,  0.07199
Ca, 11.77949,  7.29921, 11.69792, 11.75974, 11.76904, 11.78214, 11.08487,  1.62729,  0.14680,  0.13815
Ti,  6.66478,  1.47352,  6.56675,  6.64768,  6.65821,  6.66762,  5.86115,  1.89069,  0.32258,  0.28368
V, 14.60930,  9.52274, 14.56906, 14.59325, 14.60045, 14.61232, 13.83278,  1.85234,  0.13391,  0.12679
Mn,  9.28291,  3.48880,  9.20512,  9.26585,  9.27454,  9.28563,  8.39268,  2.11144,  0.25158,  0.22745
Fe,  6.93871,  1.96257,  6.84633,  6.92187,  6.93204,  6.94123,  6.16869,  1.81196,  0.29374,  0.26114
Zn, 25.36588, 17.29118, 25.35196, 25.35730, 25.36456, 25.39274, 24.15341,  2.94862,  0.12208,  0.11624
Br, 24.67603,  0.00000, 24.65531, 24.66778, 24.67342, 24.73736, 20.97204,  9.03891,  0.43100,  0.36630
Pb, 29.83743, 20.47643, 29.81943, 29.82789, 29.83477, 29.86987, 28.43043,  3.42184,  0.12036,  0.11468
BC, 22.85030, 14.74395, 22.83336, 22.84298, 22.84918, 22.88419, 21.63278,  2.96253,  0.13695,  0.12965

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 40.20366, 40.17828, 40.20047, 40.21400, 40.31659, 50.32474, 41.73422,  3.68638,  0.08833,  0.09169
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 16.17938,  2.42138,  5.91378,  2.44232,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.23158, 10.68233,  1.64001,  3.89287,  2.37368,  0.00000
Al, 13.77630, 13.75369, 13.78282, 13.79877, 14.05951, 19.46194, 14.68370,  2.05709,  0.14009,  0.14932
Si, 12.72388, 12.70265, 12.73204, 12.74730, 13.01211, 19.34024, 13.77257,  2.39730,  0.17406,  0.18841
P, 21.91542, 21.89271, 21.90750, 21.92054, 22.03433, 65.07279, 28.39590, 15.77954,  0.55570,  0.72002
S, 26.59047, 26.56512, 26.57444, 26.58795, 26.60909, 61.31317, 31.78406, 12.69529,  0.39942,  0.47744
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 44.83426, 44.81077, 44.82470, 44.83950, 44.90023, 62.69661, 47.51518,  6.52650,  0.13736,  0.14557
Ca, 18.07788, 18.05565, 18.08023, 18.09717, 18.31268, 26.52222, 19.38857,  3.06877,  0.15828,  0.16975
Ti, 14.98579, 14.96217, 14.99090, 15.00713, 15.26252, 20.67395, 15.89215,  2.05851,  0.12953,  0.13736
V, 36.29302, 36.26512, 36.29001, 36.30488, 36.42678, 46.86130, 37.89449,  3.84781,  0.10154,  0.10602
Mn, 26.52791, 26.49777, 26.52792, 26.54429, 26.74962, 30.18931, 27.11467,  1.31929,  0.04866,  0.04973
Fe, 19.02961, 19.00484, 19.03241, 19.05138, 19.29340, 24.35640, 19.87871,  1.92667,  0.09692,  0.10125
Zn, 59.50659, 59.48925, 59.50405, 59.51386, 59.52199, 60.44038, 59.64557,  0.33177,  0.00556,  0.00558
Br, 27.86084,  0.00000, 27.80118, 27.82088, 27.83564, 27.86084, 23.64968, 10.19296,  0.43100,  0.36585
Pb, 64.62548, 61.07212, 64.61481, 64.62939, 64.63834, 64.65184, 64.10002,  1.29695,  0.02023,  0.02007
BC, 77.14970, 76.63216, 77.13569, 77.15604, 77.16336, 77.17146, 77.07936,  0.18373,  0.00238,  0.00238

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.41205,  4.94631, 10.37196, 10.40862, 10.41255, 10.41827,  9.58682,  1.99492,  0.20809,  0.19160
Na, 44.37136, 26.43810, 44.32992, 44.37623, 44.38978, 44.41413, 41.69415,  6.55141,  0.15713,  0.14765
Mg, 11.28571,  6.53226, 11.21874, 11.28421, 11.28968, 11.29630, 10.56379,  1.73398,  0.16414,  0.15364
Al,  1.99626,  1.57843,  1.91137,  1.98585,  1.99179,  1.99981,  1.91434,  0.14930,  0.07799,  0.07479
Si,  1.94353,  0.72080,  1.85720,  1.93283,  1.93895,  1.94707,  1.74032,  0.44099,  0.25340,  0.22690
P, 46.47904, 11.52125, 46.41520, 46.47063, 46.48357, 46.49939, 41.22895, 12.79013,  0.31022,  0.27518
S, 46.85533, 14.97172, 46.82515, 46.86273, 46.87135, 46.88912, 42.08594, 11.66113,  0.27708,  0.24888
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 20.93074,  8.09441, 20.89894, 20.93187, 20.93775, 20.94822, 19.00604,  4.69620,  0.24709,  0.22437
Ca,  3.93381,  0.77961,  3.86189,  3.92371,  3.92922,  3.93659,  3.44400,  1.14805,  0.33335,  0.29184
Ti,  1.32243,  0.51715,  1.23930,  1.31187,  1.31793,  1.32584,  1.18241,  0.28902,  0.24443,  0.21855
V,  9.41907,  4.69033,  9.37300,  9.41385,  9.41895,  9.42465,  8.70283,  1.72406,  0.19810,  0.18304
Mn,  1.62565,  1.50209,  1.61353,  1.61868,  1.62523,  1.78886,  1.63439,  0.07281,  0.04455,  0.04479
Fe,  1.05208,  0.00000,  0.97254,  1.04138,  1.04747,  1.05502,  0.87551,  0.37903,  0.43293,  0.36027
Zn,  8.66446,  8.65325,  8.66239,  8.66618,  8.67205, 14.33760,  9.51336,  2.07335,  0.21794,  0.23929
Br, 42.31108, 42.30141, 42.33587, 42.34879, 42.36579, 88.54388, 49.27359, 16.92324,  0.34345,  0.39997
Pb,  1.64717,  1.64029,  1.64509,  1.64633,  1.64848, 11.52630,  3.12725,  3.61811,  1.15696,  2.19656
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  6.01625,  0.89835,  2.19409,  2.44234,  0.00000

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  1.34873,  1.32816,  1.34876,  1.34892,  1.34905,  1.34918,  1.34591,  0.00742,  0.00552,  0.00550
Al,  8.82876,  8.82876,  8.82903,  8.82930,  8.82985,  8.96284,  8.84894,  0.04802,  0.00543,  0.00544
Si, 18.78740, 18.72224, 18.78766, 18.78841, 18.78889, 18.78937, 18.77988,  0.02114,  0.00113,  0.00113
P,  0.04283,  0.03098,  0.04281,  0.04282,  0.04283,  0.04283,  0.04105,  0.00433,  0.10558,  0.10119
S,  0.63367,  0.43901,  0.63335,  0.63362,  0.63369,  0.63376,  0.60447,  0.07112,  0.11765,  0.11223
Cl,  0.75949,  0.75930,  0.75948,  0.75966,  0.76085,  0.81076,  0.76737,  0.01846,  0.02405,  0.02430
K,  1.60269,  1.42219,  1.60238,  1.60261,  1.60271,  1.60280,  1.57558,  0.06601,  0.04190,  0.04119
Ca,  2.81653,  2.78410,  2.81653,  2.81663,  2.81672,  2.81686,  2.81193,  0.01155,  0.00411,  0.00410
Ti,  0.54987,  0.54987,  0.54989,  0.54991,  0.54993,  0.55727,  0.55098,  0.00263,  0.00478,  0.00479
V,  0.00751,  0.00736,  0.00751,  0.00751,  0.00751,  0.00751,  0.00749,  0.00005,  0.00704,  0.00702
Mn,  0.07273,  0.07273,  0.07274,  0.07274,  0.07274,  0.07599,  0.07322,  0.00118,  0.01618,  0.01629
Fe,  4.67098,  4.67089,  4.67107,  4.67114,  4.67129,  4.77597,  4.68662,  0.03782,  0.00807,  0.00810
Zn,  0.01443,  0.01443,  0.01443,  0.01443,  0.01443,  0.01748,  0.01489,  0.00111,  0.07488,  0.07725
Br,  0.00778,  0.00778,  0.00779,  0.00779,  0.00780,  0.02332,  0.01012,  0.00569,  0.56201,  0.73095
Pb,  0.00492,  0.00492,  0.00492,  0.00492,  0.00492,  0.00847,  0.00545,  0.00130,  0.23838,  0.26419
