**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Zn,  0.00361,  0.00359,  0.00610,  0.00611,  0.00613,  0.00621,  0.00587,  0.00078,  0.13246,  0.21526
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00038,  0.00037,  0.00080,  0.00080,  0.00080,  0.00081,  0.00076,  0.00013,  0.17370,  0.34992

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.89890,  1.34950,  1.35653,  1.36200,  1.38858,  1.89890,  1.42241,  0.16089,  0.11311,  0.08473
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00115,  0.00006,  0.00026,  4.20278,  0.00000
Mg,  0.02463,  0.00000,  0.00000,  0.00000,  0.00000,  0.02463,  0.00239,  0.00735,  3.07968,  0.29844
Al,  0.12733,  0.01320,  0.01943,  0.02004,  0.02070,  0.12733,  0.02978,  0.03239,  1.08755,  0.25439
Si,  0.22142,  0.00706,  0.01137,  0.01222,  0.01307,  0.22142,  0.03177,  0.06265,  1.97228,  0.28296
P,  0.00063,  0.00063,  0.00128,  0.00129,  0.00130,  0.00130,  0.00122,  0.00020,  0.16060,  0.31161
S,  0.14862,  0.12623,  0.12743,  0.12758,  0.12777,  0.14921,  0.12956,  0.00663,  0.05121,  0.04464
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.19700,  0.16078,  0.16191,  0.16210,  0.16235,  0.19715,  0.16542,  0.01084,  0.06551,  0.05501
Ca,  0.00000,  0.00000,  0.01203,  0.01244,  0.01275,  0.01942,  0.01172,  0.00435,  0.37137,  0.00000
Ti,  0.00387,  0.00000,  0.00000,  0.00000,  0.00000,  0.00387,  0.00038,  0.00114,  2.98307,  0.29554
V,  0.00017,  0.00013,  0.00013,  0.00013,  0.00013,  0.00017,  0.00013,  0.00001,  0.10886,  0.08221
Mn,  0.00071,  0.00012,  0.00013,  0.00013,  0.00015,  0.00071,  0.00019,  0.00017,  0.89597,  0.24149
Fe,  0.04177,  0.01952,  0.01966,  0.01980,  0.02036,  0.04177,  0.02212,  0.00649,  0.29327,  0.15531
Zn,  0.00465,  0.00465,  0.00550,  0.00551,  0.00551,  0.00558,  0.00543,  0.00025,  0.04615,  0.05393
Br,  0.00308,  0.00276,  0.00278,  0.00278,  0.00278,  0.00309,  0.00281,  0.00010,  0.03417,  0.03114
Pb,  0.00199,  0.00195,  0.00195,  0.00195,  0.00195,  0.00201,  0.00196,  0.00002,  0.00794,  0.00781

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.77778,  8.77778,  9.18755,  9.19092,  9.21208,  9.25401,  9.17289,  0.10526,  0.01148,  0.01199
Na, 97.83540, 95.27867, 95.62231, 95.69088, 95.73958, 97.83540, 95.86504,  0.68084,  0.00710,  0.00696
Mg, 15.37304, 15.37304, 16.10541, 16.13242, 16.16471, 16.20487, 16.06775,  0.21887,  0.01362,  0.01424
Al,  0.00000,  0.00000,  0.68019,  0.68590,  0.71772,  0.77753,  0.63436,  0.21898,  0.34520,  0.00000
Si,  0.76214,  0.76214,  1.51316,  1.51782,  1.54686,  1.61063,  1.46471,  0.22516,  0.15372,  0.29543
P,  1.56958,  0.00000,  0.00000,  0.00000,  0.00000,  1.56958,  0.12241,  0.39309,  3.21124,  0.25044
S, 19.56008, 17.54312, 17.72487, 17.74827, 17.77313, 19.56008, 17.88643,  0.51470,  0.02878,  0.02631
Cl, 64.05048, 62.18019, 62.39664, 62.45185, 62.48318, 64.05048, 62.57272,  0.47673,  0.00762,  0.00744
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Ca,  7.63158,  7.63158,  7.88990,  7.89336,  7.91433,  7.95997,  7.88948,  0.06769,  0.00858,  0.00887
Ti,  1.67940,  1.67940,  2.32487,  2.32945,  2.35578,  2.42050,  2.28938,  0.18578,  0.08115,  0.11062
V,  1.42010,  1.42010,  2.11771,  2.12465,  2.14386,  2.21777,  2.08357,  0.18486,  0.08872,  0.13017
Mn,  1.22497,  1.22497,  2.16463,  2.17200,  2.19268,  2.27218,  2.10992,  0.25358,  0.12019,  0.20701
Fe,  2.77800,  2.77800,  3.28433,  3.28864,  3.31288,  3.37092,  3.26049,  0.14444,  0.04430,  0.05199
Zn,  7.23580,  5.49661,  5.53822,  5.54626,  5.55392,  7.23580,  5.69790,  0.48577,  0.08525,  0.06713
Br, 23.37185, 21.01084, 21.19349, 21.21988, 21.24561, 23.37185, 21.39519,  0.63016,  0.02945,  0.02696
Pb,  3.78517,  2.79684,  2.81614,  2.82020,  2.82423,  3.78517,  2.91040,  0.28417,  0.09764,  0.07508

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 32.12101, 31.90045, 40.01207, 40.13075, 40.25691, 40.79069, 39.39997,  2.53926,  0.06445,  0.07905
Na,  2.16460,  0.09644,  0.29625,  0.33240,  0.36605,  2.16460,  0.48702,  0.57568,  1.18206,  0.26595
Mg,  0.00000,  0.00000, 20.29280, 20.49251, 20.72708, 21.91064, 18.62695,  6.39052,  0.34308,  0.00000
Al,  9.52729,  9.43398, 23.32343, 23.48175, 23.65590, 24.51384, 22.21390,  4.37137,  0.19679,  0.45883
Si, 17.65666, 17.51664, 30.62367, 30.77986, 30.94918, 31.72386, 29.58468,  4.11930,  0.13924,  0.23330
P,  6.90351,  0.00000,  0.00000,  0.00000,  0.00000,  6.90351,  0.68943,  2.12202,  3.07794,  0.30738
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
