SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,31,31erro,34,34erro,35,35erro,37,37erro,38,38erro,39,39erro,40,40erro,45,45erro,56,56erro,58,58erro,72,72erro,82,82erro
GHA012 ,31776.585938,2393.552002,3840.080566,557.671204,16487.193359,439.661011,39873.253906,893.489563,463.343079,47.131977,16853.136719,334.684113,55232.007813,948.642883,18174.228516,257.628815,19611.613281,260.275665,1614.779419,44.371555,47.763947,6.251553,47.712799,7.859564,259.293945,8.457335,16147.645508,421.071991,36.127491,8.586153,222.870163,16.695496,531.775146,21.867615,0,0,0,0,468.381744,13.405138,46.322647,12.822436,168.459961,11.568191,0,0,61.713219,11.744947,0,0,200.95639,26.841604,0,0,75.782516,23.648664,304.461456,23.331705
GHA013,24424.064453,1933.24353,3060.577393,527.964844,9915.625,307.533447,25574.339844,580.114014,248.101089,41.027031,11621.666016,234.65097,40555.675781,698.782043,12204.819336,174.435745,12116.032227,162.559235,934.828491,26.840885,42.456841,6.178557,38.532703,7.926868,211.475861,7.813798,10356.550781,270.789886,71.186554,9.356087,153.03566,16.269352,425.225891,21.120033,0,0,0,0,565.774963,15.272499,30.881763,13.892503,115.406815,12.206192,0,0,42.087208,12.717167,0,0,187.386703,27.088804,0,0,115.861717,25.530567,321.878296,24.991085
GHA014 ,23975.693359,1882.451172,3589.250244,536.340759,10389.944336,318.105347,28115.587891,635.695129,228.807693,41.277275,12108.541016,244.175705,44272.675781,762.087585,13063.844727,186.392151,12999.749023,174.093216,958.078064,27.371284,48.256958,6.052633,37.259727,7.890129,218.737198,7.813884,11199.224609,292.64444,61.552551,8.927542,146.218628,16.110811,461.973846,21.288151,0,0,0,0,594.064758,15.297811,48.545372,11.269282,123.65731,11.746333,0,0,40.958637,12.056495,0,0,175.691772,26.362217,0,0,94.280609,24.334774,348.098694,24.207062
GHA015 ,21042.882813,1615.945435,3396.428711,485.953369,8270.368164,267.643921,20111.697266,460.011047,184.602112,36.044022,10503.887695,212.913925,34216.769531,590.823914,11701.232422,167.272034,9221.668945,124.854912,690.692688,20.223658,29.926388,5.047972,26.32403,7.294422,159.668427,6.187847,7373.619141,193.345932,42.367142,7.460238,81.109474,14.823583,384.177063,20.03536,0,0,0,0,392.046082,11.545297,30.140951,11.140265,83.04332,9.77318,0,0,34.399117,10.110417,0,0,119.681282,22.180653,0,0,73.319206,20.451464,201.415985,19.701578
GHA016,23085.845703,1780.894897,3751.325195,502.024963,10638.941406,314.970917,26963.330078,609.812988,306.282745,39.710663,12947.308594,259.521606,42909.800781,738.793701,14192.655273,201.988464,11903.827148,159.7612,869.129456,24.712313,28.217558,4.905118,33.930405,7.173632,196.590118,6.643589,9694.857422,253.544128,36.652653,6.876898,66.221146,14.424403,466.834076,20.606304,0,0,0,0,448.992096,11.741184,19.200605,10.221541,107.481346,9.090991,0,0,34.765297,9.218163,0,0,144.445786,21.521524,0,0,44.803177,18.830889,255.970322,18.517218
GHA017,12084.074219,1161.331299,1918.335938,455.256165,11894.856445,333.900543,28742.908203,648.323242,300.253571,36.71703,6248.183594,132.383591,26497.785156,458.923401,9215.104492,132.660751,14056.563477,187.573456,1049.702393,29.378778,29.232576,5.022712,33.098076,7.213958,226.959625,7.25527,12289.03125,320.871613,23.288197,6.847247,140.904541,15.019596,534.644653,21.288076,0,0,0,0,373.849243,10.783666,5.320365,10.215595,115.481819,9.176052,0,0,337.385773,13.601895,0,0,159.086777,21.630648,0,0,59.720997,19.105431,265.011871,18.577681
GHA018 ,10314.046875,1090.286255,1042.360352,453.32431,10492.486328,305.802185,24503.884766,555.613098,200.169052,34.62085,5761.119141,122.973579,23059.966797,400.593079,8402.84082,121.391441,11896.459961,159.511093,861.753174,24.636219,24.679491,5.185969,22.840843,7.348313,195.992126,6.880909,10040.541016,262.533813,40.437435,7.552328,137.934357,15.322644,493.825623,21.085047,0,0,0,0,351.429321,11.119084,31.165516,11.223697,93.880554,9.942509,0,0,62.263737,10.306971,0,0,146.409821,22.768583,0,0,72.649773,20.916822,237.744507,20.096598
GHA019,13385.801758,1414.897461,2229.567627,487.533875,17491.259766,448.828888,41134.507813,920.498596,366.655487,41.456123,10188.588867,207.123444,30835.857422,533.067871,12503.707031,178.540985,19298.791016,256.00528,1553.882568,42.654987,44.997814,5.733073,39.641216,7.474013,269.399017,8.302773,16335.990234,425.933563,42.673122,7.494419,158.356964,15.469332,1644.167725,37.9156,0,0,23.268141,8.250493,198.40506,9.464312,47.696564,10.996557,164.130829,10.19181,0,0,72.303528,10.180026,0,0,240.66658,24.452997,0,0,34.745022,20.676708,233.467194,19.954105
GHA020,13635.282227,1313.443481,2243.812256,490.043121,17085.066406,439.388885,41173.25,921.372681,376.130585,41.705662,9699.987305,197.802536,30227.214844,522.686096,12056.922852,172.34964,19636.15625,260.434662,1482.955811,40.814156,41.514534,5.768062,44.738476,7.577178,278.694336,8.574942,16215.573242,422.815277,40.250591,7.741652,72.404884,14.882346,544.165894,21.660313,0,0,0,0,211.666748,9.83248,14.267346,11.365108,142.834503,10.388577,0,0,77.074921,10.69844,0,0,209.754379,24.700912,0,0,52.505695,21.302397,238.970535,20.681404
GHA021      ,,,127.46991,386.596741,223.346451,119.327286,39.384773,49.360981,0,0,,,0,0,0,0,43.613396,9.582314,0,0,0,0,2.456168,7.266381,0,0,62.586544,8.520701,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,38.276848,30.666313,0,0,0,0,,,,
