SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,35,35erro,37,37erro,38,38erro,40,40erro,82,82erro
AFR12      ,3482.756104,717.358215,3766.760498,465.188141,15269.272461,398.835876,30305.794922,694.13562,47.329124,32.572685,3853.737061,86.361069,15374.610352,269.404114,15416.129883,219.026245,11814.757813,158.518524,941.73468,26.038054,25.056496,4.869307,18.116148,7.006587,155.349976,5.794325,7217.187988,189.252319,23.161434,6.66648,8.338839,14.076007,133.502274,18.10314,54.778389,7.776558,68.857346,8.541342,111.081558,9.009982,19.928801,9.100849,84.181358,17.229507
AFR13      ,2878.834229,720.016846,3469.671631,461.244385,12609.744141,342.723114,24704.554688,572.039795,24.69392,29.215672,2418.919434,59.477715,5654.061035,104.652092,3033.08374,47.131912,8556.223633,115.755783,729.485962,20.656021,21.206306,5.405382,15.172652,7.374811,110.790771,5.644991,5573.738281,146.700424,40.648579,7.940338,0,0,43.470737,18.294502,48.370693,9.165409,31.676344,9.939044,120.356621,10.549479,31.979355,10.789006,63.082134,20.250233
AFR14      ,1538.380859,709.652344,529.123596,428.372345,484.777252,134.279953,123.947418,56.913635,0,0,30.037514,16.169685,83.481339,11.789086,9.083323,9.100019,3.901257,10.367605,91.768959,17.668972,25.201498,10.916018,25.460232,8.67481,38.463749,7.233985,78.825455,19.201113,130.946304,12.047415,138.632202,18.568226,6.364163,20.193974,70.438438,14.001407,0,0,52.078075,15.783051,14.726391,16.658361,83.18203,32.124939
AFR15      ,1152.810303,577.182129,1455.265259,402.174744,4415.345703,175.678329,13063.666992,316.85733,92.246582,25.997314,1716.130615,45.466198,2988.943848,59.518768,4708.820313,70.014725,9621.751953,129.670166,451.974792,13.328382,34.742683,4.520553,7.344827,6.879076,62.298027,4.31984,2331.355957,62.791107,55.739552,6.781499,0,0,127.763237,18.068792,72.854202,7.866495,33.742935,8.347803,115.231796,8.956758,18.800236,9.043991,63.671371,17.045265
AFR16      ,2338.726807,722.322327,1011.489014,427.167267,3083.292969,160.338699,6473.001953,179.811432,57.880203,27.158382,1360.813599,40.951523,1915.389648,42.716137,2814.299316,44.410038,4294.473145,61.168457,223.347855,8.382622,21.576427,5.498302,18.826077,7.570449,40.150944,5.234839,1448.926025,40.546108,86.506783,8.925984,0,0,67.467216,18.716537,79.995522,10.336487,28.706324,11.079646,63.303741,11.739607,25.268839,12.26966,70.952179,22.561821
AFR17      ,2522.328613,653.096558,3812.758301,452.013763,10487.415039,287.538513,23864.128906,555.521057,358.061859,34.845039,3774.327393,84.249527,4549.540039,86.288536,6529.294922,95.405472,18700.517578,247.984894,910.990479,25.233501,33.779446,4.943017,22.80254,7.098287,131.976059,5.435459,5680.088867,149.401886,47.378113,6.90308,0,0,179.273117,18.371712,31.520332,7.874193,56.478851,8.640748,148.97847,9.53605,69.293182,9.684728,66.267143,17.411301
AFR18      ,374.127319,340.065308,301.447021,353.255402,377.695007,42.201221,41.604725,44.20937,0,0,9.12532,9.697233,28.477278,7.168263,11.712924,7.245689,12.320766,9.118114,0,0,0,0,17.724463,6.644353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AFR19      ,1891.298096,768.975403,5076.562988,517.556946,6768.634277,221.852051,11961.817383,297.973389,803.926147,41.58083,3120.691895,73.811554,10938.229492,194.34288,10444.429688,149.8694,11600.59375,155.752182,526.720215,15.525778,17.418509,5.49803,24.545622,7.554718,273.418304,8.582529,2152.251221,58.369957,69.774361,8.610566,0,0,77.761589,18.64554,112.598541,10.154263,83.202675,10.884353,97.857819,11.247343,25.984083,11.623531,56.735249,21.900242
AFR20      ,1342.182983,468.410126,286.011383,346.649078,543.263672,110.45108,1069.263184,65.711884,0.602919,14.771516,7.224213,12.92828,13.913556,9.755373,46.750587,8.094098,16.364346,9.508066,44.365849,3.940303,1.595032,3.91521,12.85289,6.745311,10.101806,3.574682,112.44474,9.506506,28.75712,6.065034,0,0,10.632586,17.524878,15.193851,6.913661,13.241796,7.499979,25.851528,7.866344,7.817374,8.233201,28.504595,15.335625
AFR21      ,3049.648926,1061.866455,6367.197754,633.773926,33898.117188,806.364868,104454.1875,2328.693604,1151.375732,62.311848,5567.868164,124.021545,26393.425781,458.217133,25591.71875,361.804016,41222.945313,542.630981,5660.083984,151.124817,117.144012,9.213183,29.796263,8.588322,750.230408,19.519669,25334.333984,659.65918,127.121162,11.01176,53.115185,16.740681,416.182343,21.662334,173.589081,12.878606,323.466187,14.940722,330.799469,15.339476,831.979431,28.095337,128.950119,27.691504
