SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,27,27erro,28,28erro,29,29erro,30,30erro,34,34erro,35,35erro,37,37erro,38,38erro,39,39erro,40,40erro,41,41erro,45,45erro,56,56erro,58,58erro,71,71erro,90,90erro,82,82erro
ACC026MS      ,2749.133301,652.471863,856.046692,401.595398,7941.476074,253.311707,14186.492188,329.625702,162.6185,27.913698,4558.477539,97.897987,3987.861816,76.815971,9766.370117,140.218979,5009.325684,70.229462,550.004089,16.444288,4.693199,4.462438,19.990244,7.02212,105.713127,5.044739,6199.254883,162.855606,,,42.349049,6.79689,65.11235,14.270946,312.029816,19.213692,,,542.471497,13.040645,0,0,50.175644,8.795018,16.938599,9.002635,17.708258,9.197594,,,0,0,64.656425,19.819029,,,,,54.045597,18.529774,185.490936,18.002207
ACC027MS      ,2259.38208,563.464417,343.895233,367.235107,2692.919189,141.936951,4636.543457,124.492805,189.617966,22.955198,5535.267578,115.470894,695.027588,19.175928,2458.37915,37.682575,1219.191162,20.533892,174.643066,7.411681,14.355285,3.896813,17.626543,6.818634,71.331993,4.280225,3373.649414,89.665359,,,38.644642,6.25423,45.430031,13.963141,229.398392,18.458426,,,114.494247,7.678796,2.435545,9.434893,22.35132,8.211852,12.269593,8.403239,15.084229,8.598577,,,0,0,59.81377,17.339544,,,,,70.859634,17.150793,148.518936,16.360983
ACC028MS      ,5336.810547,683.789673,980.617676,379.161133,4917.918945,181.268906,11541.953125,271.238525,97.672844,22.701704,2098.063477,51.728466,7759.343262,139.46666,2538.972656,39.753807,3527.854004,49.199463,375.175232,11.91154,7.627151,3.947067,8.911565,6.751275,66.163628,4.134068,4311.101074,113.902374,,,28.068977,5.973353,8.213579,13.554003,153.212357,17.960884,,,66.941948,7.096557,0.638444,8.914575,40.277378,7.739694,9.057382,8.006541,8.285316,8.095989,,,0,0,85.79258,17.182903,,,,,64.693604,16.442236,70.714249,15.542548
ACC029MS      ,9683.466797,1057.876709,1609.622192,459.124908,14530.923828,393.224915,32764.697266,736.594238,265.887177,35.111736,5690.397949,120.925438,17371.011719,303.497498,10744.821289,153.934708,10203.584961,137.485092,1174.845215,32.746872,28.362562,5.510784,38.116535,7.466044,173.759598,6.61737,13117.27832,342.387634,,,44.367092,7.850821,82.968544,14.897714,370.453766,20.029921,,,386.606171,11.764205,22.274595,11.830523,87.105148,10.190585,13.875699,10.404425,59.896507,10.676221,,,0,0,166.317978,23.86141,,,,,70.710457,21.358448,190.205139,20.645931
ACC030MS      ,10744.28418,1354.932495,5337.710938,604.439575,43163.375,1015.385376,114042.40625,2525.447266,717.253174,52.948978,10770.261719,219.752701,23589.316406,410.564941,12211.821289,175.314453,37103.621094,488.610291,3336.712891,90.036781,68.146225,8.177368,90.537956,8.873007,538.726807,14.844318,44447.6875,1155.927124,,,24.252007,9.912119,289.692017,17.983732,1090.928467,29.625086,,,609.29364,16.242855,27.127525,14.853786,203.162766,13.285539,21.367601,13.06425,170.73233,14.194779,,,0,0,435.856171,33.683113,,,,,72.68557,27.063921,390.112335,26.992523
ACC031MS      ,7610.450684,951.59845,2531.905029,463.039063,19574.388672,501.497955,39401.953125,882.021851,428.072357,36.975796,5992.864258,126.34256,16354.541016,286.009399,11851.314453,169.328918,14245.115234,190.040833,1543.294922,42.30682,29.725588,5.484868,42.327148,7.375366,223.606583,7.341716,16449.857422,428.881958,,,27.091091,7.233207,87.191193,14.65463,511.634613,21.171883,,,588.597534,13.994544,7.614033,11.090939,106.231277,9.524432,6.424422,9.611285,62.676628,9.929483,,,0,0,168.192749,23.331039,,,,,57.035789,19.843956,212.333069,19.359449
ACC032MS      ,8106.86377,888.430359,1567.17395,418.97879,9895.80957,281.038055,20420.880859,465.495819,254.130295,29.424925,6135.447754,128.374741,11151.520508,198.032379,3737.85791,56.599125,6119.125,84.127899,772.442932,22.169235,24.882492,4.811256,40.001518,7.165278,135.808411,5.579059,16349.169922,426.26181,,,21.857584,6.808727,69.602844,14.401109,295.68457,19.077209,,,132.781982,8.320258,11.468343,10.146477,54.703232,8.739685,2.817267,9.031254,38.591404,9.175532,,,0,0,119.359703,20.690287,,,,,61.560867,18.663202,129.151062,17.737312
ACC033MS      ,3106.420654,619.910034,62.193779,381.588287,4739.149902,186.251434,8456.268555,205.660812,147.112198,24.91073,4649.921387,99.152771,2256.07666,45.000149,9300.033203,133.696793,2357.819092,36.589535,311.139435,10.466574,10.440207,4.007597,8.226117,6.814501,79.468964,4.379805,3288.781494,87.46656,,,37.46756,6.214707,32.976833,13.866214,250.884018,18.589481,,,379.613159,10.379761,30.716238,9.66504,47.652817,8.177499,5.89783,8.321109,17.093626,8.519103,,,0,0,49.725773,18.046904,,,,,65.887032,17.236971,181.97258,16.659687
ACC034MS      ,0,0,0,0,187.588287,105.931946,0,0,0,0,0,0,,,6.738004,7.040462,0,0,0,0,0,0,7.100025,6.698285,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,
ACC035MS      ,2332.983398,588.634094,1287.795898,388.096619,10474.625977,294.177979,18533.662109,423.919647,82.814972,24.75469,4431.045898,94.862747,4108.666992,75.751595,9154.666016,131.423569,2681.321045,38.697701,720.528076,20.617771,21.553953,4.251884,23.682911,6.84373,130.013275,5.115267,5919.195801,155.571152,,,29.269869,6.078019,34.333527,13.745785,226.929352,18.385674,,,116.809402,7.459085,16.275169,9.193883,33.242302,7.843663,12.098999,8.157778,20.650467,8.214756,,,0,0,53.687134,18.030371,,,,,64.526871,16.672007,144.466171,15.907732
ACC036MS      ,2218.973633,646.659668,2373.688965,425.219238,17546.625,447.896484,32017.652344,719.325195,211.925964,28.086792,5360.365723,112.939491,4210.73584,80.68103,7377.723145,106.949699,4444.694824,62.859917,1203.084473,33.250534,27.550545,4.817148,23.746614,7.01951,222.602783,6.980072,9789.444336,255.98378,,,25.62426,6.364414,180.840668,15.17832,366.669556,19.502853,,,256.981659,9.000161,26.270779,9.683974,45.977718,8.149064,12.374911,8.482261,40.710907,8.636827,,,0,0,77.222252,20.205076,,,,,35.355228,17.526608,231.129944,17.356735
ACC038MS      ,1658.361816,593.631226,910.015503,388.748779,10150.466797,284.329529,18364.277344,420.052399,257.479309,26.158596,6352.583984,131.314087,1278.713867,28.96818,5200.600586,75.827881,2839.243896,42.296978,674.221863,19.527655,23.668789,4.400413,22.826996,6.933664,202.337692,6.531496,8407.630859,220.125565,,,26.954329,6.288606,91.887444,14.324424,578.259766,21.596224,,,201.294037,8.404007,16.983812,9.548454,37.538074,8.248878,2.78803,8.416906,26.314911,8.611028,,,0,0,83.473679,19.209734,,,,,45.104229,17.423717,278.806885,17.626194
