**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Cl,  0.22541,  0.22531,  0.22550,  0.22589,  0.23389,  0.23532,  0.22843,  0.00429,  0.01880,  0.01905
K,  0.50421,  0.50392,  0.50439,  0.50557,  0.52746,  0.56565,  0.51558,  0.01940,  0.03762,  0.03847
Ca,  0.77861,  0.77817,  0.77890,  0.78119,  0.81587,  0.82370,  0.79165,  0.01820,  0.02299,  0.02338
Ti,  0.15375,  0.15366,  0.15380,  0.15424,  0.16113,  0.16220,  0.15628,  0.00352,  0.02254,  0.02291
V,  0.00222,  0.00222,  0.00222,  0.00223,  0.00233,  0.00240,  0.00226,  0.00006,  0.02812,  0.02866
Mn,  0.02191,  0.02189,  0.02191,  0.02198,  0.02295,  0.02333,  0.02229,  0.00054,  0.02432,  0.02474
Fe,  1.33180,  1.33110,  1.33235,  1.33620,  1.39628,  1.40990,  1.35436,  0.03152,  0.02327,  0.02366
Zn,  0.00711,  0.00709,  0.00709,  0.00711,  0.00745,  0.00924,  0.00738,  0.00065,  0.08783,  0.09123
Br,  0.00304,  0.00250,  0.00257,  0.00304,  0.00316,  0.00318,  0.00289,  0.00028,  0.09732,  0.09236
Pb,  0.00293,  0.00290,  0.00291,  0.00293,  0.00307,  0.00418,  0.00307,  0.00039,  0.12544,  0.13168
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.27197,  0.02720,  0.08371,  3.07794,  0.00000

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.04850,  0.70573,  1.04973,  1.51945,  1.64963,  1.79950,  1.35111,  0.34344,  0.25419,  0.32756
Na,  0.01481,  0.01481,  0.01493,  0.01567,  0.01776,  0.01799,  0.01614,  0.00123,  0.07621,  0.08303
Mg,  0.00718,  0.00465,  0.00490,  0.00551,  0.00718,  0.00939,  0.00614,  0.00150,  0.24468,  0.20941
Al,  0.01571,  0.01047,  0.01069,  0.01191,  0.01572,  0.02063,  0.01348,  0.00328,  0.24296,  0.20845
Si,  0.01302,  0.00000,  0.00000,  0.00000,  0.01303,  0.02946,  0.00687,  0.00977,  1.42257,  0.75068
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00092,  0.00009,  0.00028,  3.07794,  0.00000
S,  0.03904,  0.03898,  0.03928,  0.04074,  0.04513,  0.06367,  0.04363,  0.00721,  0.16536,  0.18479
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.04886,  0.04629,  0.04888,  0.06342,  0.06859,  0.07245,  0.05943,  0.00962,  0.16186,  0.19688
Ca,  0.00160,  0.00160,  0.00161,  0.00195,  0.00217,  0.00284,  0.00197,  0.00034,  0.17474,  0.21552
Ti,  0.00035,  0.00012,  0.00013,  0.00015,  0.00035,  0.00059,  0.00025,  0.00015,  0.62160,  0.44003
V,  0.00006,  0.00004,  0.00006,  0.00009,  0.00009,  0.00010,  0.00008,  0.00002,  0.23526,  0.29855
Mn,  0.00019,  0.00009,  0.00019,  0.00025,  0.00027,  0.00031,  0.00022,  0.00006,  0.26885,  0.32531
Fe,  0.00000,  0.00000,  0.00000,  0.00000,  0.00021,  0.00143,  0.00018,  0.00037,  2.02764,  0.00000
Zn,  0.00254,  0.00160,  0.00254,  0.00323,  0.00350,  0.00366,  0.00297,  0.00062,  0.20939,  0.24433
Br,  0.01909,  0.01768,  0.01783,  0.01908,  0.01940,  0.01991,  0.01876,  0.00079,  0.04225,  0.04152
Pb,  0.00174,  0.00105,  0.00174,  0.00216,  0.00233,  0.00243,  0.00199,  0.00041,  0.20626,  0.23604
BC,  0.16309,  0.00000,  0.16356,  0.28675,  0.30950,  0.34751,  0.23159,  0.10293,  0.44446,  0.63112

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 25.14032, 15.55682, 18.13386, 19.26216, 25.01929, 25.41070, 20.61250,  3.32504,  0.16131,  0.13226
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  5.77235,  0.56351,  1.73501,  3.07895,  0.00000
Mg,  8.09861,  0.00000,  0.00000,  5.83820,  8.05415,  8.21071,  4.73331,  3.33574,  0.70474,  0.41189
Al, 13.82289,  4.11329,  4.82357, 10.03051, 13.76329, 13.98070,  9.47820,  3.70517,  0.39092,  0.26805
Si, 13.08417,  3.45757,  4.05448,  9.40388, 13.02620, 13.23567,  8.77312,  3.72859,  0.42500,  0.28497
P,  3.26522,  0.00000,  0.94441,  1.25819,  2.98105,  3.48736,  1.56642,  1.19050,  0.76002,  0.36460
S,  7.63733,  5.18225,  5.73304,  6.33674,  7.54843, 10.09917,  6.78465,  1.34714,  0.19856,  0.17639
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 27.48618, 18.84097, 20.67574, 21.88281, 27.30215, 27.80657, 23.36390,  3.38538,  0.14490,  0.12317
Ca, 15.22962,  5.82478,  7.19307, 11.06281, 15.16190, 15.40142, 10.94340,  3.41675,  0.31222,  0.22435
Ti, 14.19532,  4.44697,  5.29524, 10.26321, 14.13428, 14.35599,  9.80319,  3.68663,  0.37606,  0.25971
V, 23.43297, 13.74974, 16.70810, 17.87462, 23.32294, 23.68685, 18.89969,  3.29061,  0.17411,  0.14043
Mn, 18.87236,  8.77362, 11.13475, 13.97724, 18.79491, 19.07110, 14.24524,  3.52113,  0.24718,  0.18658
Fe, 15.83148,  5.87256,  7.21512, 11.49062, 15.76405, 16.00512, 11.29500,  3.65174,  0.32331,  0.23066
Zn, 46.91248, 33.65457, 36.99361, 39.97511, 46.81224, 51.33099, 41.62312,  5.55638,  0.13349,  0.11844
Br,  0.00000,  0.00000,  0.00000,  0.00000, 12.43131, 13.85225,  5.05415,  6.36014,  1.25840,  0.00000
Pb, 53.27727, 38.69329, 42.43411, 46.16553, 53.18701, 59.55052, 47.78278,  6.28945,  0.13163,  0.11805
BC, 71.77462, 50.57739, 56.06314, 63.05108, 71.63442, 82.44514, 64.28126,  9.38328,  0.14597,  0.13073

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.80954,  4.73658,  6.92817,  7.00089,  7.78998,  7.81390,  6.98443,  0.86547,  0.12391,  0.11082
Na, 76.13170, 73.03933, 75.56620, 75.70790, 76.06682, 76.13170, 75.52496,  0.87641,  0.01160,  0.01151
Mg,  4.01673,  3.97719,  4.01040,  4.03774,  4.08625,  4.27027,  4.06334,  0.07995,  0.01968,  0.01991
