**** Analysis Summary ****

Time of run: ,04/10/16 01:58
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TFsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TFsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
9                    7,0.00003,0.00128,0.01535,0.00126,0.00088,0.00091,0.00245,0.00053,0.00021,0.00051,0.00013,0.00011,0.00134,0.00267,0.00023,0.00278,0.00051,0.00208,
9                    8,0.00181,0.02288,0.17633,0.01508,0.00462,0.02271,0.03216,0.01081,0.00891,0.02149,0.00458,0.00164,0.03512,0.02191,0.01445,0.03215,0.00955,0.06593,
10                    1,0.00227,0.01998,0.28333,0.00810,0.00580,0.02925,0.03836,0.00863,0.01165,0.02533,0.00533,0.00229,0.04756,0.02338,0.01734,0.04756,0.01201,0.08425,
10                    2,0.00001,0.00004,0.00052,0.00003,0.00003,0.00009,0.00008,0.00005,0.00004,0.00005,0.00002,0.00001,0.00009,0.00006,0.00005,0.00003,0.00003,0.00013,
10                    3,0.00000,0.00002,0.00039,0.00002,0.00001,0.00003,0.00006,0.00002,0.00002,0.00002,0.00001,0.00001,0.00005,0.00002,0.00001,0.00004,0.00002,0.00005,
10                    4,0.00001,0.00005,0.00120,0.00008,0.00002,0.00007,0.00014,0.00006,0.00003,0.00005,0.00001,0.00002,0.00014,0.00004,0.00003,0.00002,0.00003,0.00015,
10                    5,0.00000,0.00002,0.00229,0.00003,0.00002,0.00009,0.00016,0.00005,0.00002,0.00003,0.00002,0.00000,0.00007,0.00003,0.00002,0.00005,0.00002,0.00008,
10                    6,0.00000,0.00002,0.00026,0.00004,0.00002,0.00003,0.00006,0.00002,0.00002,0.00003,0.00000,0.00001,0.00005,0.00002,0.00002,0.00001,0.00001,0.00005,
10                    7,0.00000,0.00003,0.00152,0.00003,0.00001,0.00007,0.00014,0.00003,0.00002,0.00003,0.00002,0.00001,0.00007,0.00002,0.00002,0.00008,0.00003,0.00007,
10                    8,0.00192,0.01825,0.15424,0.01075,0.00453,0.02003,0.02529,0.00925,0.00885,0.01919,0.00459,0.00171,0.03602,0.02036,0.01468,0.03769,0.00908,0.06400,
10                    9,0.00002,0.00112,0.01221,0.00107,0.00084,0.00079,0.00201,0.00048,0.00020,0.00046,0.00009,0.00009,0.00105,0.00270,0.00018,0.00229,0.00040,0.00171,
11                    1,0.00216,0.02273,0.32644,0.01128,0.00555,0.03221,0.04475,0.01033,0.01132,0.02626,0.00528,0.00220,0.04641,0.02331,0.01697,0.04188,0.01221,0.08484,
11                    2,0.00002,0.00086,0.01540,0.00129,0.00037,0.00095,0.00210,0.00061,0.00016,0.00041,0.00010,0.00009,0.00112,0.00189,0.00018,0.00174,0.00039,0.00184,
11                    3,0.00003,0.00079,0.01816,0.00138,0.00027,0.00086,0.00209,0.00056,0.00013,0.00033,0.00011,0.00010,0.00113,0.00180,0.00017,0.00181,0.00041,0.00187,
11                    4,0.00003,0.00049,0.01821,0.00116,0.00030,0.00064,0.00147,0.00044,0.00016,0.00024,0.00008,0.00007,0.00088,0.00179,0.00018,0.00141,0.00032,0.00150,
11                    5,0.00003,0.00068,0.01631,0.00128,0.00030,0.00078,0.00203,0.00044,0.00017,0.00031,0.00012,0.00009,0.00105,0.00184,0.00017,0.00178,0.00037,0.00169,
11                    6,0.00002,0.00065,0.01787,0.00120,0.00024,0.00067,0.00160,0.00046,0.00013,0.00027,0.00009,0.00008,0.00092,0.00179,0.00017,0.00146,0.00033,0.00161,
11                    7,0.00003,0.00077,0.01798,0.00141,0.00034,0.00080,0.00220,0.00050,0.00017,0.00035,0.00012,0.00010,0.00124,0.00183,0.00020,0.00203,0.00044,0.00196,
11                    8,0.00181,0.02127,0.18687,0.01441,0.00433,0.02256,0.03094,0.01093,0.00863,0.02008,0.00459,0.00165,0.03483,0.02045,0.01426,0.03283,0.00927,0.06480,
11                    9,0.00000,0.00010,0.00064,0.00008,0.00018,0.00007,0.00013,0.00003,0.00002,0.00007,0.00002,0.00001,0.00005,0.00012,0.00003,0.00012,0.00003,0.00005,
11                    10,0.00003,0.00066,0.01612,0.00124,0.00031,0.00073,0.00182,0.00048,0.00015,0.00029,0.00009,0.00008,0.00099,0.00185,0.00016,0.00158,0.00035,0.00162,
12                    1,0.00221,0.02026,0.26387,0.00866,0.00563,0.02935,0.03848,0.00863,0.01136,0.02509,0.00535,0.00231,0.04748,0.02289,0.01720,0.04754,0.01188,0.08382,
12                    2,0.00001,0.00006,0.00253,0.00007,0.00003,0.00015,0.00018,0.00009,0.00004,0.00007,0.00002,0.00001,0.00015,0.00004,0.00005,0.00006,0.00004,0.00018,
12                    3,0.00001,0.00005,0.00221,0.00008,0.00001,0.00008,0.00017,0.00006,0.00003,0.00003,0.00002,0.00001,0.00011,0.00002,0.00002,0.00009,0.00004,0.00014,
12                    4,0.00001,0.00003,0.00008,0.00002,0.00003,0.00003,0.00006,0.00003,0.00002,0.00004,0.00000,0.00001,0.00008,0.00005,0.00003,0.00001,0.00003,0.00010,
12                    5,0.00001,0.00005,0.00574,0.00012,0.00003,0.00016,0.00034,0.00008,0.00004,0.00007,0.00003,0.00001,0.00017,0.00005,0.00004,0.00010,0.00006,0.00021,
12                    6,0.00000,0.00001,0.00027,0.00002,0.00002,0.00003,0.00003,0.00002,0.00002,0.00003,0.00001,0.00000,0.00003,0.00003,0.00002,0.00002,0.00002,0.00004,
12                    7,0.00001,0.00006,0.00449,0.00012,0.00003,0.00015,0.00032,0.00008,0.00005,0.00007,0.00003,0.00001,0.00018,0.00004,0.00004,0.00014,0.00007,0.00021,
12                    8,0.00186,0.01857,0.14932,0.01166,0.00442,0.02020,0.02553,0.00935,0.00863,0.01900,0.00463,0.00173,0.03594,0.01991,0.01452,0.03773,0.00898,0.06364,
12                    9,0.00002,0.00104,0.01218,0.00094,0.00079,0.00075,0.00176,0.00045,0.00019,0.00044,0.00008,0.00009,0.00096,0.00267,0.00016,0.00211,0.00037,0.00160,
12                    10,0.00001,0.00002,0.00082,0.00006,0.00002,0.00003,0.00006,0.00002,0.00002,0.00002,0.00001,0.00001,0.00005,0.00002,0.00001,0.00003,0.00002,0.00005,
12                    11,0.00002,0.00060,0.01707,0.00118,0.00028,0.00071,0.00163,0.00046,0.00014,0.00027,0.00008,0.00008,0.00092,0.00182,0.00014,0.00142,0.00033,0.00152,
13                    1,0.00227,0.01998,0.28812,0.00798,0.00576,0.02962,0.03869,0.00866,0.01177,0.02557,0.00540,0.00236,0.04789,0.02367,0.01738,0.04750,0.01203,0.08429,
13                    2,0.00001,0.00002,0.00048,0.00003,0.00004,0.00009,0.00006,0.00005,0.00003,0.00005,0.00001,0.00001,0.00008,0.00007,0.00005,0.00004,0.00003,0.00012,
13                    3,0.00000,0.00001,0.00014,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,0.00002,0.00002,0.00003,
13                    4,0.00001,0.00008,0.00180,0.00008,0.00003,0.00011,0.00023,0.00009,0.00003,0.00006,0.00002,0.00002,0.00021,0.00004,0.00004,0.00006,0.00005,0.00022,
13                    5,0.00000,0.00002,0.00185,0.00004,0.00001,0.00005,0.00011,0.00005,0.00001,0.00003,0.00001,0.00001,0.00007,0.00002,0.00002,0.00004,0.00002,0.00008,
13                    6,0.00000,0.00003,0.00050,0.00004,0.00002,0.00006,0.00012,0.00003,0.00002,0.00003,0.00001,0.00001,0.00009,0.00002,0.00002,0.00004,0.00002,0.00010,
13                    7,0.00000,0.00001,0.00103,0.00003,0.00002,0.00003,0.00008,0.00003,0.00001,0.00002,0.00001,0.00000,0.00004,0.00001,0.00002,0.00004,0.00002,0.00004,
13                    8,0.00192,0.01823,0.15588,0.01065,0.00449,0.02035,0.02547,0.00926,0.00893,0.01937,0.00463,0.00177,0.03634,0.02061,0.01471,0.03761,0.00909,0.06408,
13                    9,0.00003,0.00125,0.01471,0.00118,0.00079,0.00087,0.00218,0.00054,0.00018,0.00050,0.00011,0.00011,0.00123,0.00267,0.00020,0.00249,0.00045,0.00198,
13                    10,0.00000,0.00002,0.00018,0.00001,0.00001,0.00003,0.00004,0.00001,0.00001,0.00002,0.00001,0.00001,0.00003,0.00002,0.00001,0.00003,0.00000,0.00003,
13                    11,0.00003,0.00076,0.01866,0.00136,0.00028,0.00080,0.00200,0.00052,0.00014,0.00034,0.00011,0.00010,0.00117,0.00183,0.00018,0.00175,0.00039,0.00187,
13                    12,0.00001,0.00004,0.00142,0.00006,0.00002,0.00008,0.00013,0.00004,0.00003,0.00004,0.00002,0.00001,0.00009,0.00003,0.00002,0.00007,0.00003,0.00010,
14                    1,0.00235,0.02003,0.32377,0.00803,0.00602,0.02979,0.03942,0.00897,0.01226,0.02626,0.00559,0.00236,0.04883,0.02451,0.01803,0.04806,0.01240,0.08586,
14                    2,0.00001,0.00004,0.00078,0.00006,0.00005,0.00009,0.00014,0.00003,0.00006,0.00010,0.00002,0.00001,0.00015,0.00012,0.00010,0.00005,0.00006,0.00023,
14                    3,0.00001,0.00003,0.00096,0.00003,0.00002,0.00006,0.00007,0.00002,0.00003,0.00004,0.00002,0.00000,0.00008,0.00006,0.00004,0.00002,0.00003,0.00011,
14                    4,0.00001,0.00009,0.00650,0.00014,0.00002,0.00020,0.00043,0.00013,0.00004,0.00008,0.00004,0.00002,0.00029,0.00003,0.00004,0.00011,0.00007,0.00031,
14                    5,0.00000,0.00001,0.00004,0.00001,0.00000,0.00001,0.00002,0.00002,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00001,0.00002,0.00001,0.00003,
14                    6,0.00001,0.00004,0.00374,0.00008,0.00003,0.00014,0.00029,0.00007,0.00003,0.00004,0.00003,0.00001,0.00017,0.00003,0.00003,0.00008,0.00005,0.00019,
14                    7,0.00000,0.00002,0.00012,0.00002,0.00001,0.00002,0.00002,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00001,0.00002,0.00001,0.00003,
14                    8,0.00200,0.01826,0.17069,0.01051,0.00467,0.02039,0.02592,0.00942,0.00934,0.01999,0.00478,0.00176,0.03717,0.02138,0.01530,0.03799,0.00938,0.06557,
14                    9,0.00003,0.00114,0.01509,0.00118,0.00085,0.00092,0.00248,0.00052,0.00023,0.00048,0.00013,0.00011,0.00129,0.00264,0.00022,0.00259,0.00050,0.00202,
14                    10,0.00000,0.00002,0.00222,0.00003,0.00002,0.00009,0.00016,0.00004,0.00003,0.00004,0.00002,0.00001,0.00008,0.00004,0.00003,0.00006,0.00003,0.00010,
14                    11,0.00003,0.00066,0.01722,0.00132,0.00032,0.00081,0.00222,0.00049,0.00018,0.00034,0.00013,0.00010,0.00120,0.00182,0.00021,0.00188,0.00044,0.00192,
14                    12,0.00001,0.00005,0.00564,0.00012,0.00003,0.00017,0.00035,0.00008,0.00005,0.00007,0.00004,0.00001,0.00019,0.00007,0.00005,0.00012,0.00007,0.00025,
14                    13,0.00000,0.00002,0.00170,0.00004,0.00002,0.00005,0.00009,0.00003,0.00002,0.00003,0.00001,0.00001,0.00006,0.00003,0.00003,0.00004,0.00002,0.00007,
15                    1,0.00229,0.02025,0.26719,0.00865,0.00584,0.02959,0.03904,0.00864,0.01167,0.02571,0.00528,0.00237,0.04821,0.02383,0.01763,0.04730,0.01211,0.08533,
15                    2,0.00001,0.00007,0.00232,0.00007,0.00004,0.00016,0.00021,0.00012,0.00005,0.00009,0.00002,0.00002,0.00019,0.00008,0.00007,0.00006,0.00006,0.00026,
15                    3,0.00001,0.00005,0.00193,0.00007,0.00002,0.00009,0.00019,0.00008,0.00003,0.00004,0.00002,0.00002,0.00013,0.00004,0.00003,0.00009,0.00005,0.00017,
15                    4,0.00000,0.00003,0.00009,0.00003,0.00002,0.00002,0.00003,0.00001,0.00002,0.00002,0.00001,0.00001,0.00004,0.00002,0.00002,0.00001,0.00002,0.00006,
15                    5,0.00000,0.00005,0.00532,0.00009,0.00002,0.00014,0.00034,0.00009,0.00003,0.00006,0.00003,0.00002,0.00015,0.00003,0.00003,0.00009,0.00006,0.00020,
15                    6,0.00000,0.00001,0.00017,0.00001,0.00001,0.00003,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00001,0.00001,0.00001,0.00002,
15                    7,0.00001,0.00006,0.00410,0.00009,0.00002,0.00014,0.00033,0.00009,0.00003,0.00006,0.00003,0.00002,0.00018,0.00003,0.00004,0.00014,0.00007,0.00022,
15                    8,0.00193,0.01855,0.15129,0.01158,0.00457,0.02038,0.02600,0.00940,0.00890,0.01955,0.00456,0.00178,0.03663,0.02080,0.01494,0.03748,0.00918,0.06509,
