**** Analysis Summary ****

Time of run: ,04/10/16 02:04
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGcH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
11                    4,0.00788,0.85829,0.17090,0.33071,0.08243,0.41270,0.29384,0.17690,0.09595,0.12556,0.01319,0.04983,0.10429,0.11948,0.20857,0.17063,0.00829,
11                    5,0.00001,0.00004,0.00006,0.00020,0.00007,0.00004,0.00005,0.00002,0.00002,0.00011,0.00004,0.00006,0.00013,0.00014,0.00004,0.00005,0.00001,
11                    6,0.00098,0.11393,0.01207,0.06614,0.01550,0.04831,0.06111,0.02022,0.02026,0.04139,0.00233,0.00329,0.03271,0.03453,0.07317,0.06402,0.00193,
11                    7,0.01003,0.85294,0.17015,0.33181,0.08233,0.44719,0.31776,0.17605,0.11218,0.12433,0.01411,0.04344,0.10815,0.12233,0.22531,0.18589,0.00907,
11                    8,0.00001,0.00016,0.00011,0.00023,0.00007,0.00014,0.00029,0.00006,0.00018,0.00009,0.00003,0.00005,0.00015,0.00012,0.00012,0.00017,0.00002,
11                    9,0.00006,0.00190,0.00051,0.00292,0.00084,0.00090,0.00282,0.00082,0.00069,0.00170,0.00036,0.00027,0.00112,0.00231,0.00145,0.00197,0.00013,
11                    10,0.00009,0.00097,0.00074,0.00357,0.00086,0.00091,0.00468,0.00053,0.00342,0.00187,0.00025,0.00026,0.00203,0.00261,0.00159,0.00251,0.00018,
12                    1,0.00004,0.00166,0.00052,0.00188,0.00047,0.00044,0.00056,0.00046,0.00015,0.00043,0.00006,0.00014,0.00100,0.00059,0.00097,0.00057,0.00005,
12                    2,0.00012,0.00434,0.00180,0.00457,0.00126,0.00310,0.01983,0.00096,0.01443,0.00159,0.00057,0.00035,0.00324,0.00217,0.00525,0.01347,0.00053,
12                    3,0.00008,0.00069,0.00123,0.00301,0.00083,0.00054,0.00254,0.00026,0.00196,0.00064,0.00015,0.00030,0.00208,0.00110,0.00068,0.00156,0.00011,
12                    4,0.00795,0.89776,0.16267,0.34228,0.08377,0.40812,0.29322,0.18417,0.09822,0.13304,0.01338,0.04709,0.10640,0.12575,0.21396,0.17468,0.00871,
12                    5,0.00006,0.00065,0.00068,0.00230,0.00068,0.00029,0.00022,0.00022,0.00013,0.00080,0.00010,0.00031,0.00142,0.00107,0.00048,0.00037,0.00006,
12                    6,0.00083,0.10225,0.01219,0.05927,0.01359,0.04714,0.05863,0.01812,0.01986,0.03622,0.00215,0.00278,0.02948,0.02948,0.06604,0.05985,0.00174,
12                    7,0.01010,0.89208,0.16215,0.34305,0.08361,0.44235,0.31717,0.18330,0.11472,0.13171,0.01430,0.04104,0.11036,0.12862,0.23047,0.19009,0.00949,
12                    8,0.00005,0.00077,0.00054,0.00193,0.00055,0.00024,0.00050,0.00022,0.00031,0.00060,0.00008,0.00025,0.00127,0.00081,0.00036,0.00051,0.00006,
12                    9,0.00011,0.00412,0.00128,0.00655,0.00176,0.00166,0.00314,0.00145,0.00090,0.00323,0.00048,0.00072,0.00288,0.00435,0.00297,0.00254,0.00022,
12                    10,0.00010,0.00058,0.00102,0.00416,0.00113,0.00081,0.00488,0.00036,0.00367,0.00134,0.00025,0.00035,0.00276,0.00209,0.00111,0.00268,0.00018,
12                    11,0.00005,0.00070,0.00063,0.00168,0.00048,0.00029,0.00021,0.00021,0.00010,0.00045,0.00005,0.00019,0.00100,0.00067,0.00046,0.00039,0.00005,
13                    1,0.00085,0.10807,0.01260,0.05832,0.01343,0.04815,0.05081,0.01894,0.01390,0.03406,0.00193,0.00280,0.03026,0.02790,0.07047,0.05719,0.00157,
13                    2,0.00101,0.12981,0.01394,0.06301,0.01436,0.06346,0.06271,0.02009,0.01487,0.03493,0.00230,0.00330,0.03468,0.02781,0.08754,0.08548,0.00151,
13                    3,0.00090,0.09796,0.01091,0.05446,0.01270,0.04464,0.04291,0.01661,0.00891,0.03084,0.00173,0.00311,0.02824,0.02494,0.05875,0.05382,0.00123,
13                    4,0.01037,1.46622,0.23072,0.54973,0.13543,0.63542,0.23083,0.28079,0.11880,0.27421,0.01889,0.05120,0.18319,0.23876,0.43297,0.29239,0.01321,
13                    5,0.00096,0.10237,0.01245,0.06136,0.01450,0.04744,0.04745,0.01792,0.01243,0.03889,0.00214,0.00345,0.03142,0.03284,0.06748,0.05595,0.00160,
13                    6,0.00004,0.00118,0.00066,0.00107,0.00029,0.00051,0.00264,0.00039,0.00169,0.00048,0.00012,0.00009,0.00032,0.00047,0.00091,0.00122,0.00010,
13                    7,0.01268,1.46520,0.22959,0.55477,0.13557,0.67866,0.24505,0.28112,0.13097,0.27216,0.01984,0.04584,0.18973,0.24233,0.45808,0.31213,0.01384,
13                    8,0.00095,0.10381,0.01271,0.06068,0.01413,0.04769,0.04672,0.01800,0.01153,0.03731,0.00205,0.00332,0.03080,0.03141,0.06492,0.05656,0.00150,
13                    9,0.00107,0.11885,0.01411,0.07518,0.01775,0.04972,0.05759,0.02195,0.01765,0.05041,0.00290,0.00423,0.03727,0.04546,0.07974,0.06755,0.00215,
13                    10,0.00079,0.09226,0.01114,0.04847,0.01123,0.04276,0.04157,0.01510,0.00793,0.02574,0.00165,0.00287,0.02547,0.02034,0.05474,0.05277,0.00112,
13                    11,0.00096,0.10211,0.01200,0.05939,0.01390,0.04706,0.04867,0.01794,0.01286,0.03609,0.00202,0.00315,0.03092,0.03048,0.06712,0.05658,0.00153,
13                    12,0.00081,0.09163,0.01287,0.05354,0.01225,0.04620,0.04627,0.01611,0.01232,0.03139,0.00186,0.00267,0.02791,0.02585,0.06078,0.05266,0.00136,
14                    1,0.00001,0.00042,0.00022,0.00035,0.00014,0.00031,0.00041,0.00015,0.00023,0.00025,0.00004,0.00005,0.00021,0.00026,0.00059,0.00022,0.00003,
14                    2,0.00008,0.00274,0.00121,0.00245,0.00069,0.00302,0.01708,0.00085,0.01212,0.00136,0.00046,0.00026,0.00159,0.00177,0.00472,0.01114,0.00046,
14                    3,0.00004,0.00033,0.00039,0.00121,0.00030,0.00040,0.00171,0.00016,0.00119,0.00040,0.00007,0.00020,0.00083,0.00066,0.00047,0.00089,0.00008,
14                    4,0.00794,0.85842,0.17397,0.33368,0.08459,0.41928,0.28924,0.17725,0.09490,0.13622,0.01372,0.04739,0.10407,0.13109,0.21642,0.16990,0.00854,
14                    5,0.00003,0.00019,0.00022,0.00074,0.00026,0.00023,0.00009,0.00011,0.00007,0.00080,0.00009,0.00020,0.00031,0.00096,0.00031,0.00012,0.00005,
14                    6,0.00083,0.11305,0.01080,0.06098,0.01375,0.04483,0.05807,0.01963,0.01846,0.03514,0.00204,0.00283,0.03035,0.02823,0.06712,0.06103,0.00177,
14                    7,0.01009,0.85300,0.17320,0.33491,0.08448,0.45397,0.31235,0.17638,0.11050,0.13493,0.01459,0.04128,0.10801,0.13407,0.23342,0.18483,0.00930,
14                    8,0.00003,0.00016,0.00026,0.00059,0.00020,0.00027,0.00018,0.00010,0.00008,0.00059,0.00007,0.00015,0.00028,0.00075,0.00023,0.00014,0.00004,
14                    9,0.00008,0.00214,0.00078,0.00429,0.00125,0.00119,0.00304,0.00095,0.00095,0.00339,0.00052,0.00055,0.00152,0.00438,0.00223,0.00217,0.00017,
14                    10,0.00008,0.00095,0.00072,0.00291,0.00067,0.00076,0.00381,0.00045,0.00263,0.00111,0.00016,0.00031,0.00186,0.00173,0.00106,0.00204,0.00015,
14                    11,0.00003,0.00017,0.00012,0.00033,0.00014,0.00016,0.00012,0.00009,0.00011,0.00041,0.00006,0.00009,0.00016,0.00051,0.00023,0.00012,0.00003,
14                    12,0.00004,0.00086,0.00074,0.00158,0.00042,0.00039,0.00032,0.00028,0.00019,0.00043,0.00008,0.00011,0.00103,0.00067,0.00041,0.00043,0.00003,
14                    13,0.00082,0.10160,0.01073,0.05460,0.01226,0.04361,0.04631,0.01740,0.01167,0.03024,0.00179,0.00270,0.02860,0.02457,0.06130,0.05405,0.00140,
15                    1,0.00004,0.00023,0.00027,0.00116,0.00039,0.00019,0.00079,0.00020,0.00025,0.00099,0.00018,0.00021,0.00047,0.00125,0.00037,0.00094,0.00005,
15                    2,0.00015,0.00404,0.00186,0.00644,0.00173,0.00343,0.02602,0.00192,0.01585,0.00280,0.00078,0.00051,0.00338,0.00397,0.00578,0.01422,0.00059,
15                    3,0.00012,0.00164,0.00099,0.00478,0.00129,0.00085,0.00588,0.00088,0.00280,0.00230,0.00033,0.00034,0.00245,0.00316,0.00135,0.00285,0.00015,
15                    4,0.00780,0.83049,0.16746,0.31575,0.07727,0.41982,0.27546,0.16772,0.09173,0.11275,0.01209,0.05082,0.10262,0.10711,0.21115,0.16086,0.00798,
15                    5,0.00005,0.00077,0.00030,0.00163,0.00046,0.00026,0.00193,0.00038,0.00046,0.00047,0.00011,0.00013,0.00080,0.00071,0.00038,0.00132,0.00003,
15                    6,0.00101,0.11996,0.01299,0.07416,0.01768,0.04674,0.06768,0.02272,0.02383,0.05005,0.00280,0.00361,0.03489,0.04302,0.07265,0.06698,0.00213,
15                    7,0.00995,0.82587,0.16678,0.31715,0.07734,0.45480,0.30010,0.16706,0.10852,0.11158,0.01307,0.04434,0.10643,0.10985,0.22871,0.17577,0.00877,
15                    8,0.00006,0.00095,0.00041,0.00202,0.00060,0.00044,0.00269,0.00045,0.00069,0.00069,0.00015,0.00014,0.00098,0.00098,0.00051,0.00134,0.00005,
15                    9,0.00003,0.00057,0.00022,0.00101,0.00029,0.00064,0.00031,0.00019,0.00014,0.00043,0.00011,0.00016,0.00059,0.00065,0.00102,0.00041,0.00007,
15                    10,0.00019,0.00271,0.00145,0.00824,0.00214,0.00136,0.00911,0.00146,0.00484,0.00443,0.00055,0.00053,0.00420,0.00595,0.00241,0.00420,0.00025,
15                    11,0.00005,0.00064,0.00025,0.00134,0.00044,0.00021,0.00162,0.00034,0.00037,0.00070,0.00014,0.00009,0.00058,0.00087,0.00034,0.00117,0.00004,
15                    12,0.00008,0.00200,0.00080,0.00310,0.00083,0.00051,0.00179,0.00075,0.00046,0.00160,0.00021,0.00032,0.00131,0.00198,0.00093,0.00133,0.00009,
15                    13,0.00097,0.10705,0.01275,0.06609,0.01572,0.04523,0.05275,0.01991,0.01568,0.04409,0.00239,0.00343,0.03276,0.03828,0.06601,0.05915,0.00169,
15                    14,0.00006,0.00072,0.00041,0.00209,0.00070,0.00030,0.00180,0.00044,0.00058,0.00187,0.00024,0.00020,0.00077,0.00232,0.00057,0.00120,0.00007,
16                    1,0.00001,0.00056,0.00033,0.00058,0.00016,0.00043,0.00102,0.00019,0.00060,0.00020,0.00004,0.00008,0.00037,0.00031,0.00087,0.00052,0.00004,
16                    2,0.00007,0.00283,0.00099,0.00215,0.00059,0.00252,0.01418,0.00077,0.00998,0.00097,0.00040,0.00021,0.00142,0.00118,0.00450,0.00963,0.00042,
16                    3,0.00003,0.00016,0.00021,0.00079,0.00023,0.00013,0.00082,0.00009,0.00059,0.00023,0.00004,0.00013,0.00053,0.00034,0.00019,0.00042,0.00006,
16                    4,0.00799,0.86368,0.17275,0.33254,0.08299,0.41018,0.28994,0.17844,0.09237,0.13197,0.01330,0.04780,0.10447,0.12627,0.21223,0.16954,0.00831,
16                    5,0.00003,0.00016,0.00017,0.00072,0.00022,0.00021,0.00025,0.00007,0.00025,0.00052,0.00008,0.00015,0.00034,0.00069,0.00035,0.00021,0.00004,
16                    6,0.00086,0.11092,0.01104,0.06063,0.01414,0.04553,0.05571,0.01941,0.01674,0.03675,0.00205,0.00291,0.02980,0.02925,0.06601,0.06036,0.00174,
16                    7,0.01015,0.85828,0.17190,0.33374,0.08285,0.44483,0.31207,0.17758,0.10709,0.13066,0.01415,0.04161,0.10850,0.12909,0.22934,0.18392,0.00904,
16                    8,0.00002,0.00011,0.00017,0.00041,0.00012,0.00012,0.00008,0.00005,0.00007,0.00032,0.00005,0.00011,0.00021,0.00041,0.00017,0.00009,0.00003,
16                    9,0.00008,0.00250,0.00083,0.00470,0.00130,0.00169,0.00414,0.00105,0.00139,0.00297,0.00051,0.00051,0.00189,0.00419,0.00275,0.00248,0.00017,
16                    10,0.00006,0.00062,0.00053,0.00218,0.00056,0.00038,0.00240,0.00034,0.00168,0.00098,0.00013,0.00023,0.00132,0.00129,0.00065,0.00128,0.00012,
