**** Analysis Summary ****

Time of run: ,05/07/16 23:56
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
10                    8,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,
10                    9,0.62658,570.42568,28.48097,3.83935,9.74697,20.49905,53.23525,27.55449,32.35995,5.72965,1.83643,50.15689,7.61620,11.55562,33.18861,38.44495,35.94724,
11                    1,1.14719,628.04652,19.95962,8.43152,7.55804,30.30961,85.11435,43.42656,52.60027,9.17269,0.85735,5.98151,18.12941,8.30618,35.06766,4.66394,2.57195,
11                    2,1.14805,628.04551,19.96478,8.43143,7.55947,30.31326,85.10203,43.41724,52.57806,9.17492,0.85676,5.98472,18.12593,8.30661,35.07173,4.66308,2.57116,
11                    3,1.14805,628.04148,19.96679,8.42836,7.55908,30.27960,85.10356,43.43127,52.59989,9.17805,0.85750,5.98560,18.12664,8.31096,35.08782,4.66944,2.57249,
11                    4,0.00000,0.00005,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00001,
11                    5,0.00000,0.00007,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00002,0.00002,0.00002,0.00003,0.00002,0.00001,
11                    6,2.22476,0.96854,123.24084,7.09740,3.96042,678.16533,105.54638,2.26461,3.30514,11.85006,11.59547,161.22091,112.18440,2.53260,172.36429,191.41980,162.75627,
11                    7,0.00000,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,
11                    8,0.00000,0.00006,0.00002,0.00002,0.00002,0.00001,0.00002,0.00002,0.00001,0.00000,0.00001,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,
11                    9,0.62678,570.22918,28.48451,3.85229,9.76209,20.49779,53.22851,27.55325,32.35900,5.73045,1.84046,50.12909,7.60494,11.56229,33.18542,38.46049,35.94858,
11                    10,0.00000,0.00008,0.00002,0.00002,0.00002,0.00002,0.00004,0.00003,0.00000,0.00000,0.00001,0.00002,0.00003,0.00002,0.00003,0.00001,0.00001,
12                    1,1.14720,628.01836,19.95962,8.42848,7.55849,30.30761,85.10524,43.42671,52.59994,9.17046,0.85695,5.98154,18.12550,8.30489,35.06822,4.66622,2.57112,
12                    2,1.14806,628.01734,19.96478,8.42839,7.55992,30.31127,85.09292,43.41738,52.57774,9.17269,0.85635,5.98475,18.12202,8.30532,35.07229,4.66537,2.57033,
12                    3,1.14806,628.01332,19.96679,8.42532,7.55953,30.27761,85.09445,43.43142,52.59956,9.17581,0.85709,5.98562,18.12273,8.30967,35.08838,4.67173,2.57166,
12                    4,0.00000,0.00004,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00002,0.00001,0.00001,0.00002,0.00001,0.00001,
12                    5,0.00000,0.00008,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00003,0.00001,0.00002,0.00003,0.00002,0.00001,
12                    6,2.22471,0.96805,123.24083,7.09777,3.95985,678.17178,105.54749,2.26282,3.30276,11.85635,11.59528,161.22461,112.18404,2.53244,172.36331,191.41794,162.75109,
12                    7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,
12                    8,0.00000,0.00005,0.00002,0.00001,0.00002,0.00001,0.00002,0.00002,0.00001,0.00000,0.00001,0.00003,0.00001,0.00001,0.00002,0.00002,0.00001,
12                    9,0.62670,570.27192,28.48481,3.84842,9.76265,20.49559,53.22722,27.55374,32.35934,5.72935,1.83998,50.12402,7.60752,11.56153,33.18630,38.46654,35.95187,
12                    10,0.00000,0.00007,0.00002,0.00002,0.00002,0.00002,0.00003,0.00003,0.00001,0.00000,0.00001,0.00004,0.00002,0.00002,0.00003,0.00001,0.00001,
12                    11,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,
13                    1,1.14720,627.96751,19.95938,8.42248,7.55092,30.31090,85.12259,43.44598,52.59742,9.17198,0.85724,5.98344,18.12021,8.30516,35.07443,4.66320,2.57345,
13                    2,1.14806,627.96649,19.96453,8.42238,7.55234,30.31455,85.11026,43.43665,52.57521,9.17420,0.85665,5.98665,18.11673,8.30559,35.07849,4.66234,2.57266,
13                    3,1.14806,627.96251,19.96655,8.41932,7.55195,30.28090,85.11178,43.45069,52.59704,9.17733,0.85739,5.98753,18.11744,8.30995,35.09458,4.66871,2.57399,
