**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
V, 27.18215, 11.49115, 13.01314, 20.89768, 27.55301, 33.48164, 20.94635,  7.42126,  0.35430,  0.27302
Mn, 62.33669, 28.51014, 29.24360, 48.42390, 57.41885, 71.23803, 46.48810, 14.64584,  0.31504,  0.23495
Fe, 64.61969, 28.79680, 32.98052, 50.60907, 61.17578, 73.71543, 49.51374, 14.39363,  0.29070,  0.22274
Zn, 22.98094, 15.38687, 19.80421, 22.71418, 28.86245, 31.76374, 23.89217,  5.21119,  0.21811,  0.22676
Br,  5.84487,  0.00000,  0.00000,  0.38557,  5.66669,  9.51289,  2.57259,  3.51515,  1.36638,  0.60141
Pb,  6.67567,  0.10828,  5.62942,  6.80968,  9.08269, 25.75178,  7.52596,  5.85286,  0.77769,  0.87675

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 14.26620, 10.63512, 16.07936, 20.34807, 49.29322, 59.94544, 29.24477, 17.47029,  0.59738,  1.22459
Na, 97.91376,  0.00000,  0.00662,  2.45714, 92.38463, 97.91376, 37.77613, 46.19220,  1.22279,  0.47176
Mg,  0.38069,  0.06860,  4.50344, 11.85535, 44.90818, 62.99590, 22.04019, 20.94354,  0.95024, 55.01459
Al,  7.87563,  7.28747, 12.05542, 26.62096, 50.26364, 59.88906, 29.84429, 18.29413,  0.61299,  2.32288
Si,  8.14879,  7.52176, 12.74059, 21.03410, 53.62131, 62.61899, 29.92375, 19.92572,  0.66588,  2.44524
P, 15.77382,  3.15755, 13.83749, 15.47780, 26.67456, 35.31739, 17.92842,  9.39188,  0.52385,  0.59541
S,  0.13409,  0.11666,  2.01361, 20.52720, 54.76959, 71.96492, 26.08927, 25.61556,  0.98184,191.03069
Cl, 10.89311,  0.00000,  8.85669, 10.72490, 12.24973, 51.47161, 12.60450, 11.55223,  0.91652,  1.06051
K, 11.81559, 11.04838, 15.68711, 37.94253, 48.86363, 57.85989, 33.32139, 16.53944,  0.49636,  1.39980
Ca, 12.18325, 11.35833, 15.28493, 22.05291, 52.85527, 61.12683, 30.77243, 18.53233,  0.60224,  1.52113
Ti, 13.20833, 12.31764, 15.98949, 24.59094, 53.01857, 61.73177, 32.23000, 18.14468,  0.56297,  1.37373
V,  5.89503,  3.47053,  5.76564,  8.67527, 24.75476, 62.55359, 15.46337, 14.24442,  0.92117,  2.41635
Mn, 11.87511, 11.00332, 14.11549, 19.20749, 50.35982, 65.66209, 29.05243, 19.05867,  0.65601,  1.60493
Fe, 15.40664, 14.41987, 17.98501, 27.42915, 52.86370, 60.46501, 33.70700, 17.02981,  0.50523,  1.10536
Zn, 17.47657, 14.49283, 17.85073, 22.35491, 29.27332, 34.27559, 23.25950,  5.95411,  0.25599,  0.34069
Br,  0.30520,  0.00000,  0.00000,  7.68936, 11.57774, 35.61267,  8.23286, 10.48153,  1.27313, 34.34323
Pb,  6.39624,  0.00000,  1.84033,  6.21319, 10.47501, 45.06790,  8.81057, 10.39489,  1.17982,  1.62516

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.48493,  6.73359,  8.14004,  8.44929,  8.99655, 10.07098,  8.54843,  0.84714,  0.09910,  0.11318
Na,  2.08537,  0.00000,  0.10534,  2.21688,  2.41917, 87.39563,  5.90629, 19.21099,  3.25263,  9.21228
Mg, 22.72632,  8.42933, 23.72149, 24.71502, 27.37985, 29.23089, 24.53090,  4.39635,  0.17922,  0.19345
Al,  1.24828,  1.18517,  1.73338,  1.91538,  2.19410,  6.40613,  2.14514,  1.07655,  0.50186,  0.86243
Si,  0.00595,  0.00000,  0.20226,  0.50854,  0.81987,  6.27294,  0.79265,  1.32798,  1.67536,223.35640
P, 50.31851, 50.06690, 52.04651, 53.98372, 62.21069, 93.70048, 57.56077,  9.67259,  0.16804,  0.19223
S,  9.93381,  8.94877, 10.88042, 11.57800, 13.23922, 14.25464, 11.82486,  1.48712,  0.12576,  0.14970
Cl,  0.00000,  0.00000,  0.04954,  1.81784,  2.16988,  8.99409,  1.63821,  1.96448,  1.19917,5476102407885.72000
