**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 3

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  7.29489,  6.76262,  7.28671, 27.05687, 27.17728, 27.20975, 19.61548,  9.65840,  0.49239,  1.32400
V, 27.73347,  8.52312, 21.15852, 24.63892, 24.68487, 27.73750, 22.86506,  5.09211,  0.22270,  0.18361
Mn,  9.11257,  5.27950,  9.11255, 20.28081, 20.37207, 28.08922, 16.08237,  7.17672,  0.44625,  0.78756
Fe, 11.31670,  9.93488, 11.30903, 28.25029, 28.36536, 28.39905, 21.18245,  8.52923,  0.40266,  0.75369
Zn, 26.12001,  8.02704, 10.01083, 10.05465, 15.79542, 26.15579, 13.57925,  5.90667,  0.43498,  0.22614
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 30.32694,  2.35265,  7.56997,  3.21764,  0.00000
Pb, 31.71648,  3.48430, 14.97538, 14.99714, 19.13950, 31.74375, 17.41214,  7.13908,  0.41001,  0.22509
BC, 40.59910,  9.18488, 12.69928, 12.71778, 21.68554, 40.64671, 18.60204, 10.20057,  0.54836,  0.25125

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 15.66147, 11.62304, 21.07045, 21.22217, 25.76210, 34.00977, 22.74393,  6.58697,  0.28961,  0.42058
Na, 44.80356, 38.14566, 38.18853, 38.20621, 44.79327, 48.88748, 41.41495,  4.47570,  0.10807,  0.09990
Mg, 14.03039,  1.04397,  5.46016,  5.52312, 14.03128, 16.72752,  8.69068,  5.34045,  0.61450,  0.38063
Al,  6.45736,  0.00000,  0.46072,  0.46249,  6.46322, 12.60754,  3.76883,  5.01376,  1.33032,  0.77644
Si,  6.76318,  0.00000,  0.00000,  0.00000,  6.76754, 12.10732,  3.43926,  5.05469,  1.46970,  0.74738
P, 50.75612, 50.75612, 52.24470, 63.33204, 63.38338, 67.08486, 59.12475,  5.90121,  0.09981,  0.11627
S, 55.35124, 53.58947, 58.46857, 58.52906, 59.55893, 66.41555, 59.43148,  3.86739,  0.06507,  0.06987
