**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Pb,  3.17813,  1.52984,  3.11730,  3.84556,  5.70899,  7.17339,  4.26043,  1.64079,  0.38512,  0.51627

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 74.38195, 74.38195, 74.45767, 74.56273, 74.65793, 74.71593, 74.55289,  0.10422,  0.00140,  0.00140
Na,  0.16609,  0.00000,  0.00000,  0.07799,  0.17954,  0.28294,  0.10048,  0.10360,  1.03101,  0.62375
Mg,  0.23612,  0.00000,  0.03440,  0.07759,  0.16461,  0.23612,  0.09168,  0.08115,  0.88519,  0.34370
Al,  4.31919,  3.93900,  4.07072,  4.16105,  4.24386,  4.36719,  4.16012,  0.12407,  0.02982,  0.02873
Si, 10.13777,  9.27313,  9.57152,  9.77301,  9.96444, 10.24400,  9.77274,  0.28169,  0.02882,  0.02779
P,  0.08489,  0.08489,  0.09392,  0.10531,  0.11118,  0.11629,  0.10359,  0.01065,  0.10278,  0.12542
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00009,  0.03992,  0.00285,  0.00939,  3.29864,624325.86890
Cl,  2.37156,  2.17671,  2.32575,  2.40814,  2.73329,  3.00495,  2.50061,  0.24633,  0.09851,  0.10387
K,  0.39446,  0.29655,  0.33165,  0.36220,  0.39261,  0.41574,  0.36028,  0.03542,  0.09832,  0.08980
Ca,  3.57725,  3.57725,  3.70349,  3.85778,  3.93747,  4.00502,  3.83363,  0.14558,  0.03797,  0.04070
Ti,  0.37030,  0.36927,  0.37038,  0.37415,  0.37730,  0.37785,  0.37382,  0.00322,  0.00861,  0.00869
V,  0.00541,  0.00522,  0.00529,  0.00537,  0.00540,  0.00546,  0.00535,  0.00007,  0.01298,  0.01284
Mn,  0.03990,  0.03465,  0.03622,  0.03748,  0.03878,  0.04036,  0.03749,  0.00170,  0.04542,  0.04267
Fe,  3.84283,  3.84283,  3.94296,  4.04560,  4.08744,  4.13445,  4.01512,  0.09095,  0.02265,  0.02367
Zn,  0.06013,  0.06013,  0.06707,  0.07620,  0.08040,  0.08435,  0.07463,  0.00823,  0.11026,  0.13685
Br,  0.00091,  0.00085,  0.00104,  0.00124,  0.00143,  0.00200,  0.00125,  0.00027,  0.22072,  0.30259
Pb,  0.01125,  0.01125,  0.01238,  0.01391,  0.01434,  0.01486,  0.01348,  0.00123,  0.09132,  0.10947

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 84.08843, 79.90417, 80.34757, 81.23928, 83.00126, 84.17443, 81.71412,  1.44748,  0.01771,  0.01721
Na,  0.05162,  0.00000,  0.00000,  0.00069,  0.56685,  1.14806,  0.25313,  0.37829,  1.49448,  7.32843
Mg,  0.00011,  0.00011,  0.14464,  0.24714,  0.29745,  0.34394,  0.22245,  0.09843,  0.44250,913.05679
Al,  0.38846,  0.00000,  0.67527,  1.40208,  2.00711,  2.41076,  1.37429,  0.73334,  0.53362,  1.88784
Si,  1.50757,  0.64861,  2.16470,  3.74609,  5.08612,  5.97787,  3.68843,  1.61909,  0.43896,  1.07397
P,  0.04208,  0.00040,  0.02706,  0.03064,  0.03410,  0.04208,  0.02944,  0.00825,  0.28031,  0.19607
S,  4.37580,  2.54691,  2.83971,  3.22911,  4.00595,  4.53861,  3.42494,  0.65879,  0.19235,  0.15055
Cl,  0.96765,  0.44534,  0.84023,  0.96823,  1.88664,  2.80239,  1.30310,  0.69624,  0.53430,  0.71952
K,  5.50962,  3.46907,  3.76766,  4.17571,  5.09227,  5.79659,  4.42685,  0.74299,  0.16784,  0.13485
Ca,  1.23269,  0.59538,  1.24422,  1.55575,  1.61821,  1.78343,  1.43777,  0.30009,  0.20872,  0.24345
Ti,  0.08153,  0.04820,  0.09105,  0.14142,  0.17748,  0.20253,  0.13676,  0.04767,  0.34858,  0.58469
V,  0.00190,  0.00150,  0.00206,  0.00272,  0.00323,  0.00356,  0.00269,  0.00062,  0.23254,  0.32824
Mn,  0.03296,  0.02923,  0.03351,  0.03756,  0.03988,  0.04115,  0.03676,  0.00340,  0.09252,  0.10318
Fe,  1.40383,  0.96566,  1.41844,  1.76845,  1.99253,  2.17287,  1.70625,  0.36014,  0.21107,  0.25654
Zn,  0.15769,  0.09195,  0.10020,  0.11726,  0.13491,  0.15769,  0.11960,  0.02004,  0.16760,  0.12711
Br,  0.09486,  0.05497,  0.06144,  0.07034,  0.08677,  0.09770,  0.07419,  0.01431,  0.19294,  0.15090
Pb,  0.06319,  0.03784,  0.04119,  0.04687,  0.05700,  0.06319,  0.04925,  0.00844,  0.17135,  0.13355

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 74.31963, 73.98080, 74.03810, 74.18800, 74.28624, 74.31963, 74.16754,  0.11991,  0.00162,  0.00161
Na,  0.00400,  0.00000,  0.00000,  0.01582,  0.07831,  0.11745,  0.03624,  0.04225,  1.16559, 10.57109
Mg,  0.85285,  0.73849,  0.76634,  0.83386,  0.85064,  0.85540,  0.81162,  0.04278,  0.05271,  0.05016
Al,  5.10285,  5.01401,  5.07554,  5.09833,  5.12154,  5.14016,  5.09374,  0.03297,  0.00647,  0.00646
Si, 11.93260, 11.72516, 11.86598, 11.91828, 11.96986, 12.01065, 11.90716,  0.07567,  0.00635,  0.00634
P,  0.00118,  0.00081,  0.00171,  0.00605,  0.01467,  0.01738,  0.00793,  0.00628,  0.79213,  5.33215
S,  0.14990,  0.01420,  0.01882,  0.06908,  0.13603,  0.15915,  0.07437,  0.05595,  0.75237,  0.37326
Cl,  0.93550,  0.93449,  0.96883,  1.12057,  1.18603,  1.33374,  1.09551,  0.12128,  0.11071,  0.12964
K,  0.80290,  0.59420,  0.61882,  0.67705,  0.78475,  0.80728,  0.69467,  0.07945,  0.11437,  0.09895
Ca,  2.37364,  2.36378,  2.38628,  2.48829,  2.61100,  2.64845,  2.49579,  0.10429,  0.04179,  0.04394
Ti,  0.35835,  0.35623,  0.35937,  0.36358,  0.36557,  0.36862,  0.36288,  0.00378,  0.01042,  0.01055
V,  0.00574,  0.00572,  0.00574,  0.00577,  0.00578,  0.00579,  0.00576,  0.00002,  0.00404,  0.00406
Mn,  0.05262,  0.05025,  0.05095,  0.05171,  0.05252,  0.05262,  0.05169,  0.00081,  0.01562,  0.01535
Fe,  3.10193,  3.08325,  3.11321,  3.17749,  3.26718,  3.30310,  3.18755,  0.07480,  0.02347,  0.02411
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00669,  0.01030,  0.00296,  0.00372,  1.25548,139046.68784
Br,  0.00261,  0.00000,  0.00000,  0.00109,  0.00232,  0.00283,  0.00111,  0.00112,  1.00529,  0.42822
Pb,  0.00371,  0.00253,  0.00318,  0.00363,  0.00379,  0.00462,  0.00348,  0.00051,  0.14801,  0.13883

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 69.59921, 69.33285, 69.61304, 70.00592, 70.36385, 70.82144, 69.99722,  0.47635,  0.00681,  0.00684
Na,  7.43042,  5.54783,  5.86226,  6.78389,  7.52186,  7.99350,  6.77276,  0.86565,  0.12781,  0.11650
Mg,  0.95237,  0.84751,  0.87346,  0.88709,  0.95668,  0.97374,  0.91164,  0.04479,  0.04913,  0.04703
Al,  0.93199,  0.59379,  0.78391,  1.25715,  1.85631,  1.97060,  1.27665,  0.51067,  0.40001,  0.54794
Si,  2.65038,  1.90022,  2.31545,  3.37217,  4.70348,  4.95430,  3.41446,  1.13449,  0.33226,  0.42805
P,  0.00249,  0.00000,  0.00066,  0.00984,  0.01091,  0.01572,  0.00691,  0.00524,  0.75757,  2.10279
