**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Si,  0.92732,  0.78240,  0.95341,  5.15375,  8.69854, 16.30063,  5.91276,  5.38418,  0.91060,  5.80618
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.02083, 17.70795,  1.86375,  4.64061,  2.48993,  0.00000
S,  6.94415,  2.14652,  5.41669,  6.88532,  8.44439, 20.88122,  7.86524,  4.48490,  0.57022,  0.64585
Cl, 44.01355, 41.50745, 42.85869, 47.36211, 51.56228, 74.93750, 49.79026,  9.76339,  0.19609,  0.22183
K,  4.52821,  0.00000,  0.42328,  4.43876,  6.34319, 14.39887,  4.24676,  3.72422,  0.87696,  0.82245
Ca,  6.26773,  4.57985,  6.21592,  7.39377, 10.49588, 19.41497,  9.10820,  4.60636,  0.50574,  0.73493
Ti,  2.69959,  1.48317,  2.67008,  4.42989,  7.66839, 16.30159,  5.97760,  4.60419,  0.77024,  1.70551
V,  5.34296,  3.59259,  5.29063,  6.14749,  9.17831, 18.87051,  7.84527,  4.27904,  0.54543,  0.80087
Mn,  1.11289,  0.00000,  1.05926,  3.06323,  6.32625, 14.65902,  4.50152,  4.62001,  1.02632,  4.15137
Fe,  2.64544,  1.19415,  2.54213,  3.99030,  7.27426, 15.81771,  5.61752,  4.47347,  0.79634,  1.69101
Zn, 17.22113,  4.09871,  7.97400, 13.04158, 18.57448, 23.64518, 13.37293,  5.89893,  0.44111,  0.34254
Br,  0.00489,  0.00000,  0.49184,  4.27981,  9.60995, 14.80211,  5.41900,  4.96338,  0.91592,1015.53893
Pb, 15.28863,  5.77758,  9.23078, 13.50101, 17.48052, 25.06190, 13.51732,  5.09931,  0.37724,  0.33354
BC, 16.05790, 13.15071, 16.10267, 16.68966, 18.40585, 32.98719, 18.08581,  4.26936,  0.23606,  0.26587

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 21.67235,  4.15362,  7.60796, 17.72878, 20.11540, 23.40021, 15.11520,  6.49202,  0.42950,  0.29955
Na, 34.58567,  3.76380, 22.44942, 29.38362, 34.31099, 45.81615, 26.57884, 12.57304,  0.47305,  0.36353
Mg, 15.74256,  0.00000,  6.73911, 15.81778, 19.03593, 22.79264, 13.15362,  7.41766,  0.56393,  0.47118
Al, 20.51388,  8.43396, 14.84209, 16.16987, 21.58904, 25.81227, 17.09703,  5.14006,  0.30064,  0.25057
Si, 17.91166,  5.23175, 11.36926, 14.20656, 19.28135, 23.85501, 14.63429,  5.62326,  0.38425,  0.31394
P, 69.07490, 45.75241, 59.93503, 68.66434, 69.48181, 72.61903, 63.56918,  8.81955,  0.13874,  0.12768
S, 63.58008, 39.26956, 52.94610, 61.82504, 65.36417, 69.07074, 58.22104,  9.37095,  0.16095,  0.14739
Cl,  0.08434,  0.00000,  0.00000,  0.00000,  0.17499, 10.54959,  1.03654,  2.65989,  2.56612, 31.53951
K, 33.83250, 10.80701, 15.46421, 30.50082, 33.02623, 35.29024, 26.26717,  9.11926,  0.34717,  0.26954
Ca, 15.55804,  3.87903,  5.75414, 11.31552, 14.64276, 18.69622, 10.68054,  4.58805,  0.42957,  0.29490
Ti, 17.81552,  7.35905,  8.47156, 13.11020, 17.52212, 21.97135, 13.21673,  4.68809,  0.35471,  0.26315
V, 20.63621,  7.42953,  9.45861, 17.19317, 20.04574, 23.15934, 15.75636,  5.09010,  0.32305,  0.24666
