ACC447,19.3,
ACC448,26.4,
ACC449,30.7,
ACC450,14.9,
ACC451,24,
ACC452,27,
ACC453,13.3,
ACC454,31.1,
ACC455,42,
ACC456,37,
ACC457,34.7,
ACC458,29,
ACC459,35.4,
ACC460,27.5,
ACC461,20.4,
ACC462,31.7,
ACC463,32.1,
ACC464,19.5,
ACC465,20.9,
ACC466,35.8,
ACC467,31,
ACC468,43.2,
ACC469,29.6,
ACC470,26.1,
ACC471,19.3,
ACC472,22.2,
ACC473,38.6,
ACC474,22.8,
ACC475,22.8,
ACC476,30.5,
ACC477,97.7,
ACC478,96.2,
ACC479,35.3,
ACC480,34,furado
ACC481,36,
ACC482,29.8,
ACC483,29.6,
ACC484,32.6,
ACC485,36.3,
ACC486,36.1,
ACC487,43.1,
ACC488,45.3,
ACC489,42.1,
ACC490,36.2,
ACC491,39.8,
ACC492,23.6,
ACC493,36.5,
ACC494,30.2,
ACC495,21.7,
ACC496,27.9,
ACC498,37.4,
ACC499,40.4,
ACC500,43.9,
ACC501,41,
ACC502,26.3,
ACC503,17.3,
ACC504,16.9,
ACC505,19.2,
ACC506,19.1,
ACC507,8.2,
ACC508,61.8,
ACC511,84.2,
ACC512,9.3,
ACC514,3.9,
ACC515,88,
ACC516,24.4,
ACC517,71.3,
ACC518,89,
ACC520,35.7,
ACC521,90.7,
ACC522,62.2,
ACC523,75.4,
ACC524,37.1,
ACC527,13.3,
ACC528,17.5,
ACC533,22.4,
ACC534,39.1,
ACC535,20.8,
ACC536,51.5,
ACC537,24.3,
ACC538,9.5,
ACC539,13.3,
ACC540,99,
ACC541,97.7,
ACC542,30.6,
ACC543,42.9,
ACC544,36.8,
ACC545,57.4,
ACC546,21.9,
ACC547,70.4,
ACC548,5,
ACC549,99.6,
ACC550,25.6,
ACC551,35.5,
ACC552,22.1,
ACC553,26.5,
ACC554,42.8,
ACC555,5.1,
ACC556,22.1,
ACC557,97.2,
ACC558,23.5,
ACC559,35.8,
ACC560,14.3,
ACC561,7.1,
ACC562,76.1,
ACC563,11.3,
ACC564,7.2,
ACC565,38.9,
ACC566,96.7,
ACC567,98.8,
ACC568,20.8,
ACC569,91.6,
ACC570,67.1,
ACC571,48.5,
ACC572,26,
ACC573,14.3,
ACC575,88.5,
ACC576,97.4,
ACC577,34.8,
ACC578,10.2,
ACC579,35,
ACC580,11.5,
ACC581,40,
ACC582,6.8,
ACC583,48.7,
ACC584,97.7,
ACC585,4.9,
ACC586,94.6,
ACC587,7.3,
ACC588,8.7,
ACC589,5.1,
ACC590,74.7,
ACC591,8.2,
ACC592,6,
ACC593,5,
ACC594,28.5,
ACC595,42.2,
ACC596,99,
ACC597,97.8,
ACC598,56.8,
ACC599,36.4,
ACC600,9.9,
ACC601,51.3,
ACC602,55.8,
ACC603,5.7,
ACC604,71.7,
ACC605,9.5,
ACC606,14.6,
ACC607,98.2,
ACC608,100.4,
ACC609,41,
ACC610,31.9,
ACC611,4.3,
ACC612,12.9,
ACC613,8.5,
ACC614,45.1,
ACC615,7.2,
ACC616,22.2,
ACC617,16.8,
ACC618,36.7,
ACC619,19.2,
ACC620,41.2,
ACC621,62.9,
ACC622,41.1,
ACC623,28.5,
ACC624,98.2,
ACC625,10.6,
ACC626,7.9,
ACC627,23.9,
ACC628,24.3,
ACC629,15.5,
ACC630,23.6,
ACC631,14.9,
ACC632,96.8,
ACC633,20,
ACC634,25.3,
ACC635,25.2,
ACC636,26.6,
ACC637,28.7,
ACC638,31.9,
ACC639,18.3,
ACC640,20.4,
ACC641,16.6,
ACC642,32.2,
ACC643,23.6,
ACC644,21.9,
ACC645,20.2,
ACC646,24.5,
ACC647,26.9,
ACC648,15.2,
ACC649,30.6,
ACC650,21.1,
ACC651,18.5,
ACC652,19.4,
ACC653,34,
ACC654,21.4,
ACC655,22.1,
ACC656,29,
ACC657,18.3,
ACC658,33.3,
ACC659,34.1,
ACC660,21.9,
ACC661,25.8,
ACC662,98.1,
ACC663,21.2,
ACC664,37.5,
ACC666,37.8,
ACC667,21.2,
ACC668,23.6,
ACC669,27.2,
ACC670,30,
ACC671,19.2,
ACC672,18.7,
ACC673,65.9,furado
ACC674,31.2,
ACC675,20.7,
ACC676,29.1,
ACC677,19,
ACC678,29.2,
ACC679,40.3,
ACC680,35.9,
ACC681,28.6,
ACC682,32.1,
ACC683,17.8,
ACC684,25.4,
ACC685,31.1,
ACC686,35.7,
ACC687,40.1,
ACC688,24.8,
ACC689,47.5,
ACC690,36.7,
ACC691,24.8,
ACC692,21.7,
ACC693,34.8,
ACC694,43.5,
ACC695,20.9,
ACC696,20.4,
ACC697,33,
ACC698,54.1,
ACC699,38.1,
ACC700,27.9,
ACC701,43.1,
ACC702,22.2,
ACC703,22.8,
ACC704,43.4,
ACC705,47,
ACC706,22,
ACC707,24,
ACC708,20.5,
ACC709,14.1,
ACC710,28.1,
ACC711,29.6,
ACC712,30.5,
ACC714,29.9,
ACC715,15.4,
ACC716,32.1,
ACC717,16.7,
ACC718,13.6,
ACC719,35,
ACC720,25.9,
ACC721,30.4,
ACC722,45.7,
ACC723,41.7,
ACC724,34.2,
ACC725,47.6,
ACC726,46.4,
ACC727,31.3,
ACC728,31.7,
ACC729,36.8,
ACC730,27.2,
ACC731,37.4,
ACC732,44.2,
ACC733,26.8,
ACC734,28.1,
ACC735,42.6,
ACC736,26.4,
ACC737,29.9,
ACC738,44.1,
ACC739,48.7,
ACC740,48.2,
ACC741,29.7,
ACC742,30.3,
ACC743,34,
ACC744,29.9,
ACC745,27.1,
ACC746,33,
ACC747,24.5,
ACC748,33.8,
ACC749,17.1,
ACC750,37.6,
ACC751,21.7,
ACC752,30.5,
ACC753,21.3,
ACC754,13.9,
ACC755,12.7,
ACC756,14.8,
ACC757,38.1,
ACC758,17.7,
ACC759,24.5,
ACC760,43.1,
ACC761,13,
ACC762,40.9,
ACC763,28.9,
ACC764,15.1,
ACC765,37.1,
ACC766,19.6,
ACC767,47.1,
ACC768,27.4,
ACC769,13.8,
ACC770,9.8,
ACC771,14.8,
ACC772,35.4,
ACC773,19.4,
ACC774,34.1,
ACC775,23.1,
ACC776,8.4,furado
ACC777,36.7,
ACC778,31.8,
