AFR-407,19.4,não estava na lista,
AFR-408,17.5,não estava na lista,
AFR-409,33.5,não estava na lista,
AFR-410,10.8,não estava na lista,
AFR-411,14.3,não estava na lista,
AFR-412,17.8,não estava na lista,
AFR-413,24,não estava na lista,
AFR-414,17.4,não estava na lista,
AFR-415,7.6,não estava na lista,
AFR-416,30.2,não estava na lista,
AFR-417,99,não estava na lista,
AFR-418,11.1,não estava na lista,
AFR-419,16,não estava na lista,
AFR-420,9.1,não estava na lista,
AFR-421,13.1,não estava na lista,
AFR-422,16.9,não estava na lista,
AFR-423,32.5,não estava na lista,
AFR-424,22.5,não estava na lista,
AFR-425,99.8,não estava na lista,
AFR-426,35.7,não estava na lista,
AFR-427,18.4,não estava na lista,
AFR-428,18.5,não estava na lista,
AFR-429,5.6,não estava na lista,
AFR-430,62.9,,
AFR-431,81,,
AFR-432,73.3,,
AFR-433,74.7,,
AFR-434,75.9,,
AFR-435,78.5,,
AFR-436,79.1,,
AFR-437,83,,
AFR-438,82.2,,
AFR-439,85.6,não estava na lista,
AFR-440,15.4,não estava na lista,
AFR-441,101.2,não estava na lista,
AFR-442,21.4,não estava na lista,
AFR-443,6.3,não estava na lista,
AFR-444,15.9,não estava na lista,
AFR-445,29.4,não estava na lista,
AFR-446,12.2,não estava na lista,
AFR-447,36.6,não estava na lista,
AFR-448,78.2,não estava na lista,
AFR-449,77,não estava na lista,
AFR-450,76.7,,
AFR-451,89.2,,
AFR-452,90,,
AFR-453,77.7,,
AFR-454,77.6,,
AFR-455,64.2,,
AFR-456,94.4,,
AFR-457,78.1,,
AFR-458,79.8,,
AFR-459,87.2,,
AFR-460,22,não estava na lista,
AFR-461,22.7,não estava na lista,
AFR-462,97.6,não estava na lista,
AFR-463,7.9,não estava na lista,
AFR-464,21.2,não estava na lista,
AFR-465,18.9,não estava na lista,
AFR-466,44.7,não estava na lista,
AFR-467,30.7,não estava na lista,
AFR-468,14.2,não estava na lista,
AFR-469,16.4,não estava na lista,
AFR-470,27.1,não estava na lista,
AFR-471,66.2,não estava na lista,
AFR-472,35.4,não estava na lista,
AFR-473,40.3,não estava na lista,
AFR-474,24.2,não estava na lista,
AFR-475,36.8,não estava na lista,
AFR-476,13.1,não estava na lista,
AFR-477,65.4,não estava na lista,
AFR-478,48.9,não estava na lista,
AFR-479,7.8,não estava na lista,
AFR-480,13.7,não estava na lista,
AFR-481,46.5,não estava na lista,
AFR-482,101,não estava na lista,
AFR-483,45.6,não estava na lista,
AFR-484,103.2,não estava na lista,
AFR-485,14.5,não estava na lista,
AFR-486,20.3,não estava na lista,
AFR-487,12.1,não estava na lista,
AFR-488,14.1,não estava na lista,
AFR-489,30.5,não estava na lista,rasgado
AFR-490,86.6,,rasgado
AFR-491,83.8,,
AFR-492,85.7,,
AFR-493,85.5,,
AFR-494,81.4,,
AFR-495,80.9,,
AFR-496,85.3,,
AFR-497,85.7,,
AFR-498,77.1,,
AFR-499,70.3,,
AFR-500,81.7,,
AFR-501,86.1,,
AFR-502,85.2,,
AFR-503,88.3,,
AFR-504,86.6,,
AFR-505,86.7,,
AFR-506,90.7,,
AFR-507,87.8,,
AFR-508,93.4,,
AFR-509,61,,
AFR-510,16.3,não estava na lista,
AFR-511,17,não estava na lista,
AFR-512,8.4,não estava na lista,
AFR-513,17.6,não estava na lista,
AFR-514,9.2,não estava na lista,
AFR-515,103.1,não estava na lista,
AFR-516,14.4,não estava na lista,
AFR-517,36.3,não estava na lista,
AFR-518,102.1,não estava na lista,
AFR-519,9.9,não estava na lista,
AFR-520,37.1,não estava na lista,
AFR-521,23.6,não estava na lista,
AFR-522,38.1,não estava na lista,
AFR-523,17.5,não estava na lista,
AFR-524,18.3,não estava na lista,
