**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
S,  0.30167,  0.26417,  0.27812,  0.30168,  0.34465,  0.36070,  0.30731,  0.03372,  0.10971,  0.11176
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.25618,  0.18529,  0.20038,  0.25619,  0.30100,  0.31764,  0.25234,  0.04677,  0.18535,  0.18257
Ca,  0.03520,  0.03213,  0.03366,  0.03520,  0.03990,  0.04167,  0.03614,  0.00337,  0.09323,  0.09571
Ti,  0.00021,  0.00021,  0.00021,  0.00022,  0.00024,  0.00025,  0.00022,  0.00002,  0.07864,  0.08475
V,  0.00025,  0.00014,  0.00016,  0.00025,  0.00030,  0.00032,  0.00023,  0.00006,  0.27413,  0.26049
Mn,  0.00055,  0.00000,  0.00007,  0.00055,  0.00073,  0.00080,  0.00046,  0.00030,  0.66166,  0.54587
Fe,  0.00929,  0.00254,  0.00345,  0.00929,  0.01177,  0.01268,  0.00822,  0.00377,  0.45824,  0.40529
Zn,  0.00700,  0.00431,  0.00479,  0.00700,  0.00838,  0.00890,  0.00673,  0.00165,  0.24448,  0.23507
Br,  0.01118,  0.01048,  0.01094,  0.01118,  0.01261,  0.01315,  0.01154,  0.00096,  0.08329,  0.08595
Pb,  0.00333,  0.00188,  0.00212,  0.00333,  0.00403,  0.00428,  0.00316,  0.00087,  0.27466,  0.26086
BC,  0.58195,  0.20206,  0.25460,  0.58195,  0.73031,  0.78492,  0.52486,  0.21535,  0.41029,  0.37004

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 15.75821, 15.53591, 15.75736, 16.01153, 17.08194, 17.83509, 16.28246,  0.76824,  0.04718,  0.04875
Na, 51.12578, 51.11498, 51.12548, 51.17879, 51.36628, 51.93510, 51.28460,  0.24234,  0.00473,  0.00474
Mg,  9.92096,  8.15853,  8.71018,  9.92433, 10.31704, 10.62827,  9.66582,  0.82778,  0.08564,  0.08344
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Si,  0.80755,  0.79418,  0.80638,  0.80719,  0.91146,  0.95979,  0.84248,  0.06044,  0.07175,  0.07485
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S, 13.27545, 13.14499, 13.21443, 13.28445, 13.44458, 13.46717, 13.31244,  0.11407,  0.00857,  0.00859
Cl, 78.80184, 78.57405, 78.64289, 78.80172, 79.10275, 80.25107, 78.96971,  0.47615,  0.00603,  0.00604
K, 15.20653, 15.04725, 15.20693, 15.46222, 16.28362, 16.92215, 15.65138,  0.62368,  0.03985,  0.04101
Ca,  8.35761,  8.34395,  8.35160,  8.35754,  8.36012,  8.50556,  8.37048,  0.04597,  0.00549,  0.00550
Ti,  1.99573,  1.98963,  1.99252,  1.99578,  2.07075,  2.10256,  2.02194,  0.04244,  0.02099,  0.02127
V, 15.33370, 15.18357, 15.33166, 15.53555, 16.45295, 17.08429, 15.77702,  0.64587,  0.04094,  0.04212
Mn,  8.00536,  7.67068,  8.00481,  8.23087,  9.29498, 10.02555,  8.49845,  0.76302,  0.08978,  0.09531
Fe,  2.43322,  2.34219,  2.43234,  2.49473,  2.80348,  3.00932,  2.57413,  0.21795,  0.08467,  0.08957
Zn, 20.11810, 19.88202, 20.11731, 20.41960, 21.66602, 22.55476, 20.73576,  0.89717,  0.04327,  0.04460
Br, 21.11762, 19.69079, 20.13035, 21.12794, 21.19104, 21.73494, 20.85774,  0.63288,  0.03034,  0.02997
Pb, 23.38599, 23.16808, 23.38437, 23.68917, 25.05503, 26.00233, 24.04831,  0.96344,  0.04006,  0.04120
BC, 18.52568, 17.99792, 18.52567, 18.94890, 20.81519, 22.11531, 19.41298,  1.34519,  0.06929,  0.07261

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 25.25407, 20.04368, 21.26393, 25.21552, 27.45560, 30.20836, 24.91696,  3.39808,  0.13638,  0.13456
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 84.16447, 80.89822, 82.12580, 84.16472, 84.81083, 85.04256, 83.51795,  1.44259,  0.01727,  0.01714
Al, 81.22259, 78.77409, 78.90206, 81.17276, 81.21974, 83.40134, 80.55558,  1.43993,  0.01788,  0.01773
Si, 80.00541, 77.31057, 77.51431, 79.98239, 80.02472, 82.32386, 79.33715,  1.56261,  0.01970,  0.01953
P, 26.21782, 24.86341, 25.11816, 25.94136, 26.21532, 29.91945, 26.12666,  1.39325,  0.05333,  0.05314
S, 10.15699,  9.17403,  9.43635, 10.01829, 10.15429, 13.20515, 10.16943,  1.10103,  0.10827,  0.10840
Cl, 20.78515, 17.38096, 20.33025, 20.78604, 20.97415, 21.06775, 20.38596,  1.06195,  0.05209,  0.05109
K, 16.05660, 11.66581, 12.74291, 16.02091, 17.88928, 20.89838, 15.84710,  2.95954,  0.18676,  0.18432
Ca, 64.73807, 62.78496, 62.90211, 64.63992, 64.73611, 66.61008, 64.20900,  1.17181,  0.01825,  0.01810
Ti, 79.08713, 76.52949, 76.70255, 79.06599, 79.10681, 81.26315, 78.42733,  1.47965,  0.01887,  0.01871
V, 34.31561, 29.61179, 30.64495, 34.28002, 36.10256, 38.62434, 33.91977,  2.99626,  0.08833,  0.08731
Mn, 47.13086, 41.44886, 42.65788, 47.09158, 49.24354, 52.10771, 46.60765,  3.57606,  0.07673,  0.07588
Fe, 71.65143, 68.25638, 68.70531, 71.62842, 72.05245, 74.62059, 71.02500,  1.99890,  0.02814,  0.02790
Zn, 10.64902,  5.07937,  6.47678, 10.62494, 13.29647, 16.07507, 10.41137,  3.72295,  0.35759,  0.34961
Br, 10.11279,  7.38083,  9.74229, 10.11275, 11.56476, 11.97109, 10.20116,  1.37820,  0.13510,  0.13628
Pb,  9.90964,  4.11432,  5.56040,  9.90164, 12.72789, 15.24238,  9.64831,  3.84445,  0.39846,  0.38795
BC,  7.80841,  0.00000,  1.92941,  7.80189, 11.81713, 14.90421,  7.50529,  5.22621,  0.69634,  0.66930

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 40.64803, 36.64860, 40.51274, 40.65302, 42.59601, 46.57921, 41.28238,  2.48871,  0.06029,  0.06123
Na, 16.15931,  9.42389, 11.19772, 16.13199, 19.11341, 20.56461, 15.50275,  3.88800,  0.25079,  0.24060
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al, 17.98528, 15.76962, 17.96622, 18.00592, 20.21638, 20.41177, 18.55552,  1.43628,  0.07740,  0.07986
Si, 19.18705, 16.88157, 19.16820, 19.21025, 21.64110, 21.88311, 19.82037,  1.55682,  0.07855,  0.08114
P, 27.34775, 19.40610, 20.92280, 27.33052, 31.07115, 33.65851, 26.48921,  4.84763,  0.18300,  0.17726
