**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.53037,  0.17093,  1.18366,  1.96220, 10.80483, 15.79674,  5.16859,  5.27051,  1.01972,  9.93742
Na,100.00000, 87.28838, 88.11329, 90.76558,100.00000,100.00000, 93.69614,  5.86524,  0.06260,  0.05865
Mg, 13.56310,  7.41628,  8.62324, 13.23968, 21.85569, 28.62961, 15.23127,  6.80052,  0.44648,  0.50140
Al,  9.84456,  9.23589,  9.75908, 10.59044, 18.49628, 22.65675, 13.51324,  4.87342,  0.36064,  0.49504
Si,  8.43297,  6.24250,  7.11788,  8.47636, 17.81126, 22.55702, 11.77781,  5.68351,  0.48256,  0.67396
P,  0.00000,  0.00000,  0.00876,  9.70836, 20.09971, 21.46832, 10.21344,  9.35070,  0.91553,  0.00000
S, 26.41816, 20.24956, 23.69606, 32.67422, 34.13423, 35.92736, 29.48549,  5.39317,  0.18291,  0.20415
Cl, 53.04234, 46.58311, 47.90129, 51.89134, 53.33790, 59.30728, 51.67135,  3.94781,  0.07640,  0.07443
K,  2.93623,  1.58167,  5.71479,  7.64103,  8.80065, 17.40291,  7.88970,  3.70591,  0.46971,  1.26213
Ca,  8.47741,  7.04827,  7.83764,  8.84869, 17.21430, 21.71777, 11.88652,  5.18391,  0.43612,  0.61150
Ti,  3.44868,  3.16364,  3.47604,  4.29598, 13.55047, 18.13717,  7.82062,  5.35628,  0.68489,  1.55314
V,  0.01740,  0.01740,  1.97753,  3.25182, 10.18986, 16.42405,  5.38460,  4.89684,  0.90942,281.40078
Mn,  0.51544,  0.00000,  0.42175,  0.91711, 11.49936, 16.07241,  5.09415,  6.00929,  1.17964, 11.65845
Fe,  1.55101,  1.39152,  2.14472,  2.93695, 12.03819, 16.86148,  6.21948,  5.32419,  0.85605,  3.43273
Zn,  5.21898,  4.64447,  8.70073, 11.07587, 14.41673, 21.37431, 11.61723,  4.28542,  0.36889,  0.82112
Br, 21.49912,  0.00000,  0.01740,  1.52869, 18.93727, 27.38376,  8.64340,  9.95891,  1.15220,  0.46322
Pb,  8.90015,  6.51375, 10.08645, 14.28073, 15.26189, 21.07565, 13.30861,  3.61979,  0.27199,  0.40671

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 67.30692, 55.99768, 58.04677, 60.06778, 64.08474, 69.69258, 61.18033,  3.83542,  0.06269,  0.05698
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 69.59811, 61.68655, 63.88734, 65.42427, 69.23836, 72.45936, 66.19813,  3.02463,  0.04569,  0.04346
Al, 61.93795, 51.52662, 53.42399, 55.27709, 59.11247, 64.09235, 56.32178,  3.53851,  0.06283,  0.05713
Si, 67.15928, 57.13408, 59.22260, 61.27860, 65.15078, 69.12835, 62.06413,  3.48147,  0.05609,  0.05184
P, 17.51959,  0.00000,  0.00000,  0.07894,  6.62279, 22.48127,  4.35729,  6.96358,  1.59815,  0.39747
S,  8.66020,  0.00000,  0.49299,  0.83993,  1.84193, 11.81814,  2.29377,  3.46314,  1.50980,  0.39989
Cl, 32.00767, 27.04494, 28.02493, 28.93707, 30.68224, 33.08752, 29.38679,  1.69107,  0.05755,  0.05283
K, 50.17907, 39.18433, 40.56378, 41.95994, 46.24504, 53.04959, 43.39549,  3.71341,  0.08557,  0.07400
Ca, 63.84874, 53.92812, 55.88705, 57.82147, 61.36721, 65.91823, 58.65070,  3.39715,  0.05792,  0.05321
Ti, 67.31191, 56.10578, 58.17584, 60.19834, 64.41245, 69.58892, 61.31168,  3.81943,  0.06230,  0.05674
V, 65.01757, 52.66317, 54.62793, 56.52904, 61.00856, 67.63572, 58.03230,  4.16906,  0.07184,  0.06412
Mn, 72.64549, 61.08344, 63.34370, 65.54861, 70.16143, 74.87652, 66.62791,  3.98553,  0.05982,  0.05486
Fe, 67.67975, 56.16886, 58.24190, 60.26829, 64.54245, 70.04616, 61.45202,  3.91193,  0.06366,  0.05780
Zn, 39.57076, 26.50899, 27.48218, 28.45686, 33.46335, 43.00347, 30.81757,  4.61825,  0.14986,  0.11671
Br,  0.00068,  0.00000,  0.00156, 19.20990, 21.49765, 22.46363, 13.13759, 10.08182,  0.76740,14929.99180
Pb, 35.23367, 25.45998, 26.20870, 26.95107, 30.10999, 38.27868, 28.60468,  3.47802,  0.12159,  0.09871

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 17.69503, 16.26058, 18.33568, 21.63619, 30.67900, 35.14134, 23.95226,  6.38050,  0.26638,  0.36058
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  3.42595, 13.99905, 18.37966,  6.33741,  7.05143,  1.11267,  0.00000
Al, 15.39453, 13.87487, 16.04471, 19.01409, 27.46789, 31.45354, 21.16732,  5.93189,  0.28024,  0.38532
Si, 10.10476,  8.88192, 10.61365, 13.51665, 23.11373, 26.88123, 16.32464,  6.57927,  0.40303,  0.65111
P, 82.48041, 77.51873, 79.09883, 83.10603, 88.61708, 95.94071, 84.55064,  6.32516,  0.07481,  0.07669
S, 55.08741, 51.38394, 51.89923, 55.08320, 59.87767, 62.26603, 55.82449,  4.00263,  0.07170,  0.07266
Cl,  7.40762,  7.07477,  7.60551,  9.09308, 13.60006, 15.50299, 10.35918,  3.00963,  0.29053,  0.40629
K, 33.42010, 32.88662, 34.12662, 36.84833, 41.24023, 47.71609, 38.06857,  4.33402,  0.11385,  0.12968
Ca, 13.33147, 12.38687, 13.77089, 16.64491, 25.74707, 29.47734, 19.23302,  6.09295,  0.31680,  0.45704
Ti, 15.56091, 13.83017, 16.28368, 19.41798, 28.79723, 32.95562, 21.83766,  6.49552,  0.29745,  0.41743
V, 22.49289, 20.20184, 23.45848, 27.04839, 34.77580, 40.06334, 28.60866,  6.18136,  0.21607,  0.27481
Mn, 12.61831, 10.64475, 13.40182, 16.46041, 26.91855, 31.12249, 19.39515,  7.16412,  0.36938,  0.56776
Fe, 17.03103, 15.23340, 17.78769, 21.04398, 30.23288, 34.64329, 23.34737,  6.49881,  0.27835,  0.38159
Zn, 47.09988, 44.74684, 48.20141, 50.82385, 52.97750, 60.58140, 50.93414,  4.10940,  0.08068,  0.08725
Br, 10.61679,  0.00000,  0.06076,  2.57198, 10.45843, 42.29095,  8.31942, 12.39764,  1.49020,  1.16774
Pb, 42.72105, 41.38412, 43.01876, 45.80682, 47.64038, 53.79580, 45.93333,  3.23689,  0.07047,  0.07577

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 14.46769,  2.04075,  7.00264,  8.77995, 13.72495, 16.79535,  9.69882,  4.34198,  0.44768,  0.30012
Na,  0.00000,  0.00000,  0.00000,  9.23442, 11.88671, 12.71162,  6.30386,  5.86524,  0.93042,  0.00000
Mg, 16.83879,  4.69465,  9.18012, 11.95001, 16.62398, 19.62723, 12.23319,  4.58009,  0.37440,  0.27200
Al, 12.82296,  2.52677,  6.86074,  8.61238, 12.69277, 14.84573,  8.99766,  3.70239,  0.41148,  0.28873
Si, 14.30298,  2.57989,  7.28835,  9.39480, 14.06152, 16.56590,  9.83343,  4.23156,  0.43032,  0.29585
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.31259,  4.80463,  0.87863,  1.74275,  1.98348,  0.00000
S,  9.83424,  8.30528, 10.71138, 12.06940, 14.13408, 17.47709, 12.39625,  2.59460,  0.20931,  0.26383
Cl,  7.54237,  2.93868,  7.24000,  8.64807, 10.86652, 13.37051,  8.58268,  2.60814,  0.30388,  0.34580
K, 13.46459,  5.45079,  8.39682, 10.01205, 13.03839, 15.92287, 10.64624,  2.95536,  0.27760,  0.21949
Ca, 14.34238,  3.43198,  7.86037,  9.85155, 14.15903, 16.68593, 10.22975,  3.97441,  0.38852,  0.27711
