**** Analysis Summary ****

Time of run: ,04/10/16 02:07
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
12                    1,0.00000,0.00001,0.00004,0.00001,0.00001,0.00002,0.00001,0.00003,0.00001,0.00003,0.00000,0.00001,0.00000,0.00001,0.00003,0.00002,0.00001,
12                    2,0.00000,0.00001,0.00000,0.00001,0.00000,0.00003,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,
12                    3,0.00000,0.00003,0.00001,0.00001,0.00001,0.00010,0.00012,0.00008,0.00017,0.00005,0.00002,0.00001,0.00001,0.00002,0.00007,0.00010,0.00001,
12                    4,0.00000,0.00002,0.00001,0.00002,0.00001,0.00007,0.00011,0.00005,0.00020,0.00005,0.00001,0.00001,0.00002,0.00003,0.00007,0.00005,0.00001,
12                    5,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,
12                    6,0.00000,0.00002,0.00001,0.00001,0.00001,0.00004,0.00001,0.00002,0.00001,0.00003,0.00001,0.00001,0.00000,0.00001,0.00002,0.00003,0.00001,
12                    7,0.00000,0.00001,0.00001,0.00001,0.00001,0.00005,0.00006,0.00002,0.00008,0.00002,0.00001,0.00000,0.00001,0.00001,0.00003,0.00005,0.00001,
12                    8,0.00000,0.00000,0.00002,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00003,0.00000,0.00000,0.00000,0.00002,0.00002,0.00001,0.00000,
12                    9,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00005,0.00003,0.00001,0.00000,0.00000,0.00002,0.00003,0.00003,0.00001,
12                    10,0.00000,0.00001,0.00003,0.00001,0.00001,0.00004,0.00002,0.00001,0.00002,0.00003,0.00001,0.00001,0.00000,0.00001,0.00002,0.00005,0.00001,
12                    11,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00003,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00004,0.00001,
13                    1,0.00000,0.00003,0.00005,0.00001,0.00001,0.00007,0.00001,0.00003,0.00001,0.00004,0.00001,0.00001,0.00001,0.00001,0.00004,0.00004,0.00001,
13                    2,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,
13                    3,0.00000,0.00003,0.00001,0.00001,0.00001,0.00018,0.00012,0.00008,0.00018,0.00008,0.00002,0.00001,0.00001,0.00002,0.00008,0.00012,0.00001,
13                    4,0.00000,0.00002,0.00002,0.00002,0.00002,0.00013,0.00011,0.00005,0.00020,0.00007,0.00002,0.00001,0.00002,0.00003,0.00009,0.00006,0.00001,
13                    5,0.00000,0.00002,0.00001,0.00001,0.00001,0.00004,0.00001,0.00002,0.00002,0.00002,0.00000,0.00001,0.00000,0.00001,0.00002,0.00002,0.00000,
13                    6,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,
13                    7,0.00000,0.00002,0.00002,0.00001,0.00001,0.00011,0.00006,0.00003,0.00008,0.00005,0.00001,0.00001,0.00001,0.00002,0.00005,0.00006,0.00001,
13                    8,0.00000,0.00003,0.00003,0.00001,0.00001,0.00003,0.00001,0.00001,0.00001,0.00002,0.00000,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001,
13                    9,0.00000,0.00003,0.00001,0.00001,0.00001,0.00005,0.00003,0.00002,0.00005,0.00003,0.00000,0.00001,0.00001,0.00002,0.00003,0.00004,0.00001,
13                    10,0.00000,0.00002,0.00003,0.00001,0.00001,0.00002,0.00002,0.00001,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00007,0.00001,
13                    11,0.00000,0.00002,0.00001,0.00001,0.00001,0.00004,0.00003,0.00002,0.00003,0.00003,0.00001,0.00001,0.00001,0.00002,0.00003,0.00005,0.00001,
13                    12,0.00000,0.00003,0.00001,0.00000,0.00001,0.00004,0.00001,0.00002,0.00001,0.00002,0.00000,0.00001,0.00000,0.00001,0.00002,0.00002,0.00000,
14                    1,0.00000,0.00003,0.00003,0.00001,0.00001,0.00004,0.00001,0.00003,0.00001,0.00003,0.00001,0.00001,0.00000,0.00001,0.00003,0.00002,0.00001,
14                    2,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00001,0.00002,0.00001,0.00000,
14                    3,0.00000,0.00003,0.00002,0.00001,0.00001,0.00015,0.00011,0.00008,0.00017,0.00007,0.00003,0.00001,0.00001,0.00002,0.00009,0.00010,0.00002,
14                    4,0.00000,0.00002,0.00001,0.00002,0.00001,0.00010,0.00011,0.00005,0.00020,0.00005,0.00002,0.00001,0.00002,0.00003,0.00007,0.00005,0.00001,
14                    5,0.00000,0.00002,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00001,0.00003,0.00001,0.00001,
14                    6,0.00000,0.00002,0.00002,0.00000,0.00001,0.00002,0.00002,0.00001,0.00001,0.00002,0.00000,0.00001,0.00000,0.00001,0.00002,0.00003,0.00001,
14                    7,0.00000,0.00002,0.00001,0.00001,0.00001,0.00008,0.00005,0.00002,0.00008,0.00003,0.00001,0.00000,0.00001,0.00001,0.00004,0.00004,0.00001,
