**** Analysis Summary ****

Time of run: ,04/10/16 01:50
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGcH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
10                    9,0.00001,0.00010,0.00004,0.00006,0.00003,0.00015,0.00004,0.00005,0.00003,0.00003,0.00001,0.00001,0.00004,0.00003,0.00010,0.00007,0.00058,
11                    1,0.00002,0.00057,0.00038,0.00035,0.00013,0.00154,0.00014,0.00010,0.00016,0.00037,0.00004,0.00003,0.00017,0.00027,0.00086,0.00062,0.00126,
11                    2,0.00001,0.00017,0.00006,0.00005,0.00003,0.00021,0.00006,0.00008,0.00005,0.00014,0.00004,0.00002,0.00008,0.00007,0.00037,0.00007,0.00024,
11                    3,0.00001,0.00030,0.00015,0.00017,0.00004,0.00013,0.00008,0.00008,0.00008,0.00017,0.00002,0.00001,0.00008,0.00023,0.00052,0.00002,0.00002,
11                    4,0.00000,0.00005,0.00010,0.00004,0.00003,0.00012,0.00004,0.00002,0.00003,0.00006,0.00002,0.00001,0.00007,0.00005,0.00014,0.00005,0.00002,
11                    5,0.00001,0.00034,0.00024,0.00014,0.00005,0.00031,0.00012,0.00012,0.00008,0.00014,0.00003,0.00001,0.00010,0.00018,0.00058,0.00005,0.00045,
11                    6,0.00001,0.00035,0.00024,0.00014,0.00006,0.00023,0.00011,0.00011,0.00008,0.00016,0.00003,0.00001,0.00009,0.00022,0.00059,0.00005,0.00008,
11                    7,0.00001,0.00009,0.00005,0.00005,0.00003,0.00019,0.00003,0.00004,0.00005,0.00009,0.00001,0.00001,0.00004,0.00005,0.00016,0.00012,0.00036,
11                    8,0.00001,0.00035,0.00018,0.00015,0.00005,0.00015,0.00010,0.00013,0.00009,0.00019,0.00003,0.00001,0.00008,0.00025,0.00047,0.00002,0.00005,
11                    9,0.00001,0.00038,0.00014,0.00017,0.00006,0.00028,0.00012,0.00013,0.00010,0.00018,0.00004,0.00001,0.00009,0.00023,0.00051,0.00006,0.00059,
11                    10,0.00001,0.00032,0.00012,0.00015,0.00004,0.00013,0.00010,0.00009,0.00009,0.00017,0.00003,0.00002,0.00008,0.00022,0.00057,0.00003,0.00001,
12                    1,0.00002,0.00093,0.00041,0.00032,0.00014,0.00235,0.00023,0.00023,0.00016,0.00024,0.00002,0.00003,0.00013,0.00018,0.00060,0.00090,0.00292,
12                    2,0.00001,0.00067,0.00007,0.00020,0.00007,0.00030,0.00017,0.00021,0.00015,0.00048,0.00006,0.00003,0.00013,0.00043,0.00077,0.00006,0.00005,
12                    3,0.00000,0.00009,0.00007,0.00008,0.00004,0.00016,0.00004,0.00003,0.00004,0.00004,0.00003,0.00001,0.00005,0.00003,0.00007,0.00009,0.00045,
12                    4,0.00001,0.00044,0.00007,0.00022,0.00010,0.00046,0.00018,0.00010,0.00013,0.00035,0.00008,0.00003,0.00024,0.00038,0.00080,0.00013,0.00044,
12                    5,0.00001,0.00003,0.00006,0.00005,0.00002,0.00007,0.00002,0.00002,0.00003,0.00007,0.00002,0.00001,0.00005,0.00004,0.00011,0.00004,0.00002,
12                    6,0.00000,0.00004,0.00006,0.00004,0.00002,0.00007,0.00003,0.00002,0.00003,0.00004,0.00001,0.00001,0.00003,0.00002,0.00008,0.00004,0.00017,
12                    7,0.00001,0.00040,0.00012,0.00020,0.00007,0.00023,0.00016,0.00010,0.00012,0.00036,0.00007,0.00002,0.00014,0.00033,0.00088,0.00015,0.00002,
12                    8,0.00001,0.00006,0.00005,0.00006,0.00004,0.00015,0.00003,0.00003,0.00002,0.00004,0.00003,0.00002,0.00009,0.00002,0.00007,0.00005,0.00024,
12                    9,0.00000,0.00004,0.00004,0.00003,0.00002,0.00004,0.00001,0.00002,0.00001,0.00003,0.00001,0.00001,0.00004,0.00002,0.00005,0.00004,0.00005,
12                    10,0.00000,0.00008,0.00005,0.00007,0.00003,0.00016,0.00003,0.00004,0.00003,0.00004,0.00002,0.00001,0.00003,0.00003,0.00007,0.00006,0.00038,
12                    11,0.00001,0.00042,0.00013,0.00017,0.00006,0.00033,0.00013,0.00012,0.00010,0.00020,0.00005,0.00002,0.00013,0.00026,0.00059,0.00007,0.00039,
13                    1,0.00002,0.00057,0.00043,0.00032,0.00015,0.00193,0.00019,0.00012,0.00018,0.00040,0.00002,0.00003,0.00011,0.00026,0.00072,0.00085,0.00217,
13                    2,0.00001,0.00005,0.00012,0.00005,0.00003,0.00014,0.00004,0.00003,0.00004,0.00009,0.00003,0.00002,0.00003,0.00008,0.00025,0.00004,0.00004,
13                    3,0.00001,0.00038,0.00023,0.00019,0.00006,0.00016,0.00009,0.00012,0.00008,0.00023,0.00002,0.00002,0.00011,0.00022,0.00048,0.00006,0.00020,
13                    4,0.00001,0.00016,0.00025,0.00010,0.00006,0.00025,0.00007,0.00007,0.00003,0.00007,0.00005,0.00002,0.00017,0.00007,0.00020,0.00005,0.00019,
13                    5,0.00001,0.00045,0.00037,0.00017,0.00005,0.00023,0.00012,0.00017,0.00009,0.00017,0.00002,0.00002,0.00012,0.00017,0.00052,0.00004,0.00012,
13                    6,0.00001,0.00053,0.00039,0.00016,0.00006,0.00019,0.00012,0.00017,0.00009,0.00020,0.00003,0.00001,0.00010,0.00021,0.00053,0.00011,0.00005,
13                    7,0.00001,0.00016,0.00012,0.00007,0.00003,0.00013,0.00004,0.00006,0.00003,0.00008,0.00003,0.00002,0.00006,0.00006,0.00023,0.00005,0.00008,
13                    8,0.00001,0.00054,0.00034,0.00019,0.00007,0.00020,0.00011,0.00021,0.00011,0.00025,0.00003,0.00002,0.00015,0.00024,0.00047,0.00008,0.00008,
13                    9,0.00001,0.00056,0.00023,0.00018,0.00006,0.00020,0.00013,0.00019,0.00010,0.00022,0.00002,0.00002,0.00012,0.00022,0.00048,0.00004,0.00019,
13                    10,0.00001,0.00042,0.00021,0.00017,0.00005,0.00015,0.00011,0.00012,0.00010,0.00022,0.00002,0.00002,0.00008,0.00021,0.00051,0.00009,0.00015,
13                    11,0.00001,0.00010,0.00007,0.00004,0.00003,0.00009,0.00003,0.00005,0.00002,0.00004,0.00003,0.00001,0.00006,0.00003,0.00006,0.00006,0.00016,
13                    12,0.00001,0.00058,0.00023,0.00018,0.00006,0.00021,0.00013,0.00017,0.00011,0.00024,0.00003,0.00001,0.00010,0.00025,0.00053,0.00009,0.00009,
14                    1,0.00002,0.00110,0.00060,0.00066,0.00030,0.00205,0.00024,0.00029,0.00025,0.00078,0.00015,0.00009,0.00108,0.00057,0.00284,0.00034,0.00032,
14                    2,0.00002,0.00073,0.00024,0.00037,0.00014,0.00074,0.00025,0.00031,0.00009,0.00020,0.00012,0.00008,0.00081,0.00013,0.00127,0.00023,0.00112,
14                    3,0.00002,0.00056,0.00023,0.00032,0.00014,0.00077,0.00031,0.00015,0.00014,0.00044,0.00012,0.00006,0.00060,0.00049,0.00173,0.00009,0.00032,
14                    4,0.00001,0.00020,0.00009,0.00014,0.00006,0.00025,0.00011,0.00010,0.00004,0.00009,0.00006,0.00003,0.00028,0.00007,0.00043,0.00009,0.00032,
14                    5,0.00002,0.00053,0.00020,0.00030,0.00014,0.00093,0.00037,0.00016,0.00013,0.00036,0.00013,0.00005,0.00062,0.00040,0.00160,0.00020,0.00154,
14                    6,0.00002,0.00050,0.00018,0.00033,0.00016,0.00087,0.00033,0.00016,0.00013,0.00041,0.00014,0.00006,0.00071,0.00047,0.00176,0.00019,0.00067,
14                    7,0.00002,0.00029,0.00023,0.00024,0.00011,0.00067,0.00018,0.00013,0.00007,0.00012,0.00007,0.00005,0.00051,0.00011,0.00039,0.00023,0.00136,
14                    8,0.00001,0.00039,0.00010,0.00028,0.00012,0.00068,0.00030,0.00011,0.00015,0.00045,0.00011,0.00004,0.00047,0.00052,0.00155,0.00013,0.00055,
14                    9,0.00001,0.00045,0.00024,0.00036,0.00014,0.00101,0.00038,0.00013,0.00015,0.00045,0.00014,0.00005,0.00060,0.00049,0.00153,0.00022,0.00180,
14                    10,0.00002,0.00056,0.00022,0.00035,0.00016,0.00081,0.00036,0.00018,0.00016,0.00047,0.00013,0.00006,0.00071,0.00049,0.00190,0.00013,0.00038,
14                    11,0.00001,0.00029,0.00026,0.00023,0.00011,0.00051,0.00018,0.00015,0.00007,0.00017,0.00008,0.00005,0.00052,0.00014,0.00075,0.00011,0.00037,
14                    12,0.00002,0.00057,0.00020,0.00045,0.00019,0.00120,0.00040,0.00018,0.00016,0.00052,0.00017,0.00007,0.00085,0.00056,0.00188,0.00025,0.00142,
14                    13,0.00002,0.00057,0.00049,0.00035,0.00017,0.00087,0.00025,0.00026,0.00008,0.00023,0.00012,0.00007,0.00081,0.00019,0.00100,0.00018,0.00091,
15                    1,0.00001,0.00082,0.00041,0.00026,0.00012,0.00194,0.00015,0.00018,0.00014,0.00026,0.00001,0.00003,0.00011,0.00017,0.00060,0.00071,0.00175,
15                    2,0.00001,0.00047,0.00008,0.00015,0.00006,0.00020,0.00012,0.00015,0.00011,0.00033,0.00005,0.00002,0.00009,0.00028,0.00050,0.00007,0.00010,
15                    3,0.00001,0.00008,0.00008,0.00006,0.00003,0.00007,0.00003,0.00002,0.00003,0.00004,0.00002,0.00001,0.00004,0.00004,0.00007,0.00005,0.00010,
15                    4,0.00001,0.00026,0.00004,0.00016,0.00008,0.00024,0.00012,0.00007,0.00009,0.00023,0.00007,0.00002,0.00018,0.00024,0.00047,0.00010,0.00009,
15                    5,0.00001,0.00004,0.00006,0.00005,0.00003,0.00007,0.00002,0.00002,0.00002,0.00004,0.00002,0.00001,0.00005,0.00002,0.00008,0.00005,0.00023,
15                    6,0.00001,0.00005,0.00005,0.00002,0.00002,0.00003,0.00002,0.00003,0.00001,0.00002,0.00001,0.00001,0.00002,0.00002,0.00008,0.00001,0.00001,
15                    7,0.00001,0.00023,0.00013,0.00015,0.00006,0.00015,0.00011,0.00006,0.00009,0.00024,0.00005,0.00001,0.00010,0.00021,0.00056,0.00016,0.00018,
15                    8,0.00001,0.00006,0.00002,0.00005,0.00003,0.00006,0.00002,0.00004,0.00002,0.00004,0.00002,0.00002,0.00007,0.00004,0.00005,0.00002,0.00002,
15                    9,0.00001,0.00005,0.00006,0.00004,0.00003,0.00007,0.00004,0.00003,0.00002,0.00003,0.00001,0.00002,0.00005,0.00003,0.00005,0.00006,0.00033,
15                    10,0.00000,0.00008,0.00006,0.00004,0.00002,0.00007,0.00001,0.00003,0.00002,0.00004,0.00002,0.00001,0.00001,0.00004,0.00009,0.00002,0.00007,
15                    11,0.00001,0.00025,0.00014,0.00011,0.00005,0.00017,0.00009,0.00008,0.00007,0.00012,0.00004,0.00001,0.00007,0.00016,0.00034,0.00004,0.00007,
15                    12,0.00001,0.00006,0.00004,0.00004,0.00002,0.00008,0.00004,0.00003,0.00002,0.00005,0.00001,0.00001,0.00002,0.00003,0.00009,0.00004,0.00018,
15                    13,0.00001,0.00039,0.00028,0.00012,0.00005,0.00014,0.00009,0.00012,0.00008,0.00016,0.00002,0.00001,0.00006,0.00015,0.00032,0.00008,0.00005,
15                    14,0.00002,0.00042,0.00013,0.00036,0.00017,0.00081,0.00031,0.00016,0.00011,0.00036,0.00015,0.00007,0.00076,0.00039,0.00140,0.00017,0.00065,
16                    1,0.00002,0.00056,0.00042,0.00029,0.00012,0.00173,0.00012,0.00011,0.00017,0.00043,0.00004,0.00004,0.00014,0.00030,0.00090,0.00069,0.00122,
