**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Fe,  0.00382,  0.00184,  0.00404,  0.01312,  0.02071,  0.02539,  0.01300,  0.00824,  0.63368,  2.15775
Zn,  0.00323,  0.00286,  0.00333,  0.00377,  0.00411,  0.00443,  0.00373,  0.00044,  0.11765,  0.13588
Br,  0.01684,  0.01211,  0.01413,  0.01516,  0.01681,  0.01994,  0.01560,  0.00218,  0.13969,  0.12941
Pb,  0.00184,  0.00171,  0.00198,  0.00218,  0.00247,  0.00266,  0.00220,  0.00028,  0.12826,  0.15274
BC,  0.18499,  0.18499,  0.24745,  0.31506,  0.34377,  0.40621,  0.29743,  0.06095,  0.20491,  0.32947

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  6.08030,  4.81300,  5.25525,  5.88740,  6.09605,  6.56210,  5.73794,  0.52330,  0.09120,  0.08606
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00090,  0.00005,  0.00020,  4.36001, 58.16910
Mg,  0.06730,  0.05374,  0.06466,  0.06713,  0.06741,  0.06866,  0.06515,  0.00425,  0.06516,  0.06309
Al,  0.40566,  0.30545,  0.39358,  0.41745,  0.45070,  0.46307,  0.41201,  0.04650,  0.11287,  0.11463
Si,  0.81838,  0.61647,  0.79544,  0.84396,  0.90870,  0.93509,  0.83188,  0.09388,  0.11286,  0.11472
P,  0.00147,  0.00042,  0.00150,  0.00214,  0.00292,  0.00310,  0.00211,  0.00084,  0.40068,  0.57451
S,  0.05618,  0.04728,  0.05549,  0.05716,  0.06542,  0.07150,  0.05978,  0.00667,  0.11153,  0.11866
Cl,  0.05447,  0.03979,  0.04805,  0.05225,  0.05441,  0.05787,  0.05129,  0.00484,  0.09438,  0.08886
K,  0.14252,  0.09361,  0.11211,  0.13871,  0.14767,  0.15241,  0.13036,  0.02015,  0.15454,  0.14136
Ca,  0.04198,  0.00000,  0.04278,  0.06919,  0.10855,  0.12143,  0.06914,  0.03959,  0.57262,  0.94311
Ti,  0.02111,  0.01455,  0.02065,  0.02283,  0.02624,  0.02724,  0.02257,  0.00386,  0.17077,  0.18260
V,  0.00024,  0.00013,  0.00024,  0.00030,  0.00041,  0.00045,  0.00031,  0.00010,  0.33253,  0.42163
Mn,  0.00365,  0.00305,  0.00348,  0.00362,  0.00374,  0.00398,  0.00357,  0.00023,  0.06557,  0.06426
Fe,  0.16571,  0.11069,  0.16312,  0.18268,  0.21578,  0.22453,  0.18176,  0.03545,  0.19502,  0.21391
Zn,  0.00000,  0.00000,  0.00000,  0.00003,  0.00077,  0.00194,  0.00044,  0.00065,  1.47626,6650.50438
Br,  0.00208,  0.00000,  0.00002,  0.00087,  0.00178,  0.00208,  0.00093,  0.00083,  0.89525,  0.40188
Pb,  0.00060,  0.00003,  0.00029,  0.00055,  0.00081,  0.00114,  0.00055,  0.00030,  0.54798,  0.50689
BC,  0.19699,  0.00000,  0.06810,  0.18816,  0.22707,  0.31582,  0.16000,  0.10189,  0.63679,  0.51723

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.12236,  4.49488,  8.13069, 10.08809, 10.86415, 13.55653,  9.48374,  2.25666,  0.23795,  0.22294
Na, 52.42338, 46.62685, 48.16897, 50.78745, 52.23458, 53.26333, 50.21601,  2.19910,  0.04379,  0.04195
