**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 17

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ca,  0.08745,  0.00399,  0.02748,  0.08785,  0.08830,  0.08872,  0.06752,  0.03640,  0.53911,  0.41623
Ti,  0.00538,  0.00028,  0.00166,  0.00540,  0.00541,  0.00544,  0.00414,  0.00224,  0.54204,  0.41701
V,  0.00015,  0.00003,  0.00006,  0.00015,  0.00015,  0.00015,  0.00012,  0.00005,  0.44423,  0.35728
Mn,  0.00119,  0.00086,  0.00095,  0.00119,  0.00119,  0.00120,  0.00111,  0.00014,  0.12855,  0.11974
Fe,  0.03166,  0.00860,  0.01460,  0.03164,  0.03169,  0.03234,  0.02594,  0.01016,  0.39162,  0.32095
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br,  0.00499,  0.00398,  0.00425,  0.00499,  0.00499,  0.00500,  0.00474,  0.00044,  0.09310,  0.08846
Pb,  0.00175,  0.00148,  0.00156,  0.00175,  0.00175,  0.00176,  0.00169,  0.00012,  0.07017,  0.06749

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.20130,  6.56640,  7.03838,  7.21030,  7.93628,  8.41650,  7.36836,  0.54932,  0.07455,  0.07628
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.08169,  0.07653,  0.07988,  0.08238,  0.09396,  0.09801,  0.08523,  0.00731,  0.08573,  0.08944
Al,  0.54783,  0.50322,  0.53525,  0.54862,  0.59693,  0.62015,  0.55829,  0.03511,  0.06289,  0.06409
Si,  1.20040,  1.09890,  1.17225,  1.20200,  1.30815,  1.36810,  1.22314,  0.07980,  0.06524,  0.06648
P,  0.00085,  0.00000,  0.00000,  0.00072,  0.00101,  0.00118,  0.00056,  0.00047,  0.85033,  0.55745
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.01169,  0.02186,  0.00460,  0.00829,  1.80281,  0.00000
Cl,  0.13920,  0.12541,  0.13380,  0.13666,  0.13935,  0.14742,  0.13633,  0.00534,  0.03920,  0.03839
K,  0.05487,  0.05062,  0.05360,  0.05496,  0.07852,  0.09652,  0.06326,  0.01618,  0.25578,  0.29489
Ca,  0.26765,  0.23991,  0.25637,  0.26417,  0.27086,  0.28306,  0.26371,  0.01126,  0.04271,  0.04208
Ti,  0.03920,  0.03577,  0.03832,  0.03925,  0.04190,  0.04346,  0.03963,  0.00222,  0.05614,  0.05675
V,  0.00069,  0.00063,  0.00067,  0.00069,  0.00073,  0.00074,  0.00069,  0.00003,  0.04851,  0.04882
Mn,  0.00497,  0.00456,  0.00485,  0.00497,  0.00547,  0.00573,  0.00508,  0.00035,  0.06982,  0.07145
Fe,  0.35213,  0.31811,  0.34071,  0.35247,  0.37857,  0.40253,  0.35662,  0.02383,  0.06682,  0.06768
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00050,  0.00044,  0.00047,  0.00050,  0.00053,  0.00058,  0.00050,  0.00004,  0.07626,  0.07676

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 17.52862, 11.28714, 13.97158, 17.49090, 18.17809, 20.05875, 16.59633,  2.62314,  0.15806,  0.14965
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  7.77686,  0.70101,  2.17196,  3.09832,  0.00000
Mg,  3.62007,  0.00000,  0.09256,  3.27825,  4.60918,  6.45403,  2.87065,  2.17650,  0.75819,  0.60123
Al, 22.46980, 11.01311, 16.39111, 22.39460, 23.58096, 26.42408, 20.71515,  4.52034,  0.21821,  0.20117
Si, 23.88269, 13.10047, 18.31015, 23.81849, 24.94683, 27.69858, 22.29456,  4.25184,  0.19071,  0.17803
P, 93.83800, 91.44886, 92.69201, 94.75425, 99.99993,100.00000, 95.95762,  3.43858,  0.03583,  0.03664
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.85168,  4.57811,  0.75642,  1.54912,  2.04796,  0.00000
Cl,  7.31400,  5.34132,  7.00200,  7.42205,  7.76714, 10.10435,  7.37180,  1.13273,  0.15366,  0.15487
K,  7.20180,  2.91157,  6.97551,  7.45485,  8.44144,  9.28792,  7.22953,  1.60114,  0.22147,  0.22233
Ca, 27.13651, 19.95591, 22.67482, 27.10610, 28.33579, 30.12780, 26.04517,  3.21263,  0.12335,  0.11839
Ti, 25.01991, 14.73530, 19.46371, 24.96062, 25.96732, 28.70654, 23.47349,  4.14486,  0.17658,  0.16566
V, 25.33281, 12.19038, 17.34950, 25.25957, 26.38518, 29.26314, 23.03210,  5.41734,  0.23521,  0.21385
Mn, 20.51106, 10.44534, 15.33543, 20.44591, 21.51979, 23.98984, 19.00809,  3.93616,  0.20708,  0.19190
Fe, 28.90113, 19.88299, 24.66537, 28.86373, 30.08406, 32.46007, 27.77265,  3.58147,  0.12896,  0.12392
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br,  0.06540,  0.00000,  0.00000,  0.00000,  0.00000,  0.06540,  0.00363,  0.01463,  4.02958,  0.22363
Pb, 14.99391, 10.51394, 13.14830, 14.98684, 15.72812, 16.36805, 14.44231,  1.68607,  0.11674,  0.11245

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 14.29347, 14.04388, 14.18656, 14.41178, 18.17636, 19.97137, 15.66911,  2.40738,  0.15364,  0.16843
Na, 85.57737, 83.45335, 85.54522, 85.58370, 85.59449, 85.97722, 85.43486,  0.61894,  0.00724,  0.00723
Mg, 34.57015, 34.17659, 34.40224, 34.79998, 41.40436, 44.06204, 36.94102,  4.09322,  0.11080,  0.11840
Al,  0.67652,  0.24010,  0.50397,  0.90422,  8.53193, 11.05987,  3.30817,  4.56206,  1.37903,  6.74343
Si,  2.28772,  1.88616,  2.12836,  2.49500,  9.42773, 11.78737,  4.68702,  4.16207,  0.88800,  1.81931
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S, 17.02908, 11.91353, 13.54850, 16.94685, 17.09214, 17.20709, 15.81904,  2.11091,  0.13344,  0.12396
Cl, 58.30146, 58.17791, 58.23379, 58.35397, 58.67384, 60.60950, 58.70130,  0.82478,  0.01405,  0.01415
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Ca, 10.58304, 10.27918, 10.45257, 10.71645, 15.49559, 17.64400, 12.29993,  3.01363,  0.24501,  0.28476
Ti,  2.52699,  2.13525,  2.36908,  2.72067,  9.45675, 11.82849,  4.86296,  4.06242,  0.83538,  1.60761
V,  4.91315,  4.46225,  4.73577,  5.15338, 12.31147, 14.82031,  7.41590,  4.32648,  0.58341,  0.88059
Mn,  2.21297,  1.84557,  2.06691,  2.40452,  8.71727, 10.85520,  4.39807,  3.78800,  0.86129,  1.71172
