**** Analysis Summary ****

Time of run: ,04/10/16 01:52
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
9                    5,0.00001,0.00009,0.00053,0.00006,0.00004,0.00022,0.00005,0.00007,0.00009,0.00017,0.00002,0.00001,0.00003,0.00003,0.00070,0.00008,0.00018,
9                    6,0.00450,0.06545,0.45641,0.07007,0.02559,0.62046,0.39378,0.03136,0.31859,0.53231,0.06831,0.11714,0.03465,0.16472,0.60897,1.83503,0.09832,
9                    7,0.00001,0.00014,0.00131,0.00011,0.00007,0.00020,0.00011,0.00006,0.00015,0.00017,0.00004,0.00001,0.00006,0.00004,0.00078,0.00012,0.00032,
9                    8,0.00001,0.00004,0.00012,0.00002,0.00002,0.00009,0.00009,0.00003,0.00008,0.00011,0.00007,0.00002,0.00002,0.00008,0.00022,0.00016,0.00004,
10                    1,0.00011,0.00240,0.02300,0.00344,0.00247,0.01989,0.01276,0.00126,0.00686,0.01922,0.00333,0.00201,0.00239,0.00868,0.01428,0.06240,0.00397,
10                    2,0.00434,0.06637,0.47644,0.07312,0.02632,0.64633,0.40426,0.03247,0.32576,0.55707,0.07148,0.12598,0.03522,0.17081,0.62018,1.90785,0.09838,
10                    3,0.00443,0.06726,0.45187,0.07301,0.02622,0.63293,0.39900,0.03149,0.31922,0.54204,0.06980,0.12590,0.03498,0.16839,0.61413,1.88530,0.10483,
10                    4,0.00439,0.06689,0.48599,0.07349,0.02629,0.65148,0.40759,0.03210,0.32687,0.55482,0.07211,0.12669,0.03491,0.17158,0.62171,1.90523,0.09840,
10                    5,0.00454,0.06764,0.46869,0.07380,0.02597,0.65176,0.40140,0.03148,0.31923,0.54328,0.07085,0.12650,0.03522,0.17135,0.62574,1.89209,0.10440,
10                    6,0.00001,0.00005,0.00039,0.00005,0.00006,0.00039,0.00020,0.00004,0.00018,0.00031,0.00007,0.00021,0.00008,0.00014,0.00035,0.00082,0.00006,
10                    7,0.00444,0.06742,0.44711,0.07342,0.02606,0.63898,0.39841,0.03154,0.31682,0.54085,0.06959,0.12617,0.03540,0.16963,0.62066,1.88454,0.10667,
