**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
S, 17.18828, 15.53510, 16.47396, 18.44024, 20.83941, 28.31555, 19.10184,  3.36152,  0.17598,  0.19557
Cl, 14.99980,  7.05512, 10.61433, 12.25963, 14.33194, 18.10800, 12.39077,  2.72532,  0.21995,  0.18169
K, 17.51559,  6.39149,  9.15485, 12.10839, 15.65097, 21.43152, 12.53082,  3.92640,  0.31334,  0.22417
Ca, 17.03347,  2.07325,  4.83961,  9.47635, 13.56057, 17.32152,  9.54498,  5.07918,  0.53213,  0.29819
Ti, 15.85170,  0.87059,  3.06993,  8.29508, 12.60332, 15.88632,  8.26809,  5.16332,  0.62449,  0.32573
V, 16.54557,  2.68069,  5.09954,  9.50966, 13.62706, 17.68164,  9.72817,  4.75839,  0.48914,  0.28759
Mn, 16.65971,  0.09675,  2.76590,  8.59245, 13.04581, 16.72777,  8.40824,  5.58011,  0.66365,  0.33495
Fe, 15.91897,  1.20228,  3.37092,  8.48380, 12.82121, 16.17103,  8.49741,  5.10277,  0.60051,  0.32055
Zn, 13.73610,  5.71755,  8.79427,  9.77781, 13.31790, 18.32775, 10.66420,  2.99159,  0.28053,  0.21779
Br, 68.35365, 60.53603, 63.01053, 66.49546, 71.24044,100.00000, 68.51729,  8.57465,  0.12515,  0.12545
Pb, 18.29035, 10.73599, 13.78963, 14.67620, 17.84802, 25.35294, 15.71354,  3.11123,  0.19800,  0.17010

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.78417,  8.78417, 13.90295, 22.33455, 28.24927, 31.34728, 21.03900,  7.52950,  0.35788,  0.85717
Na, 12.57068,  0.00000,  0.00000,  0.00000,  7.54676, 15.44045,  3.26120,  5.87059,  1.80013,  0.46701
Mg,  0.00000,  0.00000,  0.00000,  4.30172, 11.35909, 14.61141,  5.39940,  5.70478,  1.05656,  0.00000
Al,  7.75654,  7.75654, 11.40140, 17.15322, 23.39394, 26.29717, 17.25498,  6.20866,  0.35982,  0.80044
Si,  5.40093,  5.40093,  8.39931, 13.87853, 21.40654, 24.53100, 14.77862,  6.52440,  0.44148,  1.20801
P, 48.04065, 48.04065, 62.11725, 69.72615, 70.68172, 91.01163, 67.88105, 10.37075,  0.15278,  0.21587
S, 38.87737, 38.56975, 39.14611, 41.11626, 47.97445, 53.44313, 43.15348,  5.03793,  0.11674,  0.12959
Cl,  9.73433,  4.27232,  5.81179,  9.51014, 10.36457, 11.98709,  8.41617,  2.40968,  0.28632,  0.24754
K, 17.99717, 17.99717, 24.98307, 30.09916, 34.01453, 35.81054, 29.22337,  5.84838,  0.20013,  0.32496
Ca,  5.23730,  5.23730,  8.50051, 15.12937, 22.62620, 25.83636, 15.49618,  7.00963,  0.45235,  1.33841
Ti,  6.72115,  6.72115, 11.20280, 19.61077, 26.53245, 29.78960, 18.84672,  7.77607,  0.41260,  1.15696
V,  9.70509,  9.70509, 14.54526, 22.45767, 27.87752, 30.80784, 21.23180,  7.00453,  0.32991,  0.72174
Mn,  4.53247,  4.53247,  8.85326, 17.23291, 25.19196, 28.69143, 16.88755,  8.23352,  0.48755,  1.81657
Fe,  8.13722,  8.13722, 13.20099, 22.09817, 28.29485, 31.47579, 20.73669,  7.82002,  0.37711,  0.96102
Zn, 25.99389, 25.99389, 35.21394, 39.09207, 43.12066, 47.40147, 38.41686,  6.05338,  0.15757,  0.23288
Br, 31.64632,  0.00000,  0.00001,  9.59099, 31.88249, 39.17022, 15.00665, 15.76739,  1.05069,  0.49824
Pb, 26.93018, 26.93018, 35.02142, 36.31353, 39.49853, 43.60731, 36.54907,  4.62710,  0.12660,  0.17182

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  6.49703,  1.91501,  2.59036,  7.06113, 10.11757, 23.76473,  7.59420,  5.41487,  0.71303,  0.83344
Na, 87.42932, 84.55955, 88.86814, 96.11474,100.00000,100.00000, 94.28312,  6.08689,  0.06456,  0.06962
Mg, 14.31961,  6.88391,  9.14428, 15.57152, 22.93940, 32.29692, 16.79160,  7.75583,  0.46189,  0.54162
Al, 12.13687,  7.57666,  9.09187, 12.73572, 16.99473, 29.03834, 13.85609,  5.50108,  0.39702,  0.45325
Si, 10.63770,  5.22363,  6.43839, 11.44795, 16.10719, 28.14969, 12.33263,  6.16703,  0.50006,  0.57973
P, 17.37560,  0.12240,  7.87876, 18.88941, 28.45668, 30.07254, 17.55336, 11.07901,  0.63116,  0.63762
S, 29.15481, 19.05974, 26.81620, 32.48363, 38.36140, 44.48475, 32.36200,  7.03381,  0.21735,  0.24126
Cl, 43.33124, 40.94692, 43.16888, 47.59005, 52.03586, 57.38644, 47.72136,  5.00010,  0.10478,  0.11539
K,  8.81803,  6.87245,  8.23322,  8.90848, 11.22685, 23.01447, 10.19938,  3.64852,  0.35772,  0.41376
Ca, 10.53848,  5.15659,  6.08546, 11.33376, 15.75425, 28.39735, 12.07086,  6.19868,  0.51352,  0.58819
Ti,  7.89084,  2.84399,  3.33717,  8.57792, 11.85361, 25.81220,  9.03298,  5.88864,  0.65190,  0.74626
V,  8.64119,  4.43735,  5.54453,  9.11165, 12.51082, 25.47686,  9.92329,  5.12728,  0.51669,  0.59335
Mn,  5.78712,  0.00000,  0.00002,  6.67588, 10.25528, 24.35986,  6.82917,  6.52830,  0.95594,  1.12807
Fe,  6.75881,  2.03358,  2.55014,  7.29996, 10.40007, 24.35495,  7.79626,  5.57366,  0.71491,  0.82465
Zn, 12.71331,  7.36885, 11.16182, 13.58581, 16.10386, 25.04737, 14.00516,  4.14857,  0.29622,  0.32632
Br,  0.00000,  0.00000,  0.00000,  4.72859, 11.51130, 20.62326,  6.28259,  6.77566,  1.07848,294634392.07185
Pb, 12.65818,  7.85277, 11.21713, 13.90161, 16.32990, 23.74064, 14.46125,  3.86552,  0.26730,  0.30538

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 68.03843, 56.05128, 59.84112, 61.52378, 64.15599, 68.23718, 61.95388,  3.46212,  0.05588,  0.05088
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 63.70768, 56.37071, 60.51195, 63.76626, 66.33443, 70.58397, 63.62601,  4.08597,  0.06422,  0.06414
Al, 62.69535, 52.56468, 56.71130, 58.20770, 61.00634, 62.86524, 58.21228,  2.95918,  0.05083,  0.04720
Si, 65.58062, 56.04206, 60.39399, 61.82774, 64.73959, 65.92810, 61.85932,  2.99687,  0.04845,  0.04570
P, 33.96782,  0.00000,  0.04341,  4.90820, 30.13134, 34.30717, 12.68238, 14.50335,  1.14358,  0.42697
S, 14.77954,  0.00000,  0.11227,  1.86779, 12.95156, 14.95878,  5.38268,  6.26199,  1.16336,  0.42369
Cl, 31.93462, 27.78484, 29.83556, 31.82731, 32.71302, 35.18832, 31.47169,  2.14234,  0.06807,  0.06709
K, 55.66921, 42.18794, 44.92876, 47.28369, 51.54150, 55.87503, 48.04643,  4.26340,  0.08873,  0.07658
Ca, 67.19075, 57.16494, 61.45093, 62.80011, 65.61786, 67.36302, 62.88798,  3.00109,  0.04772,  0.04467
Ti, 69.53631, 58.07834, 61.81273, 63.73505, 66.06489, 69.72907, 63.85221,  3.29848,  0.05166,  0.04744
V, 65.10815, 53.34925, 57.11579, 58.60661, 61.25883, 65.30189, 59.11673,  3.40226,  0.05755,  0.05226
Mn, 73.02070, 61.91279, 66.22880, 67.83480, 70.73442, 73.21103, 67.87504,  3.24103,  0.04775,  0.04439
Fe, 69.18500, 57.13480, 60.78235, 62.48446, 65.14102, 69.38459, 62.96964,  3.48991,  0.05542,  0.05044
Zn, 47.55670, 30.05232, 31.83522, 34.00065, 43.60326, 47.78778, 36.91379,  6.30015,  0.17067,  0.13248
Br,  0.00002,  0.00000,  0.00001,  7.98072, 19.08774, 26.01841, 10.19347, 10.42078,  1.02230,439895.05119
Pb, 42.12129, 27.24778, 29.08346, 31.79725, 38.64712, 42.32891, 33.27614,  5.23353,  0.15728,  0.12425

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.06554,  0.49503,  0.07447,  0.15785,  2.11962,  0.00000
Mg,  0.95441,  0.91907,  0.97006,  1.08379,  1.27342,  2.25475,  1.27889,  0.44878,  0.35091,  0.47022
Al,  5.07656,  5.07656,  5.14373,  5.42857,  6.24953,  9.38697,  6.09735,  1.41083,  0.23138,  0.27791
Si, 13.66521, 13.39706, 13.75505, 14.44548, 15.76709, 22.32793, 15.73564,  2.94045,  0.18687,  0.21518
P,  0.00097,  0.00000,  0.00003,  0.00091,  0.01214,  0.06178,  0.00873,  0.01620,  1.85595, 16.71580
S,  0.52731,  0.51417,  0.78301,  0.94165,  2.48192,  5.31648,  1.64269,  1.43191,  0.87168,  2.71551
Cl,  0.75536,  0.75536,  0.84083,  1.05277,  1.69817,  4.53018,  1.57106,  1.17085,  0.74526,  1.55006
K,  1.62768,  1.61507,  1.85449,  1.96747,  3.38430,  5.55173,  2.56799,  1.18617,  0.46191,  0.72875
Ca,  2.51153,  2.05996,  2.44857,  2.49962,  2.51738,  2.89872,  2.50385,  0.16630,  0.06642,  0.06621
Ti,  0.35390,  0.13559,  0.25434,  0.33134,  0.33945,  0.35460,  0.29685,  0.07024,  0.23662,  0.19848
