**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
V, 44.47445,  0.00000,  0.00100,  2.20216, 29.80616, 46.86768, 12.15981, 17.10081,  1.40634,  0.38451
Mn, 24.55400, 13.08801, 16.55721, 20.67868, 24.55629, 30.31289, 20.82329,  4.84409,  0.23263,  0.19728
Fe, 36.54872,  6.16937,  8.44691, 10.95323, 25.83258, 36.66877, 16.44117, 10.24359,  0.62305,  0.28027
Zn,  8.15765,  4.85447,  8.54590, 25.35879, 34.03232, 60.50494, 23.94773, 14.59451,  0.60943,  1.78906
Br,  0.06075,  0.00000,  0.00000,  1.42226,  5.84862, 22.33115,  4.35448,  6.22780,  1.43021,102.52124
Pb,  0.00000,  0.00000,  0.00000, 27.45922, 30.25119, 40.42719, 20.77475, 14.94433,  0.71935,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 20.97639, 15.84878, 21.35404, 26.36062, 27.07905, 32.21399, 25.07431,  4.10594,  0.16375,  0.19574
Na,  2.81346,  0.00000,  0.00714,  1.89284,  6.73163, 18.29826,  4.40834,  6.10200,  1.38420,  2.16886
Mg,  0.00000,  0.00000,  0.25856, 13.62935, 20.48745, 28.81738, 11.76372, 10.00876,  0.85082,  0.00000
Al, 15.67121, 12.47697, 19.14854, 22.57442, 27.99548, 32.70406, 23.29674,  5.65687,  0.24282,  0.36097
Si, 18.39981, 15.53464, 22.15188, 24.64825, 30.68284, 33.97523, 25.68955,  5.35462,  0.20844,  0.29101
P, 49.38250, 38.60758, 46.48507, 50.25144, 54.31974, 63.73923, 51.11661,  6.38618,  0.12493,  0.12932
S,  8.80274,  4.34731,  8.72883, 11.60297, 13.21297, 27.97725, 11.67781,  5.16664,  0.44243,  0.58694
Cl, 10.03642,  0.00000,  2.90864, 10.37652, 13.11466, 20.24319,  8.67772,  6.05958,  0.69829,  0.60376
K, 12.38675,  9.39050, 13.36908, 21.07258, 23.60413, 30.09805, 19.57183,  6.41215,  0.32762,  0.51766
