**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Br,  0.00000,  0.00000,  0.00000,  0.00000, 10.43002, 31.99296,  6.42881, 11.45546,  1.78190,  0.00000
Pb, 15.57539, 12.46553, 14.62246, 15.68846, 18.05878, 23.59781, 16.56971,  3.00374,  0.18128,  0.19285
BC,  9.12428,  0.46883,  4.15532,  7.77330,  9.09411, 12.98231,  7.07028,  3.32926,  0.47088,  0.36488

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.87449,  6.13326,  8.22902, 11.83457, 18.08905, 21.68786, 13.10194,  5.15766,  0.39366,  0.65498
Na, 56.56715, 44.18427, 55.81461, 57.67982, 59.57372, 62.40938, 57.10307,  4.14511,  0.07259,  0.07328
Mg,  5.85152,  4.78110,  5.04005,  6.56396, 12.52149, 15.51427,  8.50780,  3.89914,  0.45830,  0.66635
Al,  8.14378,  7.37680,  8.07468,  9.67638, 16.28883, 19.50849, 11.81236,  4.41210,  0.37352,  0.54178
Si,  5.29656,  5.08281,  5.25121,  7.03239, 14.11282, 17.28383,  9.37115,  4.67007,  0.49835,  0.88172
P, 54.73299, 45.69952, 56.51144, 60.80380, 65.94894, 74.78806, 61.44455,  6.61981,  0.10774,  0.12095
S, 68.56787, 52.98373, 67.73231, 68.88361, 70.92759, 74.23159, 68.19428,  4.84646,  0.07107,  0.07068
Cl, 15.21728,  0.00000,  0.54446,  6.03831, 13.45406, 16.03901,  6.70657,  6.26371,  0.93397,  0.41162
K, 23.51679, 17.20428, 25.11974, 29.33875, 34.37942, 38.06963, 29.23684,  5.67699,  0.19417,  0.24140
Ca,  0.50116,  0.00000,  0.00524,  1.82937,  8.53861, 11.51445,  3.96743,  4.44293,  1.11985,  8.86530
Ti,  2.11243,  1.76782,  2.35111,  4.46612, 11.88108, 15.17280,  6.79699,  5.02610,  0.73946,  2.37930
V, 12.01898, 10.49679, 12.60866, 15.56860, 22.21038, 26.39847, 17.14667,  5.14541,  0.30008,  0.42811
Mn,  0.42715,  0.00000,  0.93309,  3.54070, 11.11423, 14.79125,  5.73460,  5.36312,  0.93522, 12.55553
Fe,  1.85856,  1.50604,  2.18044,  4.63356, 12.00314, 15.44978,  6.82020,  5.15138,  0.75531,  2.77171
Zn, 32.26512, 24.89306, 34.23395, 37.86710, 42.92275, 47.54057, 37.98420,  5.76384,  0.15174,  0.17864
Br, 32.93353,  0.00000, 13.32724, 31.24667, 35.37677, 38.23903, 24.96226, 13.66644,  0.54748,  0.41497
Pb, 37.13455, 27.10793, 37.53882, 38.77858, 42.19500, 43.69335, 38.81478,  4.09325,  0.10546,  0.11023
BC, 73.10085, 56.70232, 72.78130, 74.35426, 76.90179, 79.33582, 73.44848,  5.29731,  0.07212,  0.07247

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.03059,  0.01809,  0.01952,  0.02608,  0.03141,  0.03567,  0.02623,  0.00617,  0.23531,  0.20178
Mg,  0.63329,  0.63058,  0.63357,  0.63974,  0.66420,  0.73486,  0.64930,  0.02542,  0.03915,  0.04014
Al,  4.42715,  4.41312,  4.42708,  4.43031,  4.54156,  4.82086,  4.48221,  0.10315,  0.02301,  0.02330
Si, 11.78874, 11.75415, 11.78278, 11.85471, 12.12164, 12.76600, 11.94856,  0.24978,  0.02090,  0.02119
P,  0.01860,  0.01041,  0.01498,  0.01706,  0.01846,  0.01993,  0.01652,  0.00246,  0.14883,  0.13221
S,  0.10536,  0.00077,  0.01200,  0.06493,  0.11208,  0.14739,  0.06723,  0.05179,  0.77039,  0.49157
Cl,  0.00000,  0.00000,  0.00000,  0.00196,  0.10257,  0.36552,  0.05068,  0.09379,  1.85064,1805003720.95934
K,  1.72239,  1.48529,  1.63076,  1.66707,  1.72010,  1.75188,  1.66852,  0.06497,  0.03894,  0.03772
Ca,  1.77124,  1.75540,  1.77287,  1.80296,  1.85766,  2.02095,  1.81708,  0.06293,  0.03463,  0.03553
Ti,  0.34723,  0.34527,  0.34713,  0.35088,  0.35635,  0.37075,  0.35189,  0.00611,  0.01736,  0.01759
V,  0.00567,  0.00556,  0.00560,  0.00564,  0.00567,  0.00572,  0.00564,  0.00005,  0.00839,  0.00835
Mn,  0.06180,  0.06139,  0.06181,  0.06253,  0.06301,  0.06462,  0.06248,  0.00081,  0.01299,  0.01313
Fe,  3.18284,  3.16471,  3.18291,  3.21624,  3.25087,  3.35494,  3.21954,  0.04593,  0.01427,  0.01443
Zn,  0.02972,  0.02373,  0.02727,  0.02844,  0.02963,  0.03061,  0.02826,  0.00173,  0.06116,  0.05815
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00016,  0.00568,  0.00078,  0.00169,  2.16741,  0.00000
Pb,  0.00870,  0.00758,  0.00776,  0.00827,  0.00877,  0.00916,  0.00833,  0.00054,  0.06437,  0.06166
BC,  0.37674,  0.00000,  0.00001,  0.22233,  0.40092,  0.52624,  0.22485,  0.19293,  0.85803,  0.51210

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.06634,  0.06523,  0.08167,  0.12883,  0.31794,  0.51053,  0.19700,  0.15464,  0.78494,  2.33096
Mg,  0.68627,  0.50150,  0.68445,  0.79064,  0.86346,  1.15962,  0.79074,  0.15146,  0.19154,  0.22070
Al,  3.89709,  2.88828,  3.80693,  4.22293,  4.53690,  4.67368,  4.09058,  0.51816,  0.12667,  0.13296
Si,  9.96839,  4.86620,  7.92873,  9.96329, 11.13229, 11.46859,  9.29043,  2.07702,  0.22357,  0.20836
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.06405,  0.01066,  0.02227,  2.08983,  0.00000
S,  0.47599,  0.46686,  0.58897,  1.02731,  2.66517,  4.30485,  1.59934,  1.34392,  0.84030,  2.82341
Cl,  0.16716,  0.00000,  0.17280,  0.71129,  1.05244,  2.46668,  0.77598,  0.66207,  0.85320,  3.96057
K,  2.13034,  1.94156,  2.04129,  2.27481,  3.51491,  4.97103,  2.81227,  1.01902,  0.36235,  0.47833
Ca,  1.68563,  0.41826,  1.37165,  1.68523,  1.91583,  1.96498,  1.57296,  0.46107,  0.29312,  0.27353
Ti,  0.28790,  0.05004,  0.16569,  0.27821,  0.30501,  0.31682,  0.23312,  0.08956,  0.38417,  0.31107
V,  0.00429,  0.00250,  0.00378,  0.00429,  0.00452,  0.00482,  0.00409,  0.00061,  0.14799,  0.14138
Mn,  0.05071,  0.00000,  0.02166,  0.04610,  0.05149,  0.05325,  0.03716,  0.01868,  0.50270,  0.36835
Fe,  2.68895,  0.52167,  1.52641,  2.56827,  2.78462,  2.87755,  2.15445,  0.80308,  0.37276,  0.29866
Zn,  0.03101,  0.02854,  0.03011,  0.03431,  0.06187,  0.09749,  0.04628,  0.02308,  0.49870,  0.74414
Br,  0.13271,  0.12315,  0.13210,  0.17402,  0.28589,  0.49774,  0.22415,  0.11972,  0.53410,  0.90212
Pb,  0.01960,  0.01946,  0.02076,  0.02859,  0.05467,  0.07621,  0.03655,  0.02046,  0.55966,  1.04383
BC,  1.39784,  1.36932,  1.71657,  3.14540,  8.50720, 14.36107,  5.09840,  4.51589,  0.88575,  3.23063

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
Na,  0.08614,  0.03939,  0.05581,  0.07877,  0.08954,  0.16102,  0.07746,  0.02978,  0.38445,  0.34573
Mg,  1.25631,  0.99968,  1.06407,  1.23758,  1.29132,  1.52142,  1.20617,  0.14393,  0.11933,  0.11457
Al,  7.31458,  5.95657,  6.27973,  7.21410,  7.47776,  8.44744,  7.03136,  0.70756,  0.10063,  0.09673
